group,VDR,MAFF,KLF5,ARID3A,E2F3,KMT2A,MEF2A,BCL11A,CLOCK,XBP1,TFDP1,SMAD3,GMEB1,HNF1B,PPARG,PBX3,RUNX2,MXI1,CDX2,MAX,MEIS1,PAX5,SP2,FOXP1,ASCL1,ATF3,NANOG,PBX1,IRF3,ARNTL,GMEB2,STAT6,FOXA1,KLF9,FOXP2,YY1,TCF4,ETV1,HES1,ZNF143,ELK4
healthy,0.120254886920779,-0.217077967455089,-0.319157489111104,-0.399907336210471,0.247786223073695,-0.102998967310476,0.21694824336332,-0.275209791457378,-0.231565480792466,0.362488735788422,0.192459421015395,-0.166067106853171,-0.0894195226154794,-0.248155256729916,0.124540228137772,-0.153860749823063,-0.283088960789276,-0.217888219947628,0.216840750214697,0.20703428888231,-0.0545993271364168,0.0146050757955425,-0.137160342250899,-0.109143599995984,0.115108031271757,-0.0097108682768607,0.165332701107836,-0.0990455209976246,-0.0264533838707481,0.331295584068728,-0.224090914625822,-0.10015445274984,0.144083581027527,-0.0038450377724523,-0.124963923760081,0.0201199189387544,-0.0733235351563743,0.205047888727103,-0.0446898188440353,-0.279519717482086,0.0659240311154111
healthy,0.0668853954053734,-0.455410409269253,-0.519311058064261,0.120826861869066,0.508237869819376,0.0468899567193091,-0.272574955774742,-0.513241764993757,-0.431319550593219,0.344435207798619,-0.172980049500654,-0.37234676528357,0.372628591955544,0.351130606193204,0.0923925222937359,-0.492659741606675,0.117694103772174,0.108332267143624,0.0623386592957059,0.401721305179433,-0.141931872877257,-0.0511417562326348,-0.459423396756063,0.275316119109523,-0.291773816077655,-0.086428182022,0.37098632802574,-0.461481889773945,-0.129829724398375,0.542049935603893,-0.063379261377433,0.0952147528204031,0.43991245272169,0.427914860660885,0.500203761701187,-0.0507782310958197,0.543902574915757,-0.0173045129337965,-0.366034314679705,-0.466246679306483,0.397161459145399
healthy,0.0680933271318555,-0.382865583988511,-0.221037870536273,-0.373884644323256,0.133930986510223,-0.148766379023377,-0.324954332124342,-0.263193839107198,-0.308425489636922,0.330326869454401,-0.271398738805918,-0.312433330304865,0.276611181360958,-0.219789056528119,-0.42763169889459,-0.258668978293395,-0.0254390971320759,-0.178130839638304,-0.0913373825088795,0.303912319038064,-0.0245874106002281,-0.308929868038713,-0.168348780417476,0.252877394334008,0.114707073713381,-0.241328413497311,0.387945865944941,-0.336552758492274,0.0535021377715959,0.364916788183449,-0.0300515665916018,0.176793091640292,0.359919731042137,0.149690109903143,0.317653962807003,0.167627385409174,0.309713384305502,-0.315257876541441,-0.208802089571548,-0.412467519086103,0.251206373260509
healthy,0.0155328261026581,-0.263439116966899,-0.263161971233409,-0.264275358143209,0.525775197408308,0.248631254491082,-0.295920195144861,-0.236063529622205,-0.294656531136268,0.314904197491345,-0.0980584054765186,-0.309159079111166,0.281084338591646,-0.193472003890296,0.297286838926472,-0.0818109661313301,0.240892311447059,0.0034529668166388,-0.115565359942075,0.317586082513073,-0.0985461400418537,-0.353047590974998,-0.353777140215142,0.0809262921440456,-0.0853925048104642,-0.30803394429681,0.245880847304865,-0.238677765929597,0.182343681200759,0.25437694061386,-0.284794405460768,0.0777005097121555,0.412072950314708,-0.0032083571013413,0.227296623093327,0.117263347039158,0.264691120415952,-0.375874642976371,-0.039971480981,-0.513742024032957,-0.119192885771755
healthy,-0.137719351067523,-0.605916648355965,-0.544232335329756,-0.392780893696044,0.615226520221472,0.657867189183501,-0.399176339699745,-0.576372774816855,-0.595558263459225,0.509885497221975,-0.426911573995219,-0.583550855304349,0.293617140007501,0.171938261177102,-0.224923875409093,-0.385848790393245,0.513296862594265,0.466282284411571,0.04588644009967,0.397616826838716,-0.361846662345623,-0.121519687529265,-0.476731185880685,0.308349512528174,0.476919732671907,-0.466821463682442,0.006321890671537,-0.504042069024205,0.265997583199677,0.390280306414735,-0.414308379410308,-0.187844761830817,0.522749872691878,-0.0836107668345593,0.545268931064322,0.337128745133391,0.591535457137814,0.127326455665855,-0.60751527791389,-0.500160826335942,0.42355814863764
healthy,-0.065622192121225,-0.243348388951722,-0.429011914534902,-0.344384921233604,0.279547947960387,0.0197642262513561,-0.355464453217764,-0.277501767190802,-0.308554283587761,-0.306119204408149,-0.142316276195163,-0.241876469015288,0.35786346272881,0.327757418398692,0.0720479837575508,-0.253975444780385,0.315684583234055,-0.116365021676731,0.219550989109091,0.354468335810398,-0.237925829563979,-0.244554681543225,-0.356460986813613,-0.048435827427049,-0.278673575593677,-0.235197178955548,0.35291910390854,-0.316077722802912,0.0692201019235687,0.243930676277053,-0.21008400913177,-0.369928489404758,0.384254014100763,0.295010638322645,0.298299260626295,0.205717894662992,0.337561193951612,0.0304043226525,-0.286000078382164,-0.221168079552249,-0.111997024450528
healthy,0.393754480555157,0.0633832401716656,0.0720836815404012,-0.295384389043586,0.184640253172602,0.184527795938193,0.573867861471008,-0.110112969642866,-0.422532286840286,0.668020806692262,0.54933437864118,-0.121582670408911,-0.213299042217981,-0.260732566547855,-0.419593404447744,0.14559416424236,0.126187794157938,-0.618959463894326,0.23001299868194,0.225723692332877,0.618498389233251,-0.0280829142908459,0.303058658148344,-0.125438079261881,0.380087178000048,0.297371133518135,0.247785927436579,-0.355288483525739,0.294265439561221,0.0045568608525933,-0.543608431122548,-0.209462376237412,0.51403217847312,0.174200473245015,0.251313336022525,-0.0126069245489999,0.163693218976783,-0.607530060303945,0.449007531250901,-0.557629973966045,0.534190137740839
mild,0.185737739510023,-0.355606011780091,-0.378257032442315,-0.116612794763348,0.328380932402503,-0.249865611001808,-0.150134533476124,-0.220034583487019,-0.22865063505323,0.229199070174664,-0.276608180164682,-0.392583845306846,0.338559214992967,-0.210200719886542,-0.122867006722699,-0.051741082854624,0.343616867501393,-0.0953392911362424,0.330415401318726,0.293183591474803,0.331866630576963,-0.142888731746241,-0.348985839293186,0.129022295202692,0.0101253606239249,-0.339661127487083,0.299651239473378,0.170085811459305,-0.0899199835182349,0.0149243702044288,-0.0091717105433011,-0.144861581173715,0.375840797202363,0.194573309601921,0.37547726389031,-0.0595696763634422,0.309661769687789,-0.372163103392268,-0.204693006723011,-0.346691961720342,0.263101289364863
mild,-0.155144848094068,-0.332492037866522,-0.312155829231222,-0.27882926538114,0.259187115517635,-0.204716538875957,-0.237408887089491,-0.323247185448813,-0.320523202364774,0.241040088629688,-0.250949799148553,-0.087447965785919,0.279478211635595,-0.0402625482499404,-0.167739752227885,-0.226178753859563,0.338868467238048,-0.155543095907914,-0.0076973905839495,0.28995074293299,-0.134045756738684,-0.286927978448003,-0.327626434865117,-0.0348552649912232,-0.0890088206696861,-0.0214374786629698,0.292249570506088,-0.269023815674396,-0.0802026384100087,0.150303199717774,-0.369260302890351,-0.237652793464532,0.176076448154805,-0.0434995667930264,0.342741369034803,0.242313175333914,0.306949129044408,0.0623059799134494,-0.0430080713884668,-0.103302123357776,0.307294968516006
mild,0.260635532233628,-0.196510872752032,-0.127359644218127,-0.324444982004709,0.344731244823795,0.084593706629857,-0.172054142993814,0.429262469055413,0.0431585508667529,-0.280437789609644,0.434178061907866,0.0518781094268803,0.166632162943698,0.0332024003653709,-0.292983695632039,-0.237985196585674,0.0047878303366518,-0.0429244750166361,0.214391096952388,0.0986447856486207,-0.386836920651576,0.389298913656788,-0.259287964092518,-0.0700968576654525,0.204436811597222,-0.102830173757482,-0.40873746752067,-0.321569859112637,0.103893307100642,-0.0701061833965329,-0.228445906263583,0.203818515626595,0.266162893044952,0.148758466755099,-0.0734737048896474,-0.369443499613615,0.344394585931794,-0.194793073087032,0.105402210389442,0.216390533696015,0.0028424828332907
