group,HSF1,FOXK1,HEY1,KLF10,MYBL2,FOXD2,BCL11A,TFDP1,NFYB,SMAD3,CEBPD,STAT3,KLF1,E2F4,ZBTB33,PRDM1,ZFX,E2F7,SP4,SPDEF,SP1,HINFP,BCL6,ONECUT1,KLF4,NFYA,FOSL1,TCF4,ETV4,USF1,GLIS1,POU2F2,SREBF1
healthy,0.105319362569096,0.009409745010756,0.0432210361343071,0.0881107920634887,-0.0807446496286182,-0.252668420299886,-0.0145403973039302,-0.0732748411063645,-0.102877242280313,0.0712394288534099,-0.0105666866270595,0.0975607866612197,-0.0573013712987444,-0.0970295857168409,-0.0259694079310055,-0.149995936092846,0.0735640765104403,0.0361179200701333,0.165720420083365,-0.11783136789687,-0.071580380296564,-0.0936277935897771,0.0995477590042684,-0.0017478149134649,-0.0267985026208443,0.0031202790274656,-0.0084376706834654,0.0732741390786846,-0.0649969987246658,-0.0063917280153139,0.0844295929198662,-0.0685881043160478,0.0500073037056663
healthy,-0.0568741077753525,0.0042738353737104,0.0840135293639939,0.0649061111201172,-0.0612146497692498,0.0148075404320291,0.000840004267623,-0.0364141375282652,0.0048424286063724,0.0376910036956396,0.0052467374584523,0.0066514285930168,0.0285203489984057,-0.0281764803048359,-0.0878310252644295,0.0115474069628089,0.0035946431615845,0.0952078171421863,0.0735725733639992,0.0276450246740591,-0.0400006153003921,0.0263040832578512,-0.0409534430057366,-0.0621694035299148,-0.0598418063663239,-0.0575565010371661,-0.0910492738123124,0.0128564735198384,0.0234274518177409,-0.0336219541193226,-0.0747987924147048,-0.0240908015466667,0.0606490948210371
healthy,0.139255253726153,0.0114045657292011,0.152769654686879,0.217713027773161,-0.175335298289827,0.134363575638808,-0.101291890706454,-0.120695963539607,0.164083707989657,-0.0578251835927277,-0.199661691438021,-0.124277804247712,0.112953379729405,0.138670694305509,-0.152840603229465,0.101387353031196,-0.113880660681346,0.175170065969718,-0.113153968466086,0.117385188691881,0.0176897580483386,0.0808492820638827,-0.189730781151507,0.112045191242414,0.196350209461964,-0.158403817522219,0.0625327726044589,0.11563952455104,0.121100440945181,-0.0967914902958296,0.143285885215268,0.115125677963539,-0.167835259497304
healthy,-0.0884489778612497,0.0552713046226354,0.0075975970856106,0.05311628783725,0.0487511518571484,0.119758294988137,-0.0101132142892677,0.000477596929246,-0.0016005327733521,-0.0216569127537901,-0.0480205964255326,0.0653574802877896,0.0447871101589197,-0.0287278333223089,-0.0792926233172678,0.0081086398958691,0.054729891414676,-0.0227488374745054,0.0728471791672224,0.0585698886193414,0.0067254412765286,0.149236289948172,-0.0045046860353602,-0.0013210482274209,0.0151567506298278,-0.049195943631072,-0.110211482208734,0.109120710794261,-0.0972285856995746,0.0374641281039971,0.0143361091662131,-0.0712280653488633,0.0496778974950093
healthy,-0.0090295642779871,0.0289631037248752,0.103796906946698,0.137875685073781,0.02968067980292,-0.0162248615986689,-0.0076056169023256,-0.0511571880343526,0.0500018942052721,-0.0324155603702983,-0.0715334338408119,0.0338353026885032,0.0114673483946207,0.0488655361939315,-0.106284080899671,0.0538787482333898,0.103143320873429,0.0569606896919765,0.0659008507918626,0.0414868356840516,-0.0390503052491442,-0.0516898199394108,-0.118135943927071,0.0060267875967373,-0.0051714371206549,0.055815712618768,-0.0965593501044952,0.0737303804741648,0.112534337264107,0.0328875193034813,0.0135778171072339,-0.0102079467455255,0.0910232221933569
healthy,0.0232234314589094,0.0741540576951293,-0.073214116615878,0.0055227327611676,0.0071306069736497,-0.0212651173303679,-0.033077506696079,-0.0556883931292599,0.038947064649771,-0.0391560785075174,-0.023265076086304,0.0506563214346197,-0.0371311932205368,-0.0090735961805369,-0.025114270748128,-0.0577825982707012,-0.0153219846913874,-0.0321524386980401,0.0263785956112895,-0.0011675933552259,-0.0214451380930927,0.0154053115995468,0.0482232359617574,-0.0162153108983833,-0.0106355332814264,0.045185324404049,0.0509249029239559,0.0277766652452518,-0.0170767823542256,-0.0063520105855249,0.0333658562047481,0.0055851997022595,0.0280620401376784
healthy,-0.038089129920867,-0.0307769310009255,0.121135271039838,-0.0787219783462188,0.137778140456579,-0.0404503608220981,-0.0451601278347687,-0.152913503585573,-0.0853613534072073,0.0052254928479529,-0.0550652375696373,0.0202434291713744,0.0566774758731661,0.107155133781877,0.0383112887422194,0.0747992883006252,0.130094618935235,-0.0373401373231646,-0.0514789594535202,0.136299197445862,0.0845647553477866,-0.0189834712845616,-0.1201387300412,0.002597671361099,0.0523961580159608,0.004609795543062,-0.0639071586594624,-0.0021977854826647,0.0805690702608915,0.0409676735061043,-0.0358580206149994,0.0712987000156011,0.0748786307368225
mild,0.0458710637883174,0.0771171951242189,-0.0289681924237622,0.0612240302068858,-0.0440469731423524,-0.0308482825778923,-0.0123690704634958,-0.0610850303466187,0.0179640569992834,-0.0052183469608709,-0.0047881294781423,0.0791606424021676,-0.0332049235015068,-0.027719978521764,-0.0559601773393798,0.0042098714938283,0.0273962105545564,-0.0107034937406432,-0.0070691559307316,-0.108182836513804,0.0124232134113902,-0.0252130571162376,-0.0223007194515987,-0.065842324780265,-0.0323750814205101,0.0355813408280049,-0.0979024568948534,0.0380852554130929,-0.0857487877827646,0.0233461848640347,-0.0020407027975485,-0.142828531505385,-0.0030186661001423
mild,-0.123659838392214,0.0706460300868361,0.0476042013391014,0.111323154759803,0.0063712714717159,0.0121342422232652,-0.0593123129856334,-0.044868050631063,0.0722150007365149,0.0422252453945756,-0.100795640905046,-0.0543749487527063,-0.0150261254382769,0.0108645485116274,-0.0680900242039798,0.0647202382144337,0.0683696085386657,-0.0266560634169448,0.102810452818012,0.0590104139837849,-0.0658397871274882,0.068716335790025,-0.0628359508294909,-0.0122951284418604,0.0112681474228138,0.0396629103921837,-0.0907615271260867,0.0873317230001443,-0.0173596175614598,0.122968897454111,0.0655857905189248,0.0179225475361555,0.101422024823886
mild,0.004509159835474,0.0704838474434262,0.168786724989673,-0.0154251127806327,0.0772806589303825,-0.15018900657872,-0.153140373714331,-0.181226258496338,0.102875900039988,0.0022511587039012,-0.149386161731938,0.151635039626616,0.161310232354021,-0.0650463982538612,0.145791606395212,0.103135912291502,-0.231768990895986,0.189938949731295,-0.0988662374245283,0.183032659401596,0.0207211517983214,-0.0637280905224985,0.201707925326159,0.137106284870941,-0.0219938433452079,0.0994546862042715,-0.0450528245979354,0.163121194877727,-0.156251397495609,0.104677739326798,-0.103710676215902,-0.193382971659249,0.0313588460181752
