group,HSF1,ATF1,ETV5,TP63,SIX5,ZNF76,MITF,E2F3,BCL11A,ESRRA,IRF4,IRF1,MZF1,FOS,GFI1B,PRDM1,SP4,MXI1,BATF,IKZF1,MAX,SP2,BCL6,ONECUT1,ATF3,IRF3,GMEB2,STAT2,TAL1,TP73,HOXA1,FOXP2,E2F8,TCF4,GTF2I,USF1,EGR1,GLIS1,NR2C2,BACH2
healthy,-0.182120675847397,0.0869399496720878,-0.219567063514435,0.152499597108004,0.0576721361269995,-0.10749527377803,0.069665143135218,-0.134430705828485,0.0948680518445069,-0.0067213205616002,-0.202492579123041,0.0038525301131055,-0.262870449567674,-0.0544237587638402,0.0729958105083448,0.0713890772834249,0.232862857145101,-0.0379593841433165,-0.122844438667513,-0.286661405782707,-0.0171128586889708,-0.105254048557065,-0.034459426547664,-0.246289982306826,-0.042677621785524,0.0224320627676073,0.181908716730814,-0.211559996180936,-0.0228454523126289,0.0813899456665056,-0.121999649979329,-0.25170920892283,0.0276792284536796,-0.102909475949844,-0.212152650495146,0.218036524743188,-0.178250551742261,0.128507210464533,0.0896610614158261,-0.075895078738309
healthy,-0.231665419100996,-0.0446143682170954,-0.0143934928169541,-0.0263821202032443,-0.109602008911304,0.109066672665614,-0.055920968267093,-0.201408813408159,0.116805173341173,0.118970778597424,-0.164739749626077,-0.122889587354847,-0.113759551275391,0.126508199076007,0.125898219944188,-0.132056635804993,-0.094329369266316,-0.0713256695769898,0.186714673301362,0.123306911373658,-0.162384442615056,0.144919869326418,-0.0482415194934732,-0.104884824239537,-0.127785072444928,0.163005098098751,-0.0725198870723117,-0.162461397820427,-0.184278770899234,-0.182343947313512,0.109026043003437,-0.156515929009469,-0.070244229156734,-0.167781342303875,-0.158091450237073,0.0775720069888736,0.213189003911835,-0.0096755450035231,0.0940003025809154,0.212518072655333
healthy,-0.324427924499614,-0.379780294200656,0.171177769478965,0.409215252790254,-0.419777209719269,0.0006712555086654,0.229618540018772,-0.399584337382121,0.366420181522159,0.0385029249840836,0.36656241453382,-0.423507154868758,-0.146528013483399,0.0944781420177384,-0.0567135097074721,0.018623414000064,-0.078203884336464,-0.150974426834074,0.420364974722046,0.45705218517008,-0.156995533675705,-0.0673252345927662,0.215467987094783,0.0960606542449943,-0.155010050578413,0.250953151822852,-0.289647329895751,-0.342041089780619,0.006120370798143,0.461178438266495,-0.414266088451477,0.0591362301364993,-0.461957320380065,-0.374338113790332,-0.283674019329072,0.109011065141336,0.0308617759809543,0.0402088372668675,-0.278097900566467,0.450292717665621
healthy,-0.0994949675657587,-0.110734796747673,0.0632481555962355,-0.0403932104879794,0.0073358070249366,0.0825739246076477,0.133632928916702,-0.0336407813309067,-0.0078596043763063,0.0695188286835477,0.0569203698244731,0.160864662292107,-0.14737575674939,-0.0472900959564932,0.183416416606368,-0.169894107194196,0.0376162824803059,-0.0015222998238022,0.0181962951669226,-0.0082004296089744,-0.0067194659719116,0.121244500191956,-0.0801641747533994,-0.0667282394627727,-0.245778708635614,0.046006558882962,0.0415814716172349,-0.0112273137479762,0.153580150918945,0.372646428550729,-0.116728191277454,-0.0745282633225847,-0.0140752800637776,-0.154583500918607,-0.207352007739383,0.0232086383222973,0.0921675335424004,-0.100075965738437,0.0853022892061668,-0.0356426338030014
healthy,-0.0955607816020431,0.0534855455646077,0.107877595789738,0.0127202079091196,-0.0787085062376371,0.15650499930082,0.0984554663266405,-0.130376412706395,0.134034682386005,0.138119979934909,-0.0412983913024581,0.037839700328798,-0.160070502982718,-0.0015829239403208,0.145058307350679,-0.0715298371128218,-0.0717489972742486,-0.192188496775116,0.0260578808834584,-0.22391643531911,-0.0863391882770792,0.122369236855228,-0.0180568037441448,0.0953820827869958,0.0486033890134411,0.0084111728860217,0.1716237322154,-0.0530731808347801,0.0952187553489199,0.170567946827327,0.046120295203619,-0.060665631164434,-0.214438827251414,-0.136145807234832,-0.0601728552467124,0.089123269911233,0.0821308016728197,-0.0122444952690771,-0.0015500695893708,0.0721368360015707
healthy,-0.340128631633821,-0.121619579891355,0.169621613189087,-0.191588190821108,-0.181783083564595,0.215061425184034,0.0676502757271398,-0.140124170148985,0.216812830258718,0.154815493004003,-0.169230669954881,0.250661778929979,-0.228611543846253,0.164389538795163,-0.332383800969865,0.114457824123582,-0.199774202798015,0.158751882847383,-0.19104768300881,-0.043321884010782,-0.19676433831064,0.235319481972331,-0.144654160207078,0.240565510837525,0.225567110327774,0.0257154344460039,0.122495787881847,-0.229357166528883,-0.279148989608139,0.259766883128336,0.221623406279991,-0.118422053533583,0.315935741004977,-0.311858042318283,0.320710211814005,-0.157750649533678,0.257476754193648,-0.0844507455567015,0.341869987110586,0.241338764959008
healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mild,-0.250387227498231,0.142130788820576,0.106818143914602,-0.0922615577808176,-0.0713919150039439,0.196600948834871,-0.108394019913688,-0.212796774930912,0.171854022591007,0.177071884904304,-0.132781255045828,0.116632079394106,-0.175799850995235,0.123673940841094,0.217636310522835,0.0941707286597352,-0.156649113786041,0.0008638208435657,0.184005061510369,-0.0881261722040667,-0.245566161320136,0.15970241282513,-0.10790979755082,0.331400883353738,0.249935615645774,0.314820400643322,-0.055629383090542,0.0093051667164889,-0.245587889617234,0.319895710297771,0.0049960703774365,-0.219222129367551,-0.24255621771257,-0.216427828450474,-0.13270244932313,0.0677303826160216,0.21641233610961,-0.0385098333963813,0.0304081556517236,0.179736791536001
mild,0.0900343536614925,-0.106010158326131,0.158020030026829,0.0960858051637947,-0.0889263177513728,0.0919043272371607,-0.0248346841605243,-0.22554949234284,0.154752100257892,0.18587959114376,0.0064570528835814,0.300833455937431,-0.164987182300303,0.0208991466986434,-0.0145959094234527,-0.0943520587693431,-0.055882388340436,0.0410818581303974,-0.153834421882471,-0.304192355501842,-0.192046758746037,0.166469825457846,-0.196914237835227,0.144905328685269,-0.210666042761706,0.177160719028365,0.168451524923145,0.0257454146696885,-0.126726140369249,0.0582692516639504,-0.0181701578399794,-0.131962573907874,-0.161105110156847,-0.135133391057519,-0.128129801863273,0.0550659703029543,0.318492551836778,-0.106203648525968,-0.208727640578823,0.176698274650606
mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
