group,RXRG,RUNX1,NR2F2,EBF1,PGR,FOXM1,XBP1,TFDP1,FOXP3,ZNF263,MZF1,FOS,NFYB,SMAD3,GFI1B,PBX3,STAT4,ZFX,BHLHE40,BATF,IKZF1,TCF7L2,POU2F1,HINFP,FOXP1,KLF4,NFATC1,KLF9,MAFK,ZBTB7B,AHR,FOSL1,USF1,ATF2,MAF,CEBPB,ELK4,MECOM
moderate,-0.0984854016387872,-0.0713822907006836,0.0941184571876027,0.301631461533377,0.353207495213373,-0.232042937610959,-0.17123606816448,0.0985327357813692,-0.263992312826889,0.24342698380094,0.0620626417838615,0.27515737697443,-0.388601230531124,0.241655220003015,0.31525506597727,0.167288659531728,-0.179539820372734,-0.0524610219004861,0.224069230107818,0.157458751023191,-0.15093083039074,-0.315751581410396,0.243067848320699,0.410298757733156,-0.257202082154296,0.239981699204147,-0.0173557906470927,-0.103297213070645,-0.205760839841261,0.179950481039432,-0.184632555010177,-0.131785094211267,0.053717841998837,-0.243923807399058,0.402366529237773,0.0963361973601684,0.0328274605406259,0.350092132055697
moderate,-0.175709251458689,-0.122997950905765,-0.181929745020784,0.194874316248202,0.181265630418121,-0.0687331786534957,-0.157290579583984,0.0126635101464514,-0.0498737808560651,0.256028073953101,-0.108352435843947,0.187364180580024,-0.227723583250166,0.189246234700123,0.124212052129731,0.232223108519163,-0.0976410327567073,-0.202104485157381,0.228589445090864,0.224568824514743,-0.0221889132178726,-0.0845628644167976,-0.178570846238844,0.237859487314402,-0.0411107282003865,0.0380358876349519,0.0858321635674907,-0.250664287493449,-0.242352593650065,0.217043474504578,-0.212430842076952,0.0614419155454931,0.037519669829601,-0.189289297086221,0.271568989382169,0.195374143723779,-0.121155112711712,0.280512792993945
moderate,-0.392949931269599,0.189840375691041,0.11101263613232,-0.0370826313229876,0.486679579226725,-0.279668877157459,-0.358426583707254,0.214405036188261,-0.306829130732191,0.328801532247053,0.0461184034259258,-0.196963414827556,-0.503592814548254,0.195499049616609,0.281135555822187,0.412556298962589,-0.247077059373503,-0.277551828798706,0.415631899678162,-0.320991295273611,0.12966780008638,0.201302093264489,-0.174148814072478,0.398780413159743,-0.0055216783371797,0.313465119805165,0.0439594067067129,0.128735784405276,-0.180279823815115,0.417339551771226,-0.406664952825192,0.122586284043086,0.256851860884463,-0.382910936739051,0.501850137445383,0.320507545283846,-0.276894654828856,0.3388312389411
moderate,0.0167272458544654,-0.0573731734917078,0.016155710097452,0.170975479791003,0.0317636937165227,-0.110350013757796,0.0107216218413071,-0.0374303343366198,0.0430838265491142,0.045932637427825,-0.200914436208186,0.0171851302651728,-0.0847775724330203,0.0829303988460146,0.0479546816053807,0.125843764528505,0.0439802442743273,0.034661415379289,0.0901637513808731,0.119586608570395,0.0280425328365891,-0.0964994424222317,0.102073091171851,0.151786929566906,-0.0480466073887558,0.0477534334354507,0.0871275514645704,-0.0036576802388047,0.117970485133696,0.0251524837703969,-0.0058745760636727,0.244766362362125,0.0481919829027914,-0.0829201094901878,-0.035347426277188,0.0068406125072739,-0.088661666958518,0.0548533958597641
moderate,-0.119433796868655,-0.0174353378369329,0.138567580994919,0.0390202318384612,0.241181670776742,-0.184624569488102,-0.0719429356537333,0.0474082949762889,-0.02328883968449,0.108084724598091,-0.0713603389325013,0.0995271784352948,-0.236355689195461,0.0331368788302669,-0.0263045979175251,0.195476040802706,-0.0361811133755313,0.096853474952729,-0.0495892565561719,-0.0085099161405551,0.095529458268843,-0.117363105664502,-0.0182120141861566,0.181876982028766,-0.090808643173996,-0.0655285709899129,-0.0701001491151136,-0.250020269854484,-0.068909360892015,0.0373015959944287,0.0077533916789541,0.21764307952051,0.0433369921697048,-0.0715212715303848,0.0070218216576334,0.16336956377031,0.0463066835643053,0.0498091758008162
moderate,0.0719353498694772,-0.0925344206970313,0.0984342285321656,0.139032819786232,0.0399058372032374,-0.0018916027997725,-0.167468866855125,0.0284985282415723,0.173744149850329,-0.0403747400603298,0.0887906754167625,0.126399440336564,-0.0136478653300556,-0.0328202873824114,-0.0369548830642558,0.118189453454741,-0.0544329759073163,-0.0412521650446638,0.0145377809477446,0.190968229140631,0.107650719611625,0.0088472612360679,0.0718295995745252,0.197991437818299,-0.0313928264359861,0.0476487696176564,-0.0364689806232027,0.101096553820571,-0.0640879554317078,-0.0986434606438145,0.010863938404817,0.108741913664118,-0.0460021904753349,0.0166007238705352,-0.0724737633812494,0.0449948180946616,-0.0762171165788567,0.196058050209187
moderate,-0.112699765292111,-0.0731186585264921,0.0746246702851708,0.15985425053864,0.216222988537284,-0.0861707075201129,-0.023566280414066,0.0249021354034115,0.0375754017058921,0.174057710721781,-0.0480457313746145,0.0288235901456904,-0.183392133274814,0.144007217422981,0.165419789724405,0.17578072659916,-0.101080088116051,-0.0260758414158233,0.042983060385562,0.106396503821971,-0.0164678486863253,-0.10519104885291,-0.0357390596915825,0.154149986050625,-0.0012936112386921,0.0041563264682496,-0.0377262445265967,0.0781695824015842,-0.0401321099082742,0.161986051871194,-0.0352045483680755,-0.0724257551859216,-0.0139840043394543,-0.015595563740684,0.130464029708299,-0.001945029275907,-0.111518545359959,0.138812506050885
moderate,-0.339277692942466,0.151621713536648,-0.210495418943762,0.19064104201661,0.420859900293819,-0.404915151857474,-0.303790673818244,-0.331292435269067,-0.373630791202438,0.424908887849605,-0.256877048860142,0.0340029139428459,-0.4639757860104,0.387839544064117,0.364131818268553,0.29543772819516,0.0388414539789552,-0.332039340674418,0.218583353428256,0.343968117444569,-0.30992037894136,-0.193650103494161,-0.373046117764158,0.283369378333687,-0.132619943111207,-0.290536562190346,-0.109427322887352,-0.322397649392538,-0.226532412733414,0.397939102829518,-0.431811879451068,-0.100605706103232,0.326264137617236,-0.383621922361994,0.438636872409192,0.276989848636754,-0.119703779076981,0.221604232882071
moderate,-0.118303404168834,-0.135833256250191,-0.0050621980136444,0.285920718518587,0.260303664995162,-0.206123793884318,-0.270797393492246,-0.0751588030645832,0.0067545071731711,0.240534869782055,0.0757234540409621,0.233034494090711,-0.236415921562874,0.168521871096832,0.0655905974347988,0.123236050575677,0.126478595631195,0.235654807887339,0.240406204521612,0.0651402690232476,0.0259741866442518,-0.167284273734483,0.288086852325853,0.301471439758884,-0.218803735962529,-0.101083193158889,0.207540546018755,-0.314069386741261,-0.151086084537169,0.137743719421569,-0.177205760907283,-0.194197359018349,0.002245485979413,-0.067931212551536,0.0019056607856548,-0.037022139461463,-0.16080292239354,0.27636974023893
moderate,-0.325292374131988,0.213073411544631,-0.234352091844193,-0.0353010783535818,0.464723807240701,-0.379709145734082,-0.325179398107977,0.216927504715424,-0.361864374915418,0.43223982166747,-0.223896061496241,0.238126596792718,-0.475432515834008,0.406922078977661,0.403971068003746,0.173987018094051,0.378141020011919,-0.442503790381212,0.431393765995529,-0.0414910331933392,-0.290672446823816,-0.405864080571882,-0.174458587884551,0.41190575687324,-0.143484257496095,0.2349518676022,-0.287603114586423,-0.0415685471435753,-0.316943580785245,0.482131856039,-0.446968461480516,0.410290991942237,-0.23888617127687,-0.311857282269876,0.321466435215042,-0.114463763714123,-0.432983432234947,0.185995569256111
