group,RXRG,TFAP2C,FOXK1,KLF5,HEY1,ARID3A,PGR,E2F3,E2F6,BCL11A,CLOCK,TFDP1,ZNF263,SMAD3,GMEB1,GFI1B,PPARG,PBX3,ELF1,CDX2,SP2,E2F2,PRDM14,BCL6,ATF3,GMEB2,STAT6,KLF9,VEZF1,MAFK,AHR,FOXP2,YY1,TCF4,EGR1,NR2C2,HES1,ZNF143,ELK4,MECOM
healthy,0.0762037671036715,0.0607205198727955,0.102337301662045,-0.39890366024664,-0.140192220667454,-0.451688421829286,-0.218501261515358,0.323461797900224,-0.184153118238496,-0.271055639210171,-0.242662838879975,-0.0653972053907215,-0.218678748403304,-0.176177754326604,-0.200723304837608,0.0733035615413405,0.277735966419247,-0.114051167753767,-0.0180871490400331,0.36027623023273,-0.244701387220797,-0.216152312505149,-0.150980523517499,0.145208574737954,-0.0227692048117547,-0.198527408060575,-0.3083450704909,0.0016598111918849,0.0383029324283097,0.11922299067165,0.319942133562567,0.0587630623642876,0.177898652155414,-0.11998556671063,-0.0630415435632676,-0.116313387165177,-0.106199856704553,-0.424367524156698,0.191220640746238,-0.350949978978545
healthy,0.27409323515795,0.141395129059781,0.0982273288175116,-0.333339201018342,-0.16257957083999,0.220229514263182,-0.168491985032815,0.373449546232336,-0.40133713618229,-0.387979161025651,-0.335142220552221,-0.17687749882676,-0.408998368804293,-0.335460854187933,0.293440510633797,-0.235189063874484,0.268777800711181,-0.288918030970933,-0.0538529671213488,0.115045790755934,-0.382758587827571,-0.398562647735265,0.432232160836755,0.387643819170946,-0.0226550705988658,0.0700452211090364,0.09816181501146,0.2830634695453,-0.166345418582184,0.427120422085676,0.432172050000717,0.33702239449789,-0.189840900672603,0.387003392093611,-0.0822208922840489,-0.268814675049976,-0.356239037337372,-0.3868135429059,0.35869052505844,-0.360840556862252
healthy,0.31581285713325,-0.425605693593263,0.290836667208018,-0.354927601954212,-0.419070198543453,-0.376826105556062,-0.435177749420345,0.0382950888953653,-0.495302074262213,-0.219526805609397,-0.39271388967168,-0.192128558934708,-0.451416154307585,-0.340967212440883,0.372323639982348,-0.0521482121082645,-0.425000638244636,-0.266030757436512,-0.426018240600432,-0.06549212628661,-0.19948792442889,-0.436424499240496,0.44481954873554,0.416551343814393,-0.330593446381051,-0.064656971808099,0.348730831856903,0.251690381472354,-0.399354135905877,-0.163244422487452,0.480045652249511,0.393989869218817,0.161447813919403,0.239744667885616,-0.457964904698703,-0.135383326484732,-0.311764947802235,-0.467675767740918,0.272967515459352,-0.189710920632354
healthy,0.102638721200507,-0.171714263408871,0.259987381531173,-0.317891633589055,-0.339833053691035,-0.340351673878043,-0.304302111721087,0.55374072342812,-0.430941280827156,-0.331035529520445,-0.314835692753671,0.059074317313411,-0.243659122431164,-0.34675777785015,0.277253603541556,0.269159782687533,0.239853383598756,0.0330323637464085,-0.429763423061177,-0.0531870976812087,-0.359853730030806,-0.205366329850724,0.335215484956382,0.253077273832336,-0.271094482527778,-0.343982411416448,-0.0624816255267674,0.053340262335759,-0.0112277748448727,0.294266458898609,0.402621140603351,0.379382333549678,0.114220196773939,0.290821596948452,-0.0682120263893495,0.0991819283445196,-0.128002110001605,-0.537282325001049,-0.138906121446201,-0.252230047441946
healthy,0.149554281912643,0.26549401626573,0.252262696725861,-0.37863031045529,-0.29513313124731,-0.261926458739767,-0.19402252486842,0.352063848515815,-0.357403332356142,-0.323495788332317,-0.382695395413632,-0.290914682489086,-0.395658184041539,-0.381867651877506,0.198747051871192,-0.326486054561453,-0.193733659548067,-0.186439751192824,-0.133466879632478,0.0656778177915036,-0.278603211322574,-0.289363175653483,0.312019778727946,0.233996129144337,-0.419068097930542,-0.176316999417651,-0.0136425913102129,-0.135529422085331,-0.251225359930986,0.312761542011633,0.40804339284828,0.324713479067331,0.141609974127987,0.355254081782637,0.0018905294890029,-0.29501002315859,-0.365000348642194,-0.384091564680593,0.21690625561248,-0.26654710386646
healthy,-0.217051992305254,-0.0296791463001994,0.242570622508316,-0.295380944369373,-0.244384089832049,-0.32338306376668,-0.407796434031172,0.21854265865948,-0.372803653350606,-0.293189602391336,-0.354731189492346,-0.0386662460010795,-0.315826095946975,-0.421535192545968,0.343080186460445,0.232503505747721,0.234332354456878,-0.164602568092553,-0.0369479609103499,0.373793453431247,-0.171454479765021,-0.196059374406215,0.35704860531316,0.40983402161908,-0.16348242266326,-0.192114138240907,-0.334949776410025,0.192971343247064,-0.300335524489071,0.309792836710237,0.341287164882931,0.341860091757949,-0.0850174166950736,0.298201198690382,-0.33468981910352,-0.250469320708715,-0.297875374961498,-0.362452357565736,-0.162412326200716,-0.281227839874008
healthy,0.008122276927622,-0.317965939744591,0.142266175961412,0.0467029348154625,0.0620250611304041,-0.179569044879489,-0.218610916537481,-0.143252870994276,0.169515592807723,0.0067877813467746,-0.0770359311578393,0.343572125016375,-0.0414594635105466,0.0803589385673714,-0.115019279408927,0.151219519778145,-0.204233900407275,-0.0287849058597791,0.124193148935432,-0.0384842566489974,0.137752329719112,-0.143843879896465,0.13172000644667,0.133235963182987,-0.0130229882722069,-0.178477757652847,-0.150627250729044,-0.156282790074505,0.0115108119766292,0.139106987650567,0.0033286780706405,0.185083447770696,0.21953208393087,0.0807004383807894,-0.159134502538582,-0.215432826022942,0.187209315612896,-0.169215677842433,0.219093552805153,-0.180197858189067
mild,0.681732324457205,0.662224051063058,0.441082497430668,-0.696773662512948,-0.461632514621135,-0.472798499572477,-0.670757599933966,0.679404558198195,-0.677271209078709,-0.47754400925122,-0.469357393850746,-0.663526938347226,-0.657915009350192,-0.690665803266386,0.492760570189683,-0.667242627164972,-0.0441632563466871,0.148405450848285,0.653579806844971,0.724138032736528,-0.26480136893341,-0.479003665355706,0.663156492819309,0.660866070093575,-0.405987776344347,-0.123148834982849,-0.34233448296168,0.572330125925203,-0.681445593464824,0.678788143167677,0.664930274365868,0.57450991135822,-0.495988877277567,0.642985230201765,-0.665880858141783,-0.144507369421648,-0.65847331912013,-0.580768842830925,0.0236381517776219,-0.70288488166155
mild,0.171866187918257,-0.0235900195732102,0.225314043826905,-0.294484359793841,-0.0259825304194494,-0.185256110746911,-0.30519336284468,0.256682305871925,-0.332987978092547,-0.25530680775818,-0.237503103227685,-0.192013749720257,-0.23742376729676,-0.287188879722091,0.18259167545403,0.126004159852673,-0.243374457694002,-0.187459041322047,-0.283789102508131,0.0222334490563564,-0.233602974946459,-0.263393247498969,0.246598287375454,0.24809588892086,0.0764382697310372,-0.293518834993723,-0.13591845597023,0.209326293109951,-0.103398140570345,0.218688602423939,0.321850604486457,0.211514443292476,-0.0822878883258683,0.223346130188627,-0.274385486343971,0.103301920214449,-0.191788687812539,-0.112378689731896,0.164992070756791,-0.208357151460817
mild,0.139899873409339,0.192512199043906,-0.205793261981322,-0.411301544849988,0.0692188357447485,-0.234061117381355,-0.105219469830722,0.0694737625146147,-0.115443484105109,0.37631647269275,0.265974632848011,0.399060914745684,-0.283606031476069,-0.158629736980723,-0.261450200826728,0.106970796013948,0.311538129667011,-0.210645160910237,-0.0448018253724487,0.484285213744833,0.140606621608724,-0.126842648611318,-0.282685808014114,-0.322303086111602,-0.113401997370815,0.136005504298945,0.324232653776198,-0.0520060973403729,0.0192386808234337,0.471377214373074,0.0759173993236699,-0.279152067017189,-0.0124385610516388,0.0402380144192356,0.435760006729583,0.111470357130854,0.16329095897608,-0.358691291790786,0.336908524707103,0.143980774302562
