group,RXRG,KLF5,ETV5,SIX5,ZNF76,HEY1,PGR,E2F6,GATA1,RUNX3,SRF,E2F1,FOXP3,ZNF263,IRF1,AR,ZNF384,TFAP4,TEAD4,ZBTB7A,USF2,FOXP1,ONECUT1,JUNB,NFATC1,FOXA1,TCF12,MAFK,TCF3,E2F8,YY1,EGR2,USF1,HOXC6,NRF1,CEBPB,ETV7
healthy,0.0180744871980575,0.0196156531900634,-0.172223969764654,0.0387774675713732,-0.0859559097885334,0.0635178482795674,0.0440001198191498,-0.0632301188270279,0.0299613404297793,-0.0022875700424173,-0.0673236143156787,0.072661358344471,0.0123639038282433,0.0078114919522647,0.038414299808588,0.0102671056665433,0.163786001332112,0.0852431144724942,-0.0094730690933165,0.010574661854468,-0.0329097210552139,-0.034292756743051,-0.0134195565927707,-0.0475892425027607,0.12341248156224,-0.0484480786501728,0.0783787118190509,0.041393145905468,-0.0635894179585184,0.0091326295393874,-0.0293897501559949,-0.0836371489063029,0.023222668293412,-0.0857953615898054,0.0254026420279469,0.0780194126875603,0.0025641771799847
healthy,-0.0683402404915975,-0.0122175949040257,-0.0566773312655008,0.0867290415460728,-0.0558380346344737,0.11974110456679,-0.0342279634140577,-0.0182852632264191,0.0084591664978503,0.0752246401809208,-0.0297584668020226,0.0090212777219881,0.0415956270965738,-0.0218390561736461,-0.0243581792846492,0.0131193658301876,0.0229545673804329,0.0025554899203507,0.0076791692817768,-0.083334123801299,-0.0081914270154668,0.009705267610931,-0.0455151347542536,-0.0329894715179401,0.0999868426476301,-0.0330445202668661,0.04406229908789,0.0810984309028309,-0.0054667763304231,0.0268379181381986,0.0289432048011271,-0.0646111469287488,-0.0900411237806659,0.014815460291257,0.0599319770313622,-0.0031791570858518,-0.0398339096988676
healthy,-0.0851652310243629,0.198361741273398,0.0107746953948513,0.172504973070265,0.15493021600301,0.157222737364643,0.174338163467172,0.14295971005162,0.202507190312987,-0.200863415812221,0.186839612612435,0.215434386044229,-0.119231571441828,0.167434455235123,0.190158265915516,0.155977428600657,0.187254818870314,0.198938462558919,-0.185441572427556,-0.203790320254272,0.080842559801533,-0.165864669704153,0.146164486476607,-0.0180176575205324,0.214890215771957,-0.150273354377497,-0.189196305971615,-0.140547318291993,-0.18301368018543,0.197472633597244,-0.177474221086412,0.128002571132281,-0.173122305619934,-0.099027415859957,-0.0653843419512703,0.211903582804009,-0.160056122228949
healthy,0.102993287331354,-0.172665725250616,-0.113045763394932,0.155319638138189,-0.0903716781428157,-0.104355261664208,-0.0305022123422587,-0.0463668993721274,-0.0383627702108147,-0.152195394244037,0.0328365182249857,-0.0108459648901573,0.165945689209763,-0.0252657068730566,0.163564630927498,0.0193733658447737,-0.0228865423588747,-0.0539496651350774,0.0611278746913973,-0.0364453300272544,-0.0728813095746013,-0.0834917370594941,-0.0550014165839118,-0.0249107437180876,0.0989885596393316,0.137615628858164,0.0665880815153482,0.0150279966189065,0.0866313678193164,0.165074082449779,0.10317745627738,-0.0094689587731486,0.04485981505995,0.0739000384424966,-0.0543593108434294,-0.156101645995768,-0.0169661498908694
healthy,0.0983015339256292,-0.0242459079368589,-0.117423479466961,0.0331558625221917,-0.0859549122903386,0.0948163957241798,-0.0080739208359156,-0.0727489713367169,-0.0113780723343709,-0.0201824860147392,0.146102063806187,0.0394437427768818,0.112826542029326,-0.0641920587062821,0.0563692031795085,-0.108055649326123,-0.0926336406112188,0.0590274887194629,-0.108660907693331,0.0398303054107941,0.0199186892271797,-0.0543648274515216,-0.0289108020675728,-0.0302682162087418,0.151373034558168,0.0067643398854459,0.154561118798589,-0.0764746901003762,0.0173845980110041,0.0784427298006356,0.0690265671954342,-0.09468881743446,0.0601668866942665,0.0784705088325204,0.0555345424326659,-0.0681353359687821,0.0858369034125012
healthy,-0.011836106475193,0.0088287129964737,0.0311924739640175,-0.031941808080616,0.0015760465392325,-0.0076740639434991,0.105210697502293,0.0271298744766067,-0.0522509907888572,0.0603823453488088,-0.0340734612016167,-0.0507033379697665,-0.0216017255379657,0.0371688535381802,0.0059394894125738,0.0071504924139215,-0.009793579291004,-0.0077602421353189,-0.113292807381205,-0.0547524992079498,0.0659503755432215,-0.00405353950648,0.0449647720577384,0.0416759556306819,0.0383104111354558,-0.0262022017880026,0.0144419997463492,-0.0276467702307615,0.0001376336816036,0.0548692819286554,0.0807669556494878,0.0358398540387773,-0.0196844775159293,0.035306485592021,-0.0216143835017541,-0.054821944612022,0.00533563518116
healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mild,0.025681738426376,0.0039808672145477,-0.109820348716948,0.0279908857006754,-0.00804316438301,-0.0185022338824969,-0.0495472716208989,-0.000327914194286,-0.0073383458306056,-0.0266273041087625,0.0780570088948117,0.103885083293563,0.0799846251090659,-0.0056583771417789,0.0850697406629465,-0.0648285278133316,0.0429488808390458,0.0410911674813337,-0.0718966478131062,-0.0294613837645462,0.0848112269975648,-0.0746377704176031,-0.0380434135114148,-0.0169231537339747,0.101649751743721,0.0801315427239693,0.0122556046385762,0.0542128907206364,0.0074797642797902,0.136032122116076,0.000682504629968,0.0192866581463417,-0.0158586157163235,-0.0580150086110233,-0.0455036134516281,-0.0812220167107081,0.0428059025303544
mild,-0.048208549280911,-0.0506088702081225,-0.156920054552494,0.124553041030559,-0.173496986456299,0.0336316206655342,-0.0307185275266714,-0.0886397093412847,-0.0631476840869072,-0.130207615216749,0.137272902717253,-0.067467730996842,0.122681636235981,0.0359465041296486,-0.0938008619060414,-0.058653592439809,-0.122016528806478,0.155888907672595,-0.140313267452351,-0.0462264591102842,-0.122202110181238,-0.122258097888936,-0.0351094528842058,0.0024751063511218,0.146910712968778,-0.0156870259033665,0.110302418653663,-0.104449030974831,-0.064871913821025,0.12433775189253,0.161687487108276,-0.172966337985113,0.148435134037041,0.11335291941221,-0.0560607976418928,0.0708926380324119,0.109093430635091
mild,-0.113464588292578,0.0108777349342963,-0.161093825948746,0.0647653239274224,-0.14355582720631,-0.0692542164626886,-0.0703920985239538,0.0520032980568109,0.0344078832470639,-0.0216771752313496,-0.0219068395005957,-0.0117598545139009,-0.0113057456178914,0.0567061959338747,0.131926463754481,0.154292631793569,0.158290877935446,-0.145622805629526,0.0784929836573644,0.0703399020991251,0.145560169919731,-0.121116584172462,-0.128063928317159,-0.0442782271821667,0.0583608226009437,0.0020304409258355,0.033259561900833,-0.062098086618677,-0.032826331574755,-0.0539763229153349,-0.12528185887379,-0.148383996502963,-0.0675682719407223,-0.0326332048028888,0.0703764395965052,0.0375292294518187,0.0256232249483975
