group,MAFF,SIX5,KMT2A,RUNX3,XBP1,FOXP3,IRF1,SMAD3,CEBPA,PBX3,RUNX2,E2F7,BHLHE40,OTX2,NFIC,BATF,TCF7L2,FOXP1,ONECUT1,HNF4G,KLF4,FOXA1,RFX2,KLF9,IRF2,TP73,RARG,NR2C2,BACH2,ZNF143
healthy,-0.0036802979063428,0.0473707175119877,-0.0427165962060122,0.266217880421335,-0.0216249421856157,-0.18605232958939,0.0929530992088828,0.0569936281485196,-0.0396213172291391,0.0362838591966983,-0.0037949622755095,0.0447739649447386,-0.0656685807675441,-0.0905293316813249,-0.0558417125318336,-0.100824083262486,0.0663918229811099,0.0377161753253408,-0.0179780880536131,-0.249499947194957,-0.0399603679069337,-0.189686333404159,-0.0294461724468504,-0.0333019266077371,-0.0278385648113209,-0.0723668909996981,-0.022196287059567,0.116303443604675,-0.0957709431316228,0.222360736186959
healthy,-0.0254484537745102,0.033821328340126,-0.0386698757421438,6.76937812278189e-06,0.0176163029648763,-0.0014671052807147,-0.023380526828549,0.155661968003918,-0.0468164877796906,0.123490282012725,0.012072260996017,0.0929507048939888,-0.0898559971000901,0.0669046567158954,0.0596989882374152,0.0025954071220692,0.118235808064437,0.0953318139702526,-0.266806458916246,0.0509566512466388,-0.0643250120120713,-0.0403726104811207,-0.0806024933473445,-0.0329844246128476,0.0573915158266615,-0.0316092962895336,-0.108523108269555,-0.0500448120778152,0.0528162427095015,0.0919420478752695
healthy,0.0483782689641102,0.131443717124936,0.10808938172935,-0.184051075482357,-0.0319772616910785,-0.110133469212108,0.0569086951175807,0.0025367803247274,0.172177124553485,-0.0292280676953283,0.152831502707362,0.225994305681209,-0.0063830976109854,-0.142033567295399,0.171619131206863,-0.0883602396525531,-0.0497972457239437,-0.191559297582244,0.152399568190915,0.133528363595443,0.197210676854282,-0.166930106098711,0.168298317327105,-0.208748613402427,-0.0919753333024549,-0.0811492363798934,-0.0321444673204195,0.158391717772415,-0.0723445694818472,0.135767604468534
healthy,-0.0069483522187323,0.0737236856399428,-0.0255886256061903,-0.0727220080720093,-0.211962725320193,-0.0511273298140069,0.208558933672968,0.0544129113575359,-0.145327313101405,0.0917680105604004,0.246527453832264,0.0092866987759503,-0.0279515560973244,0.0653416473747093,0.105343569700214,-0.0234650823489555,-0.113768465014995,-0.0976326445734945,-0.225714092554468,-0.260007267497649,-0.0047882156345765,-0.113400176962842,-0.0796009883852657,-0.0565541154868368,0.0028782040945363,0.17682616131845,-0.0482652795304537,0.0716471909458924,0.0381679702744961,0.0075789630906412
healthy,-0.0396683315416018,0.0496510359081872,-0.0134310545118565,-0.0908485894714751,0.0254820385887597,0.0424169410923558,0.0107220580106726,-0.0180877825647892,0.0451980218304277,-0.0778181628496846,0.028309298572175,0.0271141609935251,0.0080144287173756,0.139740663096142,-0.0168622426002295,0.142869698241473,0.0034417119911878,-0.0098637752699878,-0.052249306560096,-0.0712930013024531,0.034851478259685,-0.0013228455890485,-0.116587447268074,0.0717810765285591,0.145385594618186,-0.0597780706547456,-0.111396950462283,0.017674903772472,-0.028296274118093,-0.003903360528003
healthy,0.0472569799838325,-0.0617697835139685,-0.0246945988505798,0.0656050817800725,-0.0426277226705616,-0.135811854983867,0.1420977070812,0.0369987526676875,0.147728857783972,0.0035569518883496,-0.103577271239303,-0.0066983883039875,0.0124736494844885,0.1636943760148,-0.109732127772374,-0.0106871955572382,0.0188427981750869,-0.0485621135154096,-0.024481135973295,0.0409652922107178,-0.0220926860180187,-0.0927133622051645,0.0169797740387617,0.0786241980227104,0.100617385768648,0.0931998118527092,-0.0704655547106384,0.0011869918110769,0.131297345484918,0.0568310510997592
healthy,0.0789508777623689,-0.0749128589937507,-0.106796275293869,-0.0618803714813108,-0.0978000962498493,0.182595069790434,0.134190153572971,-0.194295233448256,0.148885052878336,0.0852824090971527,-0.138262378345558,-0.111768117970859,0.209029469658187,0.165738351034187,-0.191805036359265,0.0919320562688544,0.0950020451251312,-0.046833150335058,0.153420769004713,-0.0546663252441098,0.180238276116925,-0.13803490841916,0.0120251206955335,0.180310108725261,-0.166507986123504,0.145284870960529,0.14783150795607,0.13687361458439,-0.0833891067774321,0.15800095293625
mild,0.060901989149111,0.189221810643685,-0.264922476427289,-0.0442633629172615,-0.20205434682006,-0.186241482735207,-0.0352093090361084,0.25273966783169,0.18949253514829,-0.0918751634520762,0.184842677070997,-0.191241762837888,0.0334744186647159,-0.152482020964807,0.239988831908537,0.0201175409319249,0.369471585850575,-0.220100426028145,0.192235885529611,-0.259414625312725,0.250318850958621,-0.185258328279083,0.0327325279575103,-0.272423888588967,0.27312351602658,0.174950694911211,0.141836973973835,0.10400449721985,0.0627272458028758,0.159007241441082
mild,-0.155434629340755,0.167361015911611,-0.0654340962156966,-0.012560155164719,0.0166227710794496,0.0997758839901135,0.149073557578699,0.0918094457354264,-0.124903887360918,-0.0503243495742083,0.103309622479639,-0.113096781268651,0.087991678114006,0.159387830271805,-0.109400952186623,0.161970800858289,-0.0962923419565446,-0.139186874859191,-0.0536314883801753,0.127955673421742,0.046236303173899,-0.0350542247447741,-0.152953227346925,-0.140359590839384,0.0821182071598585,0.110466757894277,-0.127422297739791,0.0206929778024384,-0.0122708354694923,0.042082955375948
mild,0.0424371018524568,-0.249893047278103,-0.143534710752295,0.081397032445039,0.166542757575809,0.0087922031710152,-0.0760955766051912,0.114573556666878,0.23778997972055,0.0363075056637467,-0.069504393992525,0.245986532763593,0.258171056748903,0.150380444701702,0.152308246825283,0.185576409528349,-0.189893600199467,0.0107946736867068,-0.155254254295826,0.190321246445191,-0.0202945295738606,-0.245691253212974,-0.073539881184317,-0.186180544700879,-0.192523964012451,-0.0344340078253369,0.284715670144197,-0.0195003294032303,0.227461983484534,-0.203398397118004
