group,LHX2,ATF1,EPAS1,MAFF,KLF5,TFAP2A,STAT1,KMT2A,ELK3,E2F1,ESRRA,GMEB1,HNF1B,E2F4,MBD2,IKZF1,MAX,TCF7L2,BARX2,ETV6,USF2,NR3C1,HNF4G,FOXA1,VEZF1,NR5A2,HOXA1,AHR,MEF2C,GTF2B,EGR2,ESR1,SETDB1,CEBPB
healthy,-0.0608629034279256,0.20800414728102,0.137699210886817,-0.0113392914060779,0.161841957500934,0.0638531559669068,-7.19924858514705e-05,-0.240235506118164,-0.146175328838438,0.253555445677205,0.100289711774446,-0.131067544221787,-0.092073070697952,0.0840342263675187,-0.182744852297946,-0.232597084373944,-0.154697795514459,0.055168468755484,-0.231065297023268,-0.0815602682257521,-0.164901353218938,-0.158794338917818,0.074403949196812,-0.203223010423813,0.150247938064442,-0.0647125069061998,-0.178870554827163,-0.22993849114973,-0.102552441303371,-0.197036595439088,-0.257676303165495,-0.0007668434442807,0.0478104188031289,0.211845012885022
healthy,-0.0928634608308773,0.0726399285178458,-0.0149196841564048,-0.000521680762689,0.0809721309576206,0.146072729307338,-0.0633199231923664,0.0566774452517936,0.0042732748936946,0.14473166238856,0.1284401123567,-0.0904808535424197,-0.0840425592937583,0.0803490546732138,-0.061986743484667,0.134293507636383,-0.145645373697182,-0.0797695120445261,0.0401974457776291,0.017208970606134,0.084691654001131,-0.0984129373624207,0.156934637530826,-0.143827766573521,-0.0760728873557618,0.0554300473338623,-0.0884081641032273,-0.127365550149124,-0.0952113456433953,-0.133007155733681,-0.0985346200229925,0.0853257643465382,-0.0258175468140986,0.125836556031219
healthy,-0.208017440117628,0.0234036017427725,0.0028420797692897,0.0967493129851913,0.208183250985833,0.160373299188881,-0.164156302490728,0.085449018879604,0.210763328325555,0.180135350598035,0.195642475465065,-0.207180236951881,0.19510013575031,0.201270656120789,-0.198394741014077,-0.055831406843121,-0.165331061863062,-0.137326474250132,0.0092100319908533,-0.0993860778012223,0.180737300737098,-0.167468711165024,0.189805348314632,-0.207187765757328,0.213141545105105,-0.136161369463607,0.103743218949067,-0.154693922656115,-0.18903431006264,-0.187222082304368,0.0142189019678949,0.0359268395755572,-0.0540953528811402,0.159868603501362
healthy,-0.0740536880936168,-0.178831380777359,-0.0918267896627825,-0.0710019540317777,-0.0757688696734871,0.095794102754776,-0.0609810450551587,-0.0080248431824617,-0.0596760155922139,0.0496801603583265,0.0785046678058562,-0.0074049688904636,-0.0226496420382267,0.0654554317852554,-0.0006997404484054,-0.0404510907998729,0.0427520359422007,0.0021923789238241,0.106357019461476,0.074745077294445,-0.0428123766465262,-0.0575452712279736,0.0059977248621019,0.038413033521419,0.13590714446258,-0.0992539893390503,-0.151498570819605,-0.0269734710655231,-0.071999869305651,-0.0767203237812619,-0.0997355387416006,-0.0474569641547104,0.0648829596449983,-0.0263294840164358
healthy,-0.124856216389014,-0.144852838351792,-0.0436250556626914,0.0258055811227778,0.11699339623729,0.129620997012603,0.0523647998629331,0.0129072878654798,-0.001768093747423,-0.0654827826563809,0.123795053620393,-0.0807938167469358,0.0370205007968679,0.177023285619571,-0.0922454353139887,0.0515241054931816,-0.12495844840212,-0.122662260606168,-0.0431077903184267,0.0559429705708289,0.182081747737676,-0.0530651984447317,-0.0530796953411588,-0.117139571182546,0.0500578587365297,0.0304525273542641,-0.126923795414446,-0.0893712811308472,-0.0799065162370244,-0.168181962645924,-0.0635832118569597,0.050157226544795,0.0085592490461131,-0.0212564952233253
healthy,-0.0937099483205749,-0.0411192874261614,0.0559533476201158,0.134436953314047,0.127467152959406,0.0001887410544809,-0.0050841327621265,0.0745461582926956,0.109300331644412,0.0711424974172726,0.146302677124491,-0.136574462742443,-0.110034675850436,0.117658526439262,-0.155788414346549,-0.0024512112999776,-0.147363632865707,0.0228122618468745,-0.135915685857966,0.117078920947179,0.153428752354418,0.134749739397134,-0.0992705569737208,-0.143855572101955,0.0743540199583171,0.105832329241886,0.149010102411871,-0.105442557842165,-0.137801264825787,-0.0709509499141807,0.039272526073865,0.119089165316458,0.0933947989123415,-0.0281073509198554
healthy,-0.0063039698517239,-0.0567357286655157,0.0344293738055693,-0.111046853541907,0.0964992308071591,0.0053341283360741,0.0800119250411119,0.0344293738055693,0.0150325434925725,0.0315198492586198,0.0722531929159131,0.0072738113673738,0.0101833359143233,0.106197645963658,0.0460674719933674,0.0208515925864716,-0.0858309741350109,-0.112986536573206,0.0906801817132601,0.0140627019769227,-0.0829214495880614,-0.0450976304777176,0.108137328994957,-0.0683738268533138,0.0286103247116703,-0.0179420680395221,0.0916500232289099,0.0771024004941623,-0.100378596869759,-0.103288121416708,-0.103288121416708,-0.0994087553541087,0.0693436683689636,0.0315198492586198
mild,-0.066415472840938,0.0342873614468577,0.109218870478868,0.107302191351866,0.133084174975851,0.173565131101244,0.0187192751500151,0.136380249964352,0.120266590560074,0.0189404955033029,0.119505075529316,-0.158227028704875,0.15080447341885,0.137004525816013,-0.126598811697376,-0.0426552632380072,-0.147452771899177,0.133132019206433,0.0556912596116414,0.029100999481181,0.0971023360018749,-0.0756289385092152,0.0997221290691215,-0.111767438577673,0.0676555655218796,-0.0317888707605436,-0.0321935165551243,-0.158851406064804,-0.0634711578390964,-0.138839896819896,-0.0852277972371357,0.118182558134302,-0.114114749616007,0.0754040976943487
mild,-0.214139655804738,-0.165325938504986,0.0150051880803359,0.0931701134142185,0.26031869222515,0.180490879197568,0.0234758787260534,0.214252786243595,-0.0909117293000304,-0.157473557459746,0.227411947490881,-0.129487217323594,0.0288578881049654,0.261540102639445,-0.200665123467428,-0.229764994231555,-0.154737695902495,-0.236355347745748,-0.18350789207486,0.0369723189584313,-0.133838771054038,-0.094318165573816,-0.010578586230009,-0.267673438149772,0.109951892974227,-0.159262279757349,-0.158656583793426,-0.24551348158368,-0.0429006677866669,-0.254098026896191,-0.163053039655911,0.111788836781911,-0.175384257491372,-0.139664943390951
mild,-0.0403943019313365,0.108859220459026,-0.0130083345202609,-0.0198548263730298,-0.10338202697681,-0.108859220459026,-0.018485528002476,0.117075010682348,-0.0431328986724441,0.0431328986724441,0.0677802693424121,-0.0239627214846912,0.0047925442969382,0.0568258823779819,0.0896890432712727,-0.049979390525213,0.0924276400123802,-0.0280706165963525,-0.0801039546773962,0.0992741318651491,0.0362864068196752,-0.0130083345202609,-0.0951662367534878,0.0403943019313365,0.0979048334945953,-0.10338202697681,0.0540872856368743,-0.0445021970429979,0.118444309052902,-0.0225934231141374,-0.0294399149669063,0.0513486888957668,-0.0157469312613685,-0.0047925442969382
