group,VDR,TFAP2C,LHX2,RUNX1,ATF1,FOXK1,DUX4,TP63,ZNF76,ARNT,HEY1,FOXO3,ARID3A,RFX5,MITF,STAT1,EBF1,KLF10,ELK3,ESR2,RUNX3,CLOCK,E2F1,FOXP3,IRF4,MZF1,FOS,GMEB1,CEBPA,ZNF384,KLF3,GATA2,PBX3,RXRA,ZBTB33,STAT4,RELA,RUNX2,PRDM1,MXI1,TEAD4,BATF,TCF7L2,MEIS1,GATA3,SP1,PRDM14,FOXP1,BCL6,ASCL1,ATF3,NFATC1,NANOG,PBX1,IRF3,GMEB2,ELK1,STAT6,TAL1,TCF12,IRF2,MAFK,TBP,TP73,HOXA1,PAX6,YY1,EGR1,GLIS1,RBPJ,POU2F2,NR2C2,HES1,CEBPB,SPIB,ELK4,MECOM,SREBF1
healthy,-0.102282531981855,0.200671883891204,-0.0865201556829199,-0.209297962365312,0.128297581325089,0.037477989318857,0.0999611424328261,0.354399196876863,-0.309964232759532,-0.0184760267932845,-0.0057591336056628,0.0464776247318895,-0.292876095559709,-0.059722677205007,-0.0335263428767075,0.257859318047482,0.151389573780689,-0.143083425374021,-0.153303660700934,-0.0511023538097897,0.0316993669233133,-0.0642385829729685,0.15366073718667,0.176941862462188,-0.081501988484472,-0.45597947843677,-0.254205366140694,-0.313957734320889,-0.275287266496369,0.227040870586233,0.197056647969682,-0.132995818456097,0.140959016479761,0.0800551093323782,0.134592068064861,-0.167662320939458,-0.131976646303401,-0.470578282421745,0.206171123366039,-0.158178474116097,-0.201806419216214,0.0882762395281569,0.0479768227829923,0.0991954553458295,-0.178772762333008,0.283411083539991,0.115951890725936,-0.0561299384100592,-0.0929077700629283,-0.0291752416406243,0.135275091291424,0.0270278124308,-0.0927740952759603,-0.0119149752630613,-0.0399492725135469,-0.11879725404854,0.219338220679633,-0.0461597874204098,-0.0741409809884013,-0.119712049997712,-0.0533643614084437,-0.0957269739360281,0.0374131138840858,0.0519664004269233,-0.062670847164164,-0.0183250867696436,0.222753860001436,-0.499328040616179,0.230809662476346,0.342107917932679,0.031953375178002,0.0380393711052235,0.196713697586678,0.293520925989994,-0.111166542628078,-0.144771233056051,0.0089189335113111,-0.296858871746768
healthy,-0.288020340447052,0.177887185549004,0.0179725969437879,-0.0964360876403795,-0.211612313528444,0.0196125251328336,0.215980032740495,0.107447751382825,-0.162121190937101,0.101469071959856,-0.105417805266264,-0.139939002061766,-0.201623866898875,0.153313971243324,-0.042438381601236,-0.223778702837943,0.433202282270377,-0.176776447849396,-0.281299006047062,-0.0835143872985395,0.0632945917433314,-0.116452153005774,-0.0134174888291286,-0.0102401876092849,0.291617934288227,0.0963766981464479,0.040462348518474,0.0999238879993247,-0.0682419935263117,-0.132979258118523,0.132890430816104,-0.349497393443095,0.0137827525695563,-0.0746695077649766,-0.150653307232989,-0.188086718149958,-0.17041081907845,-0.0975405413589235,0.17977036840689,-0.0412268212428326,-0.0401635070451777,0.255648588183713,-0.182656815269555,-0.0518048756096834,0.239917639980219,0.156047840696611,0.0860703085030128,-0.235868862171548,-0.0062767574219308,-0.0585060073041974,-0.37454206783274,0.0658950146922068,-0.0141821377398721,-0.210109605168887,0.244193404581518,-0.271913850964007,-0.0842368395700842,-0.127593078825989,-0.221739301385389,-0.250605429100504,0.203497785289351,-0.0250657286626479,-0.143172213094439,0.139457528718256,-0.176095854526479,0.0505058974399404,0.12227139843255,-0.116816374310091,0.0094382752781214,0.0695694992082201,-0.178134081403133,0.19338246978041,0.0479760811848393,0.0496876438215716,-0.265941000373941,-0.068729207609532,0.11726892372207,0.0158003509569711
healthy,-0.221981832725386,-0.148730058582253,0.124762466034657,-0.176718337645913,-0.294596965886117,0.0418430875381692,0.265607134402613,0.248447597147561,-0.264029838867371,0.13336918332766,-0.159002563623489,-0.190513743513545,-0.182628829063834,0.170023718223939,0.0803418898687904,0.129955640389668,0.258472160873135,-0.101585254397101,-0.230961209621945,0.168349638578636,0.252393452690888,-0.213635086795433,-0.255338911242651,0.242624714379829,0.354980803238789,-0.184711726421226,-0.0709700751551725,0.151936575958977,-0.212567403098139,-0.376718623104665,0.0075649967488287,0.323137471701353,0.107997541520485,0.100925980613681,-0.0193401702516775,0.225535590283501,0.105916615187806,-0.0216045378154345,0.257473531007176,-0.282483047998055,0.0699138098079415,0.298755828031221,0.0700425381116321,-0.146492469768049,-0.0487170022426864,-0.109504559829742,0.209301347181799,0.219140498651582,0.18179032796424,0.326779449606982,-0.294725898088916,-0.101894229512507,0.205806788331453,-0.157525518483149,0.296364431323009,-0.335277828507122,0.0523122192861507,0.244573717989455,-0.267564565842047,0.228664286167234,0.348300048956177,-0.11650128976381,-0.203297537938658,0.182442397312501,-0.379715328298975,-0.138648607005471,0.196079441539373,-0.221991348017105,-0.129382140164461,0.052939277010464,-0.177756999703463,-0.32381733929471,0.135423874641741,-0.222660001159507,-0.113303200216895,0.0840820791782378,0.116649796281003,0.145593954364253
healthy,-0.147870070157338,0.0118669007377876,-0.0887238939228039,-0.233016441249626,-0.310198465259243,0.131574416977174,0.111615986979714,0.125453337957046,-0.187049256055575,-0.406956411880959,-0.0023722620624849,-0.218280254694455,-0.0911894462085282,0.214383378815098,-0.0725295672023383,-0.195480491006425,0.462007863588535,-0.0220914393245022,-0.18131627484617,0.0142661540727267,-0.26869296360697,-0.161883257482404,-0.102279015769718,0.17917025031008,0.326090384907748,0.187521996400305,0.142670537818085,-0.0111339435625055,-0.227259263980449,0.003856694697063,0.185984192673593,-0.145240473827378,-0.192204414393511,-0.359784053269274,-0.169117267901682,0.0644909722828189,-0.135643547838018,0.2160415513879,-0.0693082592878998,-0.0564213679726161,-0.100300616644111,0.0640272290289073,0.157265042030472,0.0188296881765807,0.192756730949263,-0.269730074862139,0.0445894073933451,-0.270511598857759,-0.184490762948196,-0.0529696297127605,-0.510404612705039,0.146335673096081,-0.116889854506211,-0.0208998925686896,0.330212799510329,-0.212274565547828,-0.413418157446624,0.378573647613957,0.0996381512386363,0.0764630428977415,0.142934947467659,-0.0304240556779388,0.014423559486844,0.326330511147153,-0.272135966827196,0.201714252037769,0.180965825056249,0.0061630072103479,-0.109140913500794,0.0089887051799821,0.0556697178125276,0.231701293683061,0.324436754555553,0.0337919375573545,-0.236469664466219,-0.312087941681425,-0.198311080598251,0.102187734605593
healthy,-0.310665319233905,0.399197869678429,-0.357320790867622,-0.129868977575906,-0.308853784271638,0.196243609968966,0.44364347681976,0.32761570231442,-0.35657978530175,0.150076945628926,-0.0743825612977372,0.162759526315946,0.0301515513649611,0.250677987034945,-0.269841142074974,-0.299617257763333,0.201421266631658,0.0924355343166584,-0.298621074588164,-0.2949934245862,-0.164916076354936,-0.311842758483354,-0.0477182194720243,0.188363511613395,0.553952858045742,0.309283566715808,0.10010418467526,0.0877858410161747,0.0628056805589044,-0.239233353581799,-0.181374084777612,-0.192385845377709,-0.230477826674548,-0.356354126650841,-0.27077001575273,0.126665667500994,-0.123659862648108,0.24952041003284,0.263112929926299,0.261275084019936,-0.472122894837365,0.397184804775596,-0.0491278706072784,-0.365871429546433,0.123560740886775,-0.209913899707864,0.294243350336343,-0.0670928682444613,-0.0682280806174028,0.279326992056516,-0.158793473274862,0.320540959285935,-0.185565829137775,-0.246014494699465,0.392122603959225,-0.33287899531788,-0.328496985002158,-0.195390245499287,-0.222790365983676,-0.0042188654748745,0.323880796176799,-0.0977676068851804,-0.251994677625723,-0.114794492286139,-0.361723741480297,0.161067184438645,0.404298782276219,-0.320137683794881,0.0056139466063204,0.348319030896015,-0.222418830886569,0.0068561537695589,-0.261179732165417,0.0767263718206486,-0.233914178406782,-0.0907649298396567,-0.042235461702683,0.286756857693514
healthy,-0.324397503640594,0.240296502761182,-0.163440574764594,-0.282737626052593,-0.195071473230354,0.220158993013568,0.344446603010661,0.329802071044366,-0.265449800182387,-0.114499217689072,-0.032411777526716,0.28829711475681,-0.243036055172994,0.182244437451845,-0.410485984076593,-0.211621753213894,0.11360534338768,0.246500806539122,-0.475233237862695,-0.0595897736681558,-0.101087952024952,-0.16402312007677,-0.144296111147388,0.0361473290270746,0.385110124776918,0.279756703995377,0.355433470224806,0.106678298150788,0.149649606248327,0.0176089551131071,0.0597205758407205,-0.115821310557525,-0.243639766654913,-0.25479485339038,-0.17085646339368,-0.0428160201546405,-0.0595501961016995,7.50626103922161e-05,0.103189388019758,-0.0654512766614209,-0.323152207502245,0.356931670381957,-0.266815969419292,-0.390232496402638,0.372275458871676,-0.247328130280593,0.306047762314273,-0.308662418469797,-0.0763802143679286,-0.191831067408686,-0.241267391796299,0.369655729177338,0.177281545384099,-0.36077650115194,0.326704992694211,-0.338977129983381,-0.336463825693084,-0.219191175847655,-0.14813434235321,0.0651721725710833,0.119572043037305,-0.232663938351392,-0.414408939416917,-0.234283843984561,-0.321430533815119,-0.170116460011651,0.170035263572106,-0.124116784341575,0.323431509777693,0.0327578087286825,0.231809284883259,0.025077303340796,-0.107473515904448,-0.158160566702422,-0.437996098825281,-0.170345324176617,0.226587662154478,0.364539144556829
healthy,0.461700451451764,-0.0902856147054154,0.280225522628486,0.0131127768555655,-0.282462049842079,0.283795814604773,0.202085740461741,-0.0305791455410263,0.0411326119299267,-0.492184026914958,-0.19103053116422,-0.0087952580452442,-0.0307730965813337,0.489497289677849,-0.271061570214349,0.228050818862701,0.0337779322637773,0.0931283560401625,-0.0831633015030159,0.156062657735271,0.266869604251376,-0.3589302926083,-0.278353473456824,-0.17245198912202,-0.243848927513054,0.503833269833518,-0.0500754414188831,0.0546253266929543,-0.473310810466108,0.0356087551273553,-0.211422093800597,-0.0151427040479615,-0.130068533526343,-0.440553229327426,-0.154171400851887,-0.197220567626977,-0.0832480965230537,0.09547591319712,0.236128364362653,-0.486471840841363,-0.128637793243496,-0.0435335758950847,-0.200213222809305,0.0722247439181428,-0.140088400314011,-0.116928584785904,-0.222432797424618,-0.476272545917372,0.468355220842021,0.195599624150012,-0.299556913274004,-0.0813221720624167,0.1639340716948,-0.463155552734843,0.306117986509524,-0.287474794120556,0.0061956582320419,-0.0062617140211321,-0.4583273898812,0.195996427365327,-0.076596606498212,0.0853553230431085,0.182788080431929,0.0939065026052606,-0.276253742629148,-0.213908321266566,-0.038221472402221,-0.361080150878761,0.0186670849084266,-0.339918874331212,-0.311200065942506,-0.281608477872417,0.0717576685867745,0.12410383631573,-0.218227713999982,0.198563702005145,-0.0491309841791253,-0.452580536230353
mild,0.237844135960644,0.272266576149958,-0.117933661989612,-0.0622071676664161,-0.0605209124713078,0.158207621108425,-0.351630536888951,0.293003632771895,-0.247272335242934,0.111580062089237,-0.142018016590422,0.205784568286327,-0.194968588303789,-0.0820447408108877,0.180089624621185,0.196152155696344,-0.0461045134587078,0.0607231030067451,-0.199571522161051,0.159027233978494,0.127296337899156,-0.231683580775431,0.164419988160158,0.213559714735266,0.254105635584002,-0.0148729098142061,-0.284487414809942,0.185613165477623,-0.125311564864068,0.0747299628792159,-0.124016643858778,-0.0383439309700175,-0.0554897866240343,0.199397404814863,0.257144489690464,0.0693700931950977,0.135100959029551,0.0812720418088023,-0.212686108294315,0.0277143927960597,-0.12654214726322,-0.0626233386098729,-0.272496594252299,0.0595576972193813,0.294050012860321,-0.215064397223583,0.285234901400684,0.272670350389155,0.282565694475773,-0.112595681590987,-0.176608968157098,0.110508787453679,0.278526362762739,-0.0970486973705859,-0.0066340283770297,-0.162336128181235,0.11323866309792,-0.022505176299951,0.0792882368147233,0.193332757931367,-0.213063586494174,0.170402669422135,-0.104733382554528,-0.0860053722347597,-0.160218459008878,0.285065927675378,-0.232770777518324,-0.225984058732655,0.142576417320276,0.226633614249423,0.236685911014792,-0.0365454552597783,-0.202101345629098,-0.18866275472542,0.0498524792765271,-0.0941276119545869,-0.227035076748898,0.0382212642810177
mild,-0.327983643069675,0.326795008623527,-0.0577402989300428,-0.201138146233802,-0.404007929926529,0.228479265989332,0.294050844734049,0.312483746360179,-0.394665833993934,-0.136554114156486,0.120781604190616,0.0130885891594197,-0.168755092636707,0.347771324966059,-0.454886481885304,-0.210353963001953,0.344148418384181,0.253676888343797,-0.378036503525052,-0.36654618525395,-0.0849274760546753,-0.229142216402959,-0.0964821976550541,0.292510654096962,0.243996881214234,0.300244482076911,0.383679329548595,0.278550852483538,-0.267877010350715,-0.0553963738517836,0.0906575397099454,-0.275451571459599,-0.128427134902132,-0.362253735928449,-0.329620008766113,0.267613438748525,0.118943125820912,0.40280860357231,0.318901635835016,-0.0382577316060353,-0.288597120434716,0.264663010625078,-0.308770744601688,-0.25750072636458,0.0858259958677149,-0.265894447445694,0.248343997371085,-0.288135822360377,-0.181077825024405,0.0955318511844563,-0.0987288011817898,0.411981791676929,0.199004003166605,-0.321412679518618,-0.206824113368137,-0.26484361788455,-0.332560300856484,-0.320298801573492,-0.342545917634588,0.267090620946436,0.308745964736762,-0.290652546391564,-0.462402320012496,0.453318063221224,-0.219133053107569,-0.308293013472866,0.342046099160338,-0.0211171872255449,0.376707102422451,0.200103002770119,-0.0660742200216661,0.0294731696059562,0.163761172497668,0.240040927341578,-0.397332592159973,0.280594613751078,0.316440968322662,0.403196751971778
mild,-0.177970352970904,0.0972177098322823,-0.0167401237769002,0.210848094532846,0.31532487888505,0.0793034478259063,-0.300580322314104,0.259054187291386,-0.159494749978325,0.129942018191328,-0.320985067162603,-0.211377626196498,-0.444837471221933,-0.176306912515121,0.190937329752206,0.0088813499700504,0.199537073660844,0.315424049125946,-0.193635508759224,-0.550983309439783,-0.0271305454315278,0.0054871081401396,0.409923933016693,-0.115291018451416,0.0593009973508532,0.130106678213948,-0.0491164007245002,0.0252463108545046,-0.284406217364959,0.304401183293529,-0.121402150654552,0.123610091866952,-0.154031031045943,0.366485496367642,0.0225799411700377,-0.226309296429512,-0.118260512268433,0.303422578840915,-0.286460725374464,-0.180503871955303,0.322929178111488,-0.0078447402821945,-0.0171723563362769,-0.236927996751863,-0.0106140224807988,-0.304930714957181,-0.0086624269854311,-0.0785999004565312,-0.433981136548757,0.01185832833355,-0.111077218781648,0.328624917984833,-0.305028014061457,0.0002366987825158,0.475110590607891,-0.451625954881755,0.0965815233812516,0.308991081424054,-0.0698897594872728,-0.0782050906295681,0.135553556916743,0.094489592639333,-0.014081238638916,0.0178571923394452,-0.49151858763462,0.16494349981774,-0.294680628549105,0.105185009563131,0.2342167197885,-0.460046069674808,-0.0915163565490749,0.0722623607222932,-0.015931792756767,-0.311311290833695,0.0944259739942299,-0.229263821153564,0.240185645608464,-0.398874871271587
moderate,-0.105834182267734,0.260165199750017,0.124415186370051,-0.225514976797257,-0.380241838093211,0.121220440327815,0.137022073968688,0.409255627093865,0.0400937264496289,-0.0265641798741176,0.111094195663474,-0.188766608016338,-0.100691250964907,-0.062680261949375,-0.37811884351688,-0.117562682894973,0.183074942567203,0.124550064073009,-0.357215837833223,-0.106395937592122,0.0634854047940659,-0.11488661377964,-0.0027968405420363,0.0803626962542681,0.193623941479915,0.131770632848517,0.291200526647786,-0.158143401404841,0.0009312312524444,-0.33659658532192,0.0156841175086898,-0.22511001815893,-0.0793606080910981,-0.0631701837746822,-0.0321444057408397,0.154493782208299,0.201139873978233,-0.0420271543750607,0.193482987227186,0.145291607148459,-0.303647253756024,-0.0105026652207061,-0.0440033351685259,-0.247656513536076,0.25121943338856,-0.0030138601767239,0.240967317336101,-0.132422017282032,0.176581064038446,0.0329388061136136,-0.0911662591984685,0.238725287490143,-0.0200873373866837,0.0507538394153009,-0.0012717350592693,-0.239584468223871,0.126424462657806,0.153382316149247,-0.0182335556671823,-0.10464350404202,-0.010463818706097,0.0901126288720603,-0.255209230862474,-0.0459485906640482,-0.197791152505186,0.0373232537932071,0.0365265747142689,-0.198282484958119,-0.179094368427763,-0.0535695606655551,0.21212660149411,0.15861769781645,-0.0745319212192992,-0.10775024862239,-0.267141512926685,-0.224617383588189,-0.0036382256657201,-0.0199935849044987
moderate,-0.0621635666186615,-0.169673503351697,0.0280129668304936,-0.181449206005388,-0.190333928237207,0.133138241474164,0.111945318965508,-0.125674810564938,-0.205625808040703,0.208132793882916,-0.0158390269778833,0.0305845734709507,0.0915903100945381,0.223653817083713,-0.0946006165370136,-0.0649673008242643,0.167240389228048,-0.172056578406345,-0.240656289717979,0.0543123973555708,0.0960330035382301,-0.228479406390721,-0.325964655210737,0.33863863307898,0.116083410258617,0.302687087996335,-0.0929885012451303,0.157614196237534,-0.20260736295865,0.157049252571272,0.0365971019739216,-0.223920954363441,0.0829174502153175,-0.151830336377889,-0.275830309868601,0.266135141907669,0.0676761791855929,0.0066978155197841,0.116298867177029,-0.264551294823917,-0.057054481366375,-0.178358571190284,-0.0697358111390367,-0.098804576553103,0.0121759066905082,-0.212163400876008,0.106838431145907,-0.156052730412621,0.169319052033704,0.124827062737762,-0.113052390978418,-0.107720320566111,0.21895657412284,-0.136501073089933,-0.102808990691155,-0.177959628642601,0.173836797298699,-0.158540509065431,0.147690196860485,0.0861079732668344,0.191408744108592,0.0825684517858409,-0.0973604156532979,0.246145734290913,0.191050657531587,0.248966410431236,0.322000323872604,-0.0425444264094786,0.15264890718218,0.0855814575437763,-0.0824586615379423,-0.191481503546413,-0.0818777525737088,0.216286964697472,-0.192736820879225,-0.241260597270997,0.0136676108098444,-0.15880165088067
