group,RXRG,EPAS1,FOXK1,MAFF,KLF5,SIX5,TFAP2A,PGR,SPI1,E2F6,GATA1,ESR2,BCL11A,E2F1,XBP1,ZNF263,IRF1,NFYB,SMAD3,GMEB1,AR,GFI1B,HOXA4,NFAT5,PBX3,MBD2,TFAP4,BHLHE40,OTX2,MAX,TCF7L2,BARX2,STAT5B,TBX21,E2F2,POU2F1,USF2,SP1,HINFP,ONECUT1,ASCL1,HNF4G,CTCF,JUNB,HSF2,ATF3,NFYA,ARNTL,FOXA1,TCF12,KLF9,IRF2,MAFK,TP73,ZEB1,ZBTB7B,AHR,TCF3,FOXP2,FOSL1,ZKSCAN1,EGR2,GTF2I,ATF2,THAP1,EGR1,GLIS1,RBPJ,BACH2,ESR1,HES1,CEBPB,ELK4,MECOM,ETV7
healthy,0.658396193479424,0.403569905447294,-0.441867381910584,0.217900122123582,0.482227042695299,-0.469306334252059,0.112031477340948,0.705938935369013,0.766100662138052,0.488823484274531,0.1175332560715,-0.357272552643104,0.419643936886039,0.595732302744729,0.0153091500054728,0.439111748464117,0.511318561833593,0.035144289012962,0.716205669248463,-0.5972284504074,0.764616171360594,0.136996730203917,0.690635071625439,0.74386393368617,0.508294548936854,-0.602651612935347,0.0182309618388251,-0.689475076001491,-0.537235070748077,-0.451522807042196,0.107575023014684,-0.75548151079865,-0.370627547833145,-0.179928767355924,0.639717797011638,0.429599187948963,-0.571436371965315,0.800775016022686,0.635707828498096,-0.149835569360306,-0.484009732861946,0.111024647766902,-0.551038720473672,0.322158761294945,-0.659838936342395,0.183449688871194,-0.512128579810774,-0.378410009710291,-0.646213121888899,0.0719532083434875,-0.427175640185911,0.248158143054316,-0.53959897863329,0.635535957213782,0.317435011879825,0.116302776955561,-0.63876355896623,-0.607335512068457,-0.702160749107978,-0.305752373082431,-0.766838298990766,-0.549838061296652,-0.433615933721349,-0.35956407940385,-0.409626877222446,-0.607289968889018,-0.170153249197575,0.677968103753365,0.0872698133336901,0.479232307556772,0.613169105392071,0.623773346762014,-0.632820174049324,0.633815346738157,-0.490881873331002
healthy,-0.247630733127227,0.207184733648745,-0.197090416268755,0.298168492779496,0.530856848910245,-0.424373096626576,0.182435027183589,0.680630859322106,0.444228947703585,0.563652703857642,-0.536209081493595,-0.449487362280173,0.552083265709425,0.479811786335256,-0.671134484514361,0.643018203982315,-0.450789673990717,-0.597868502000931,0.64918642735139,-0.469649166542261,-0.0285176167018149,0.562958184400018,0.129442147903811,-0.401478050344964,0.655799241589482,-0.146527157156523,-0.0700477344732233,0.592173797391865,-0.150760769330444,-0.557722002190295,-0.450455163991887,-0.0961736938226099,-0.0779917479783695,-0.131505966580848,0.619982592028491,-0.305124222722613,0.470771610660649,0.601201138634077,0.621410940930578,0.272148822858922,0.377021083488354,0.21080711707182,-0.617909076941813,0.664838134627539,-0.580781782566153,-0.37756581681102,-0.556464889301065,-0.452245418073455,-0.610578413781304,-0.236347734341357,-0.693021870548454,-0.0335535382049295,-0.571209611198516,-0.401672914297788,-0.581482803942387,0.540379457265539,-0.673137357788037,0.115843151188163,-0.643823667468055,-0.20176671552411,-0.192812718505241,-0.347684233108405,-0.487388675378861,-0.488301154314102,-0.575557257021929,0.354361663187783,-0.314245260968138,-0.287810008738506,0.715198406422132,0.516671517886474,0.645857791898928,0.631450637354095,-0.62926960667033,0.686655588735525,-0.189748072242055
healthy,-0.617521987870721,0.580667566304396,-0.753934282938173,0.601585399356496,0.16746429498456,-0.367046106737005,0.782340683180983,0.526246785713465,-0.280762863249812,0.619668841096309,-0.0481709899926593,-0.204250980225238,0.804262984102464,-0.106370443666993,-0.793743791594489,0.504091002998593,-0.419384175081622,-0.460298246050313,0.804007247115031,-0.456604890536316,0.409198666670424,-0.0215613281457424,0.263701362762747,0.293333308723346,0.811820905524688,-0.461256621579207,0.127034840753338,0.782226710700994,-0.257347738561254,-0.640363187417932,-0.767072469557294,-0.618971667481334,-0.612873456686101,-0.117234142264323,0.654841503443715,0.728235070653012,0.731068455268315,0.706228638626429,0.784097117744047,0.587357966600544,0.258936198541823,0.555125326841832,-0.783045730604512,0.794295641309112,-0.813118070542205,0.121576385891521,-0.489668594608893,-0.751638834047034,-0.600302867398712,-0.199660981279554,-0.105615133301184,0.516120240982765,0.429118107988511,0.684100683892475,0.479020508933486,0.655251624604357,-0.716638676418553,-0.279136724039265,-0.449506742008131,0.690704688015307,0.0191124658249145,-0.713350192859495,-0.779376715585453,-0.768789247449876,0.181842983962378,0.592094835445521,0.552363992967823,-0.751020829959168,0.73604196981149,0.518642700043826,0.707557946040511,-0.25451453371327,-0.549736082397674,0.537470306575695,-0.450685188688448
healthy,-0.119358722713344,0.210668654521287,-0.318511417262082,0.0712433785350376,0.1648892140289,-0.078941305395274,0.191135892950787,0.523149280190265,0.0816591852122518,0.257237172619911,0.0214771175656964,-0.238454227535912,0.30952810970189,0.0553668198180771,-0.482809941983904,0.537345764309435,0.278237839215638,-0.606121541587613,0.500184316850042,-0.302301936657343,0.242089869261284,0.0307617520042177,0.279008128204755,0.410921723929241,0.0487113067057551,-0.406658347415868,0.0598467528688616,0.0965644078743626,-0.0659345750049664,-0.228523246943375,-0.179873313432691,0.164284610510087,0.579511675151787,0.138918116262356,0.184608310823426,0.370787465251248,-0.044943745845562,0.0922678410915967,0.180908814387514,-0.040350416400418,0.199963928543087,-0.34765681644072,0.0682819556999278,0.441120304860417,-0.53927487670961,-0.249070859714978,-0.202247986280823,-0.373816376444549,-0.412302465723633,0.0306187989881162,-0.315440408931368,-0.14309415229379,-0.113612995209695,0.685365148742293,-0.110202595325875,0.382051418465407,-0.35043159386237,-0.377681469725213,-0.487040748606752,-0.089748969952645,-0.268273269538721,-0.087044251030206,0.0140235313535641,-0.382296379492378,-0.463134271710078,0.0964923553002209,-0.2115861948658,-0.0336642831597246,0.229989202206447,0.320024875821267,0.640937159299213,0.344303890227663,-0.170914112022765,0.24224367890756,-0.255674748442998
healthy,-0.485398620975029,0.311555660491822,-0.541283792273936,0.525738006016932,0.632464321309605,-0.634390090084657,0.199115203049051,0.498365869706011,-0.146627603048326,0.695745162399348,-0.186416642603595,-0.0820040252160217,0.649402334883576,-0.615103876140516,-0.754401467074073,0.709634301819176,0.44007448348353,-0.74969961857609,0.665280190427337,-0.455207866356002,0.492824944566332,0.650300306935011,0.150814760413798,0.293930728044344,0.466513508351058,-0.548410041990906,-0.0282004529536916,0.44857165734579,-0.0497607804743887,-0.582319040269058,-0.590438773967477,-0.430934325151439,-0.714151590587468,-0.163176305225384,0.570175338005,0.56801146698671,0.6660880983064,0.629702904456748,0.415109822398324,0.658576128376038,-0.401573648887852,-0.148505832684545,-0.36071520908667,0.686271444100549,0.0682672061840141,0.580015248609821,-0.619797715621666,-0.620133105059225,-0.696968820917019,-0.535241266882053,0.24247799872119,0.231758464979979,-0.553606538751862,0.659826619132844,-0.617001227135029,0.677378237229956,-0.6864462195491,0.243336115411363,-0.497644909123055,-0.408442959587645,-0.630457540854982,-0.0318712116805273,-0.0096272854371254,-0.727993096007012,-0.659007382086145,0.0081492220581964,0.0161856674022078,-0.256240186415653,0.621754504091354,0.520993158178154,0.678026493286163,0.506456345422463,-0.721184550842716,0.652351604513655,-0.546122403881695
healthy,0.082759327156973,0.258833745608422,-0.578621010282628,0.657695425677829,0.631786216201817,-0.622892906383599,0.0957970242113152,0.507106732003222,-0.415064812890636,0.653757779754461,0.279118606667974,-0.578343384190399,0.643853914775382,0.633541955653861,0.383565016467299,0.707465219664502,0.668486149135658,-0.721946970573957,0.651105287042811,-0.745708631118913,0.661700916417879,-0.300223506631949,-0.0104340106472958,0.583579618768889,0.433697078647491,-0.669260099819857,0.56225016688662,0.589406798271452,-0.262735043113927,-0.619598635801412,-0.0087834539078826,-0.525415140390552,0.0027233417268551,0.639552546244923,0.602015371793679,-0.142466318420641,0.531918789103759,0.597460923380365,0.0875856793796131,0.481500374349909,0.602790311955964,-0.175628700298912,-0.606346615409467,0.64584671171815,-0.704941645218113,0.451750094395957,-0.200162869035919,-0.628032911237919,-0.741944286917579,-0.604522017819811,-0.383653842987962,0.2644724831821,-0.554519148097601,0.630857656586404,-0.561428625882935,0.178557507746292,-0.700490782046784,-0.444726182873965,-0.685188360397504,-0.568436956105436,-0.4314967178138,0.0868808967900169,0.549450850600923,-0.592226965793613,0.293817244020916,0.730819358295307,-0.376062233316194,-0.328267664095205,0.689601146544674,0.721866369834968,0.552144949077854,-0.210385107530073,0.0178591734150912,0.511056037078008,-0.684713863930528
healthy,-0.333209666304479,0.324781611719153,-0.341216140278425,-0.074241768721079,-0.0136568993412501,-0.0310973512580572,-0.186882949500714,0.284583811482934,-0.333333294374061,-0.0493222632998387,0.259651854313678,-0.200867151932657,0.0652000208407047,0.26457118419036,-0.338895668094685,-0.0399060735684278,0.317173593681702,-0.347390428472951,-0.0470266946121301,0.302807834114143,-0.0801154361420895,-0.281837311634951,0.0655966979560546,-0.234747468872171,0.124441880256008,0.176995372165861,0.342094877924088,0.189783317377746,0.225184526396292,-0.200891166018115,-0.213481662082898,-0.118186655699381,-0.0366374897143676,0.225224549872056,0.361579195336576,0.308366650192477,-0.319947665257434,0.235019628507366,-0.161693063265424,0.360302001754418,-0.0939804575573124,0.109098658469235,-0.168448136563815,0.0905366598204632,0.0453199157234385,0.0558265228167754,0.345593819116434,-0.175615006957289,-0.355699302041558,-0.242092221380152,-0.0165110178685097,-0.33815301026662,-0.205463625771509,0.337759001382987,0.117250106366503,0.284261844855677,-0.101733449518086,0.113954840195267,-0.166298431210002,-0.327455179900188,-0.214538281843067,-0.267918036174803,-0.331548247354987,-0.285313128152411,0.0240043019421035,-0.142454223170954,-0.323858403544863,0.192112683667211,0.208139862184262,-0.0837949276806601,-0.289538717782517,0.268442788412598,-0.302746464784638,0.248897991081177,-0.244588796857253
mild,-0.686322064693239,0.608560019221035,-0.618746543878325,0.787769416645114,0.602579350180809,-0.366900676685922,0.615747120531207,0.75765006731639,0.247818968333558,0.670742254386689,-0.638551131053785,-0.642429545940944,0.586340498683986,-0.340702024247996,-0.733896747403039,0.614358617226961,0.427409934520061,-0.724824279549969,0.697524101035698,-0.683441064823141,0.335921647273808,0.704717320462712,0.477076814406266,0.348096611441251,0.235829535507174,-0.617590551101142,0.468990894734567,0.519106686842587,-0.67011364180882,-0.711803226206103,0.385773079307883,-0.0732946053889563,-0.599074618974078,0.0992585827675077,0.694152731523885,-0.304796291059965,0.162563113212407,0.635985372491682,0.281065639837056,0.769402314520411,0.183627038539433,-0.309682759566878,-0.598878456392682,0.709678259188466,-0.635160597332417,0.599901867884556,-0.578014448448002,-0.0804284032503473,-0.746935867965593,-0.616813712234006,-0.620806928319623,0.589067964007002,-0.592664908707652,0.793291977882376,-0.805432677650562,0.695873380102756,-0.663276451135415,-0.505224120188986,-0.752804364168027,-0.0614203639658338,-0.665181718123348,-0.0663830696567409,-0.147437427674873,-0.715193325548538,-0.635788201267678,0.593088361906555,0.0067811778780571,-0.288134148336045,0.630039004662487,0.616824711592083,0.509423055192534,0.663503704941147,-0.50779958233472,0.709461180157072,-0.726676994049312
mild,-0.655065971751791,0.229674437261201,-0.504387124793992,0.382508133367648,0.710898599594822,-0.306974003392354,0.191704397515789,0.700285596713026,0.505439532818834,0.631965616547686,0.249960355354172,-0.150500775807983,0.50498438785404,-0.108463767942532,-0.638304808304184,0.656179537616564,0.558951918050442,-0.282489201469204,0.529576672469097,-0.416393924938524,0.582473883995937,-0.0536714351449651,0.382442768455626,0.516005486140486,0.618242759152518,-0.520930800496888,0.168929389220078,0.262856885437485,-0.189615572104769,-0.486076299988659,-0.520847543763735,-0.560295574052611,-0.687953256644283,0.261697164133035,0.697533672740217,0.29426070212218,-0.0666511372552822,0.542552760450369,0.629411010844215,0.623032411904616,0.646821352809712,-0.0757999943431577,-0.623025014234227,0.66243974559456,-0.579954760757307,-0.176130955460936,-0.643472956367583,-0.513380922569331,-0.706332232252777,-0.510868058173969,-0.532029630793182,0.297317699998272,-0.436411559832475,0.216402197757726,-0.226176186228831,0.527066518670518,-0.678275946125128,-0.185223661783495,-0.483387604450546,-0.13867674793053,-0.343350381641277,-0.206924643162655,-0.558996266425597,-0.620644498491545,-0.306750501511029,0.750382517055699,-0.327516336411623,-0.636668784321156,0.68301719401869,0.401914942805838,0.514773952844857,-0.330887537631554,-0.436291757101714,0.604311599923961,-0.708633990100024
mild,-0.346097210877451,0.157849451657549,-0.126907527778689,0.137306728699285,0.356425920891071,-0.288980460049095,0.304936495009407,0.434262219325698,-0.171524687610805,0.409739747026154,0.0272333853152649,-0.102070833300593,-0.275695910987042,-0.234193493434337,0.202472585295341,0.331793530567091,-0.211856239251035,0.167478031645954,-0.0343338507416323,-0.155039373467608,-0.13870818351085,0.109643229375356,0.309018993808313,-0.0139333043584548,0.262313391511905,-0.318215070265784,0.252901063288966,0.368293483246802,0.166797017798903,-0.1445242807169,0.308425197524129,0.20213566265522,-0.0670846429791528,0.129271960065208,-0.275501164922008,0.0598515590667805,-0.0094517553403992,0.348797371042955,0.0370411794739474,0.278983893631054,0.0239215074485493,0.289870557094803,0.306030896209231,0.0285046111630951,-0.0548180304042723,0.138014027291311,-0.251003782606302,-0.0103705266533517,-0.237032245891522,-0.0889427979472484,-0.172300087587536,-0.408529453996218,0.0251473323732428,0.23184100875917,-0.064707068320147,0.263861801943096,-0.12835438351339,-0.293690208443969,0.061532587983977,-0.049422489117805,0.400384767337704,0.228703566018191,-0.0925796508427325,-0.342901224840848,0.0239442079101177,0.115335071423347,0.076603304943122,-0.102504531592663,0.348547665965703,-0.144779959599828,-0.143791892141035,0.0962762417949757,-0.120197749243525,-0.200833373017875,-0.469756183129589
