group,KLF5,SIX5,HEY1,FOXO3,RFX5,PGR,E2F6,GATA1,SRF,E2F1,IRF1,STAT4,TFAP4,EHF,BHLHE40,BACH1,TEAD4,CDX2,ZBTB7A,NFE2,PAX5,USF2,ONECUT1,ASCL1,JUNB,HSF2,NFATC1,GMEB2,FOXA1,TCF12,MAFK,TBP,TP73,ZEB1,E2F8,RARA,CEBPB,ETV7
healthy,-0.0487690481804844,0.0868631984065083,0.0167314410458397,0.0332748736168494,0.0068368110922741,-0.0661721982010076,-0.0374233167273582,-0.008572004559622,-0.0334473423923628,0.0457849881736955,-0.0365999315325848,-0.0544294383737934,0.0186855035176463,0.045565681431228,-0.015259328121851,0.120966928943242,-0.034990806611805,0.112385513016429,-0.0689881668123723,-0.0952914060302011,-0.0664050748217516,-0.0002361596558108,0.0022620111610799,0.0019481530086862,-0.0063430426182154,-0.060197949855305,0.0732688068015741,-0.005191791654763,-0.0021613314190289,-0.0404612185092439,0.0792111002726258,0.0076540679549226,-0.0175933471853977,0.0598985370572056,0.0174961693474181,0.0628151854106212,0.0117088351315231,0.0321056753950314
healthy,-0.0231411049696968,0.113909189280704,0.105911170980561,-0.0156046300663417,-0.0084315169144161,-0.0106935552739046,-0.0024308549988187,-0.0006335978884512,-0.0683329058695687,-0.0008017420507584,-0.0240857110280089,-0.0427642833796118,0.0024055001243958,0.0260781359143858,0.000819500425477,-0.0128165403289698,0.0042213873389561,0.0181265683419428,-0.0694561417504355,-0.0821695440293218,-0.0856479438840849,-0.018940639138123,-0.116718175618901,0.0633995397091468,-0.0482870382908615,0.0761246231629881,0.057361816837615,-0.035909999056259,-0.0129039872485166,0.0934377931857737,0.0693540497757211,-0.130546021764243,-0.0518348029052196,0.059654266102477,0.070335318285065,0.103523777922673,-0.0161165096136293,-0.0562963143545007
healthy,0.0989539788161305,0.0914722135197415,0.0697966088627509,0.0407589075699929,-0.0759668752774564,0.0437596038165778,0.0508560653473356,0.0893348542719145,0.0971561083796385,0.115406587053444,0.0947188444409885,-0.0750978572243658,0.0955094272923239,-0.0027092215073523,-0.002642514933897,-0.127028008360222,-0.128111073879784,0.0588200788526466,-0.0744961236146394,0.0205708228490917,0.0175452032673697,0.0296700392919543,0.0234305006663529,-0.0398218084948181,-0.0219202565129324,0.0023821027336773,0.0939336677542599,0.0997334744485263,-0.0602045151415696,-0.0797972803463458,-0.0858708772074863,-0.0423484115943458,-0.106654556334238,0.0758067978271455,0.0984006257981409,-0.0241869971916919,0.0851078749586372,-0.0739811635283499
healthy,-0.132858253821154,0.0738874920413928,-0.0360939384457931,-0.138254883646833,0.12701614358103,0.059703887775712,-0.0177556497522814,-0.0966299478651099,0.0915931882936782,-0.0188154955612043,0.222081527320838,-0.0240200009222463,-0.0829555047584532,0.0422325799527122,0.0999637886345118,0.151430019591614,0.0086358038710289,-0.123349830087026,-0.0416631556203748,-0.0637441405256729,-0.0574892446362089,-0.0775216234059815,-0.0250087612488489,-0.0551250257943233,0.0166037573572769,-0.0958055157568522,0.0163787672489711,-0.0203109677874241,0.100039772635646,0.083984250668861,-0.0068973423278389,0.0543623378069273,0.0702485191175114,0.0245031885396534,0.13789677913774,0.116885038362345,-0.0873805760328987,-0.0525529616599801
healthy,-0.0766711509951467,0.026444826812562,0.0790942011868513,-0.0448783736050647,0.0684117532682886,0.0002394898460497,-0.115382394223376,-0.0518307616122138,0.197525109914352,0.0257477823873811,0.0491985302708537,0.0190736095342572,0.0732326594088403,0.151020517978618,0.0439776071534599,0.128196935519285,-0.13295005291372,-0.109452007453409,0.0672695290178601,-0.114976317730931,-0.0349705875032927,0.0110751934766807,-0.028825293619384,0.0149514489306063,0.0057761304039462,0.0694737139533209,0.198245013723167,-0.10941839659897,0.0107894845363863,0.173661325434273,-0.0542356888489944,-0.172141498855546,-0.131733758034025,0.107836985328634,0.0278565271724941,0.029124644808569,-0.055914886247279,0.125742142360521
healthy,-0.0515850618044971,0.027761906738129,-0.0622672061835239,-0.0075894053452302,0.0502543313660525,-0.0242845450937073,-0.0599344764771218,-0.0920519879107318,0.0366918497080632,-0.0906593436580629,-0.0270338659814778,-0.0222373187659312,0.0572772050778578,0.103166434012222,-0.0248612885788439,0.0862031914995741,-0.0928265889982645,-0.0017968574319625,-0.0489340032101207,0.126255597359403,-0.0532045567490375,-0.0178493646381048,-0.0734239755305699,-0.0310823772062523,-0.0008270647732498,0.0278376029815866,0.0701604200681407,-0.0573262648130044,0.0456201502123375,0.0245566707085524,-0.05857608596481,-0.104781620459886,-0.0897912172433148,0.029916631253155,-0.0447078914594226,0.0004039989446422,0.0043495585175443,0.0732544921175453
healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mild,-0.0572401177142434,0.0893412414180794,-0.0398294530423969,-0.0397284026625113,0.0118830045622936,-0.0317240794738879,-0.0215432722758543,-0.0033774603441753,0.0712171870698532,0.0329069633325484,0.0241414187160371,-0.0147095174308428,-0.0122577640134317,0.0783307994559227,-0.0185628061814794,0.0561318885388109,0.0057684535055927,0.0009888262633177,-0.0095765667922804,-0.0379378233667265,-0.04846537825618,0.0660867998416629,-0.0249405340363822,0.0312983304468701,-0.0086974842135884,0.0496639026331978,0.0613434875796592,-0.0024247447313167,0.0550013874138411,0.0632280771645251,-0.0033544082262639,-0.0249975792048801,-0.044282226886792,0.0261650082995581,0.0872919991554,0.0631228658866443,-0.0359988820517971,0.0366205833687806
mild,-0.0496421514403714,0.155791213057496,0.0565658109388373,-0.0247813669254405,0.164252257941184,-0.0734233008254048,-0.11100105445218,-0.124014333328951,0.115211000854995,0.0241020467764546,0.0365690984300754,0.0893745568203396,0.100459801628449,0.128853817708625,0.0906397167683331,-0.0115471990886739,-0.118817492000928,-0.0511282299541723,-0.071836710581382,0.0277957418403166,-0.0852912640793479,-0.0030536322209952,-0.0282421974785335,0.0280115386007253,-0.0111558546686626,0.0665130675624781,0.147396544403309,-0.110039206043545,-0.0223365338103122,0.126921550008911,-0.115113346085588,-0.127441798132424,0.0997119292228122,-0.0640090376271499,0.130544472380256,0.111153553987489,0.0992292212683488,0.116974678260821
mild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
