group,HSF1,RXRG,KLF5,TP63,PGR,E2F6,ESR2,BCL11A,IRF1,STAT3,KLF1,CEBPA,PBX3,MBD2,TFAP4,STAT5B,E2F2,POU2F1,USF2,ONECUT1,ASCL1,HNF4G,CTCF,JUNB,HSF2,NFYA,STAT2,FOXA1,IRF2,AHR,TCF3,FOSL1,TCF4,GTF2I,THAP1,GLIS1,ESR1,CEBPB
healthy,-0.406757911008474,0.472950755410887,0.30258520068917,-0.0226260646493346,0.524295005260522,0.225228113680482,-0.352192489098827,0.294789887623412,0.276908725618969,-0.115603712688286,0.223051271437765,-0.35075576142163,0.252964788112084,-0.386016565279622,-0.0498486846128355,-0.206457457541906,0.44821877800798,0.241036247081205,-0.373203543841494,-0.242801816256929,-0.324733486659031,0.255668808990332,-0.324968689434883,0.117464247749684,-0.449111221393221,-0.383241319987119,-0.347794123459109,-0.361089052528263,0.235778027280989,-0.422515464752697,-0.457167248256915,-0.210243116263965,-0.0800714302658141,-0.192370802012846,-0.393390577824622,-0.251944642153873,0.428670699277371,0.41314997039711
healthy,-0.307159110746748,-0.0421652966821119,0.199123969945975,0.193729788679828,0.369069254123753,0.230431119780983,-0.0794964040939478,0.242599456522373,-0.143339455032582,-0.116558726294325,0.199522783294522,-0.0594242835894634,0.284493599384099,-0.018321312729588,-0.0103673069078834,-0.015883174278084,0.234922691185429,-0.125862763711076,0.284731724793148,0.212545649967395,0.090811031895793,0.0874614791517947,-0.251772427766251,0.368997214440282,-0.250985247483828,-0.158072504534407,-0.0703094759871076,-0.239256698194421,-0.035953143217487,-0.30659909044081,-0.000662134717102,-0.0956312926131739,-0.227110179077891,-0.212631099185868,-0.317224320931167,-0.101655061456223,0.228253764228705,0.222121737689984
healthy,-0.383356710118471,-0.446335179609791,0.177936242487552,0.451619667762973,0.417972726350231,0.402467182668167,-0.180175784834957,0.567366771672635,-0.312089832813912,-0.456110189524804,0.437184919480867,0.209565754593128,0.544959737842672,-0.367952627084006,0.159765039067058,-0.407631928195404,0.459316380646706,0.479502457363176,0.464360083881292,0.462520622268548,0.0595836967302211,0.376112367893246,-0.52555107842815,0.550339231632141,-0.522359226962249,-0.398385882630169,-0.335867321864259,-0.408124025332926,0.358172418502164,-0.449680911613809,-0.259561160191918,0.503629816691068,-0.432781821966198,-0.537080031886582,0.157781271127605,0.411154198260466,0.401880383149923,-0.01537683335584
healthy,0.260997877663673,-0.0852825003868516,0.0982871042837493,-0.162085801062046,0.356577813109047,0.159812822548036,-0.211872159490757,0.240558213767437,0.195094772548243,-0.235517421704071,0.112577228589106,-0.1823736688504,0.0238543850844633,-0.336666993212218,-0.022871535239625,0.408806088889501,0.19135627496233,0.421272171439494,0.0346055494927737,-0.0537119513995658,0.170645829666607,-0.293842426407635,-0.0302608812926918,0.328602076138647,-0.265270380500991,-0.21846602757957,-0.197529961839345,-0.336295659563976,-0.269128692865438,-0.262344780104827,-0.334059086309598,0.0029975814284994,-0.310148572609652,0.14436381283861,-0.354661053148141,-0.161785803289639,0.294741682403142,0.308378631835058
healthy,-0.346127511419912,-0.238079567210321,0.324841134259251,-0.0746349656941091,0.0782180894011778,0.310637734638836,-0.0455875085553046,0.27678606883981,0.118048416379792,-0.281228778307932,0.341055076587682,-0.0778568673948735,0.285543256735673,-0.194063930384535,-0.0400021740191239,-0.390160659865937,0.297209778585578,0.274725461485666,0.308787152592229,0.346652745891749,-0.126180811188195,0.0129823472773571,-0.230739173744079,0.354997155223397,0.0741263786750316,-0.35449838384248,-0.114659216746569,-0.334464780493382,0.305644697231887,-0.313369604463755,-0.0964662330604975,-0.262365836554827,-0.252376908357744,0.161526280152769,-0.310128389435083,-0.0349109883830995,0.288583104436645,0.312447513305882
healthy,-0.345588786270974,0.0104370051542802,0.382873033201765,0.0557644461604137,0.261327444659192,0.333496900932246,-0.468483511155669,0.42027764316407,0.420884587269718,-0.381948150064748,0.376972791682407,0.0046208059091264,0.290369137532846,-0.382451511719005,0.447975495891986,-0.128339368078768,0.41009955232619,0.14708143634488,0.365731363984136,0.287926810507556,0.345577692133285,-0.0193637441601237,-0.417706479193051,0.350358401361142,-0.45252013413469,-0.0869889245618057,-0.306480055435206,-0.421558737320012,0.300574963714948,-0.461460921998311,-0.25000715938423,-0.326953199426906,-0.331492234851329,0.368600452939135,0.188765317236314,-0.070340052480383,0.460777601165857,-0.339538746018092
healthy,-0.310840949749594,-0.180007154739661,-0.0439208554549418,0.222389904378327,0.307228221528157,-0.222313651700521,-0.376454661598626,-0.0112936398479588,0.339279763765761,0.187025835903079,0.267247774720897,0.236641598556292,0.0990625328853435,0.273386458764776,0.404988276241254,-0.247580079535553,0.436773964548131,0.467056582052858,-0.391113723685949,0.483162384135303,-0.312262272185447,0.0077853297078416,-0.125931640876415,0.0048623103919618,0.296868161762521,0.390394475454756,0.250862379486499,-0.44160330080915,-0.462361890159857,-0.143104980448137,0.0657820173090533,-0.245952668781306,-0.24337175607396,-0.498036465034817,-0.167621246804217,-0.2426909776622,0.146179818158567,0.46100170725846
mild,-0.204472606890137,-0.199781473583764,0.224812060975823,-0.0418820574051114,0.29331082164158,0.212760824714547,-0.286543558542058,0.32999481098094,0.397830871399035,-0.314011666527761,0.178131398183792,-0.0949756723433717,0.292241472670175,-0.21492018696138,0.36849195803889,-0.111178415957181,0.424430140535942,0.19256836595642,-0.224154812210508,0.27651976042479,-0.304197750480837,-0.0006459918082614,-0.190811519572525,0.239551488670787,-0.44057273199795,-0.287970422097614,-0.334491168840939,-0.360554812137676,0.191583160969028,-0.295650658043436,-0.456082933808135,0.145729495128821,-0.159628155569151,0.300040711997676,-0.473384620154658,0.0786800322844459,0.295689004265851,0.190569132153709
mild,-0.204747639512571,-0.348075964406681,0.251139518603808,0.26344614245646,0.294435012001896,0.216945901025436,-0.212692382335823,0.0925182506597977,0.280426145087175,-0.183259286383033,0.21888759451346,0.0713660780561981,0.203017360333775,-0.130485606511428,0.0917633534791901,-0.342028101262913,0.232599366547326,0.36634963042504,-0.0635409779867565,0.326069349916262,0.340693648074071,0.107750096964345,-0.288079960975251,0.385945732582992,-0.140407995019447,-0.253009131785456,0.021086304221126,-0.377416442223273,0.159986593844918,-0.333119036964385,-0.139806131057943,-0.126592830184916,-0.0472104567377581,-0.27418446991766,-0.314584448153027,-0.0012077409357941,0.159137462328443,-0.0764626812567181
mild,0.083196186490293,-0.3933032089708,0.263037745282737,-0.175409734585054,0.16111584451584,0.400351030546636,-0.129565853189198,-0.276978238672853,-0.146836320165288,0.131660374970194,0.154295001294872,0.111091538989188,0.148028674814278,-0.376219496337323,0.123675908537562,0.0509480212366523,-0.0642822812992099,0.035183081576395,0.0706549140979069,0.104624092447318,0.177237053998928,0.336518396241563,0.27900380500427,-0.219664767496835,-0.19314565084581,-0.204118186760248,-0.298288345736846,-0.256512835866217,-0.325034440742739,0.0915742736142788,-0.167749933394195,0.0151084263173797,-0.0793461738887358,-0.0465923353381741,0.12126534094599,-0.0583118886230636,-0.102604272403367,0.0938239451568306
