group,VDR,DUX4,ARNT,STAT1,E2F6,ELK3,TFDP1,ESRRA,IRF4,FOS,ZBTB33,ELF1,PRDM1,NFIC,IKZF1,TCF7L2,ETV6,USF2,PRDM14,FOXP1,ASCL1,CTCF,STAT2,KLF9,IRF2,PAX6,FOSL1,RARA,NRF1,HES1
healthy,-0.122643456499702,-0.0842141488891008,-0.174164202744444,-0.0756632592052046,0.153878698121439,-0.0423623631572434,0.0136879670913033,0.15593586355687,-0.216202746273741,0.0795229203522853,0.0762221177657239,-0.0110949341120834,-0.101586514838411,0.10095903693565,-0.216456001165723,-0.212861620980914,-0.0320206501240372,-0.0953626697555631,0.0084304521270248,0.158317732890122,-0.105086101292701,-0.0850747203307107,-0.0135783176268976,-0.163529619528889,0.235874921311972,-0.149939452685677,-0.100595071455413,-0.093473161888288,0.0374044388263572,-0.0008738354897235
healthy,0.0210057378302705,-0.10217537418626,-0.0787241048293231,0.0542337554159559,0.112149954279035,-0.0379217748717434,0.0880810473345961,0.0876272791429829,-0.11131318765156,0.0570791399596304,-0.0324477186763181,0.0643482967299765,-0.0879782441321334,0.03201976819571,0.0951765142363386,-0.0695357471056474,0.114551878230433,-0.0056850989334604,-0.0236765556774205,-0.0309095286822296,0.147684945094815,-0.0588414666553734,-0.0068736878929421,-0.0617115387762883,0.109067417010347,-0.10288706618208,0.0515095290058888,-0.105668111041424,-0.101383657028855,0.0247981354986783
healthy,-0.0795778420594895,-0.171057953356839,-0.204037747654796,-0.156794588051301,0.184605080806288,0.20587773228772,-0.0754112735150427,0.168479275843149,-0.167178101186598,0.145834213075155,-0.14922602796029,0.198927514994474,0.167078878737654,0.181113158545128,-0.0870146586313348,-0.096880046960775,-0.04323399746356,0.145148505203357,-0.207203463670766,-0.185009381866366,-0.111645719000598,-0.0223561340760865,0.132720699895338,-0.188417899750152,-0.118732104448414,0.249400105363762,0.120765777496166,-0.101615623618229,-0.0782812026542274,0.057133436507085
healthy,-0.0085098732741452,-0.0207638399967682,-0.0351820554558875,-0.123926460309354,-0.0825575181355169,-0.165685734213138,0.0064542525312276,-0.0030418754389804,0.140708148731224,0.119747709077174,-0.0659615908731355,-0.13028875572029,-0.0474213440335168,0.0114437525602255,0.111787196971449,0.156524967833844,0.0702292372284725,0.0087733022339649,0.151243022776943,-0.0503974594388006,-0.0621003638834834,-0.131517053999361,0.167536395560564,0.0156047150471484,0.0298243381206915,0.041434021763726,-0.0921728209783224,0.0638769540621345,-0.12165844389219,0.0526972623024071
healthy,-0.0848078220795613,0.0651366963677286,0.0061246965809594,-0.0955145402343529,-0.115719135324244,0.0344279067029392,-0.0968218219006271,-0.0548254194761044,0.0999252907152593,0.0321149560836877,-0.141494172980409,-0.110436176539144,0.0586159986979893,-0.0935278435414669,0.156778754004483,0.0077026050571876,0.0939334949574708,-0.0777815663372982,0.119915819154296,0.0036311266696664,0.0588566881668586,-0.0081495591628211,0.106312820978203,0.0983599738722507,0.0680748033597886,0.0664383264611533,0.0250354102747921,0.06752201555504,0.124076540853338,-0.120555317726128
healthy,-0.0469945474748764,0.0880707457965469,-0.149581084955321,-0.146045396388226,0.0893289803144122,0.0940757209423238,-0.116591328532579,0.171902809380236,-0.141013635203449,0.103368721334731,-0.0179383386448044,-0.0317484441088597,0.1880920982652,0.0385818404903014,-0.0202053255351954,0.04462098101314,0.250299510973085,0.0654289081936507,-0.146600548102246,-0.0551614634587109,0.0541350042910796,-0.191892960800085,-0.0789921349283637,-0.0851430261913097,0.150219813455504,-0.167480015727836,-0.220229467759808,-0.235231759434507,-0.196718802478438,0.0036666082948545
healthy,-0.206866015777561,-0.206078467401606,0.0741762475274207,-0.234388294596639,-0.247875887791561,0.184499200696875,-0.16694150455059,0.172337424235703,0.0743968493134025,0.210702280835783,0.260346506753107,-0.0820539373048277,0.252323219796952,-0.261319360629287,0.128907550629484,0.177267874152394,-0.0013114776176612,-0.169098990017492,-0.0145034644193677,0.0598922818851049,-0.0931369710325489,0.0374967885722415,0.249325241525461,0.0772999688169218,-0.27586804841478,0.265940968045603,-0.166028213156626,-0.190479715114839,0.23546483131223,-0.193700501190172
mild,-0.543794849122495,0.53589406617189,-0.555761814967931,-0.543663797179681,0.533559246707438,0.522626622259481,0.505850349639437,0.503940542289403,-0.52680283609845,0.525043793516168,-0.528316095390212,-0.596528063246129,0.54838675546574,0.508421353105743,0.504739349260952,0.54354733362951,0.526394514476542,0.586484870633109,-0.523169965454855,-0.528480077223655,0.513263030413935,-0.503049675974299,0.551104301456288,-0.546197603402409,0.559133664352439,-0.543661595839047,-0.547707777208528,0.56447380998587,-0.502427526588613,0.576387483539814
mild,-0.0678863831602439,0.0770949674551085,-0.163466081717339,-0.145550303078641,0.0963286359407386,-0.0717198177476575,0.111517942971418,0.10807892929694,0.0916693951629649,0.109897177696663,-0.106270662935351,-0.0166134546065755,0.0176329858386633,-0.0389243649428438,-0.0853111095406102,-0.166939878408305,0.124413218780047,-0.0107198079635021,-0.0755501107197442,-0.102420358466389,0.16729154964249,-0.145439741929436,0.0980299451193855,-0.186736144995657,0.120079828715016,-0.0467621617017621,-0.163655586324892,-0.0431901332198559,-0.183091041355731,0.227701232123981
mild,-0.0359319206147914,-0.0461996396898866,-0.215399908522368,0.0329333471068571,-0.196362737896536,0.0501175583046044,-0.0167112886594463,0.048417483317781,0.0074240684676388,-0.0305891190075203,0.0364354200413446,0.0274519302728426,0.03256030907018,0.087288862123219,-0.11725013569196,-0.0705286504425692,0.0759815288475483,-0.141416069707298,-0.122264745365324,-0.0209655530449384,-0.0736413776666451,-0.046085485973745,0.0367106120356146,-0.0907358966588526,-0.0694360363023566,-0.0584140873170399,0.0263389315404618,-0.158304704318607,0.0153822132500832,0.0663029244861125
