group,FOXK1,KLF5,ETV5,TP63,HEY1,ETS2,ARID3A,KLF10,E2F3,E2F6,GATA1,BCL11A,CLOCK,XBP1,TFDP1,ZNF263,GMEB1,STAT3,HOXA4,STAT5A,PPARG,PBX3,RUNX2,SP4,BACH1,CDX2,ZBTB7A,MAX,MEIS1,SP2,E2F2,USF2,FOXP1,BCL6,ATF3,KLF4,FOSL2,NFYA,PBX1,GMEB2,ELK1,FOXA1,KLF9,AHR,MEF2C,FOXP2,ZKSCAN1,YY1,TCF4,ATF2,RBPJ,MAF,SPIB,ZNF143,ELK4
healthy,0.198938477478656,-0.342572328628094,-0.130774437453466,0.279881804637719,-0.113457136115162,0.29675183646185,-0.112222162988779,-0.159481196801005,0.310133802659528,-0.280907120179333,-0.0101367712387275,-0.279339739449906,-0.170694763859587,0.1143649603766,0.146884581622178,-0.224870145375797,0.178108754253225,0.037779743223817,-0.248932747041997,-0.0854850778353014,0.245994219546971,-0.211973920513126,-0.026788565431718,0.0262997795641269,0.368760429201522,0.304695298749431,-0.023486493068583,0.216788295243486,-0.0741115344282097,-0.251572080016713,-0.290938301492531,0.299134598372435,-0.14588403750477,0.280407816835542,-0.0189621792607806,0.122010335246629,-0.307089270075438,0.250842637687134,-0.248951152625346,-0.385824204008278,-0.103146549743452,0.267867940673055,0.0459134887979027,0.315055704745244,-0.0210168235915071,0.128848355430495,0.250838624439637,0.0103468439870297,0.103095484628746,0.223106945846075,-0.17743909547257,-0.325370442752296,0.15769128841725,0.0260973181472849,0.265226531880667
healthy,0.21461453930005,-0.315616057084549,-0.139981870826002,-0.27820894448996,-0.196309328113907,0.158208568738177,0.070471076914481,0.185749479176177,0.264061992291042,-0.32530303076148,0.243292427552655,-0.354134186907371,-0.226573497975514,0.287502248548214,-0.162957096286424,-0.300212055554746,0.154860855256897,0.263815983018126,0.0453471031546702,-0.0541945957717358,0.232034503621219,-0.256316378958412,0.0682853127145341,0.328025384760181,0.358212890240694,0.101227052280765,-0.386681161214703,0.292609461314158,0.0892594958730031,-0.310791481452833,-0.374629811155792,-0.370541315537984,0.268818676272053,0.35022333717779,0.0113300687966138,0.0319186018141429,-0.0979972570783843,0.168543286436112,-0.232455450116257,0.0181863037875987,-0.269666838758955,0.26528716153491,0.354131744542709,0.372778224832186,0.326607360011392,0.435288083157283,-0.0407156645465431,-0.211873445288384,0.384489766641393,0.338934811406262,0.002692779321318,-0.009880688955081,-0.255121187648397,-0.274157571293287,0.402186296423893
healthy,0.463355133589884,-0.221723791524471,-0.0001226113147631,-0.330914467029319,-0.382639072492976,0.361953593164112,-0.44325426336861,-0.0525480775508735,0.357040455890387,-0.443353966267063,-0.0623134909326017,-0.425803520806195,-0.348549023988881,0.490451687085885,-0.341003060039363,-0.400458332833004,0.355350156683295,0.451712324203968,-0.179082202169803,0.400017260339852,-0.522246038742287,-0.428913457991247,-0.0726632398885916,0.338422136312764,-0.0783877453997204,0.0209956661240486,0.047015934353425,0.374447911803475,0.0163944252288148,-0.0889540643690148,-0.450201804777419,-0.522239473942389,0.24225889590567,0.279878823638298,-0.208608347078085,-0.178580268510928,-0.496907415568995,0.391462915772656,-0.380453404426908,0.229279602673836,0.318855750216527,0.415700362146376,0.138246274703768,0.501793131126479,0.030952416069473,0.374848774897252,-0.0639939429398465,0.195033776938826,0.450341033241924,0.455387996696904,0.585120409766181,-0.154827044513023,-0.270665810814661,-0.387204275372103,0.347980553347706
healthy,0.109044897538133,-0.126456185920719,-0.0737193113479211,0.0501459679714087,-0.23449493081781,0.181924224621437,-0.168234911644021,0.0866804447090564,0.266421468391283,-0.298426006096362,-0.0376801287564285,-0.105816031026718,-0.176496815807019,0.254563932089462,-0.0541565750814149,-0.289203705801773,0.132733434934051,0.286321536273268,-0.11002794893951,-0.0331756546038757,0.0869710386813549,0.0660415385307125,0.217937317975085,0.159939202964294,0.168825643344,0.0465845863191928,0.0174697104365628,0.168805619296492,0.149756997104979,-0.118367987025078,-0.184353110366264,-0.201155783656776,0.0065814004699118,0.154484144017459,-0.199540659147758,-0.0640296792185075,-0.276995057415252,0.10281563488364,-0.128621414273859,0.0201094507395582,-0.181298930255937,0.309320604238288,-0.0402012856689479,0.207414747905123,0.135713717835645,0.265293699764597,0.246841740672437,-0.0110913154549724,0.110893665666069,0.336434101100839,0.0386664803349007,0.0144842096873994,0.0089217611940184,-0.346197987214887,0.0729361882427092
healthy,0.408231952073032,-0.562106549944441,-0.255569866930591,0.0041708296421138,-0.332321279706223,0.28074258128869,-0.478627453706968,-0.117462364903935,0.518710748201997,-0.579874810550243,0.0869863802713653,-0.47562788853833,-0.497862352163611,0.56275568855328,-0.540863452603953,-0.582602960869303,0.398655468805378,0.525948229547444,-0.0765031328171776,0.412797894835579,-0.329457933414173,-0.359160609568636,0.531599439816665,0.319359888871531,0.443479781991816,0.113321677706816,0.514670949853937,0.52673128217866,-0.109299727033878,-0.458730404510648,-0.442822971605989,-0.573090196525147,0.467651439049863,0.159389894806674,-0.523214200853809,0.411169478802655,-0.170354870075595,0.470835571895688,-0.470436041691534,-0.0629372723781836,-0.15689265501159,0.561164887475403,-0.101161286811929,0.581453170729161,0.536427611223098,0.521148433752518,0.552584552898976,0.15718278102634,0.454357837023804,0.584212785297216,0.288305438969643,-0.238914777844557,-0.176378364116758,-0.466106728413991,0.448362120793343
healthy,0.175410741065804,-0.422566729051027,-0.234724959157888,-0.0397748613223951,-0.410645951732681,0.230431470213553,-0.236280172152962,0.317016373794582,0.0790776434262575,-0.397148253659912,-0.249895683975467,-0.372122881361938,-0.277988503680577,0.0102474625931973,-0.0079851684925804,-0.336795499022411,0.417057367254568,0.207141189388629,-0.0704424834477592,-0.287483354483595,-0.0308829221850415,-0.203810627255179,0.417382209077001,0.240088185827822,-0.0440453317003205,0.360553499639356,0.152826290121501,0.272814013366634,-0.187324348666743,-0.267857593681838,-0.216137099358731,-0.341641095928461,0.244146841701208,0.232204396344938,-0.0395399488085936,0.304006633580418,-0.301223631305398,0.275410027028412,-0.0535287824540545,0.0362836061597627,0.029850006221414,0.427328970544462,0.204230045793094,0.349240043064968,0.410029693667857,0.334318709220994,0.106939244710191,0.0167054713478684,0.335325567929117,0.189943202148513,0.129625581112374,-0.335787508253644,-0.229040842947416,-0.330800225020788,-0.0164328830614357
healthy,0.0177729385345485,-0.0483713467510072,-0.0576056849219826,-0.0951783375835524,-0.115072222282485,0.0052890128671811,0.000971221868515,-0.0180962106470788,0.0014013143312728,0.0753968953585437,-0.0296524859045765,0.0895337253925879,-0.0417428629132112,0.0005720510860862,0.146300308352916,-0.0449053074923124,0.0703847720833994,-0.0837204494907379,-0.117838307141005,-0.0271281523649917,0.0358424440940705,0.0003302997671505,-0.0680375354402443,0.0440310672575564,0.200247396279609,0.0768811360143352,0.0413155815123015,0.0623676236926469,0.0261021147904389,0.0468618065385829,0.100676774558416,-0.0138627515038554,-0.0468083963634692,0.0327193543808426,0.0560736562147736,0.002222144390915,-0.0426958128797137,0.0253459391533027,-0.054240843889819,-0.0844316481383047,-0.0174665327931067,-0.0476854476600733,-0.0594413083087853,0.0914789801914661,-0.100777972784948,0.0370933666164705,-0.0715429295648124,-0.0843726158394948,0.0178179155241179,0.0328739627824875,-0.0200527096933494,-0.117495357595538,0.0044878602404755,0.0236846016010816,0.0243423900735346
mild,0.229280100294192,-0.416313682328824,-0.0743861659817796,0.115442527808044,-0.446596223438027,0.18645923499041,-0.188314748022472,0.199614055714474,0.360817430248316,-0.401559242586062,0.547814535361087,-0.276640434458609,-0.178059528256223,0.388773387023129,-0.356239861644847,-0.359130997617588,0.481174620201859,0.383626456798425,-0.589671196466994,-0.195379384796513,-0.047328506405342,-0.101924648406388,0.556027880843582,0.0514570214396804,0.241561901815031,0.446612466267762,-0.223654218582438,0.389529826276485,0.360211650185255,-0.431884649560955,-0.385957880355715,-0.161944608978086,0.0954052502391244,0.505722302053995,-0.400124537266202,-0.144537237065344,-0.0323916820532714,0.397156456187345,0.158383511103817,-0.0382745835190643,0.312198269469448,0.513163944993987,0.283341910214998,0.43699767598534,0.0228302401828229,0.497521485919009,0.465818888738726,-0.131592973707473,0.35095300331628,0.379576875191394,0.0196957395442261,-0.50156020485953,0.0520070846493492,-0.445372250924465,0.399425437687211
mild,0.156760386677368,-0.153986161544414,-0.056579039569837,-0.1564494964967,0.0552338489062152,0.0980399537411937,-0.0697946395774013,0.041998205912411,0.0487843061007558,-0.23391832504149,-0.115765010714557,-0.147773373155505,-0.117295657213325,0.0781255363620382,0.0008086512062333,-0.120212672950661,0.0285395466347161,0.0427953400139506,-0.0820467970587273,0.0789018035476086,-0.0574368937101196,-0.114620912639421,0.17098685890515,-0.0130481631573667,0.0878025372976054,0.165135202498877,0.0968110267269763,0.0945528861003068,0.0320214378475213,-0.148995457970667,-0.12809907755788,0.149584102027673,0.158491158542766,0.100942049185824,-0.0658636529276039,0.0471375213331945,-0.0937138569631861,0.102826161538443,-0.0436811540304803,-0.157617094480636,0.0382905579537895,0.178935523941476,0.0775203241528678,0.139216522598378,0.108439935102667,0.122213425094517,0.0980507722967691,0.0667273641335705,0.0779384505789495,0.12129952582113,0.149560297623103,-0.005924717479439,-0.0552978825753911,-0.140524958831468,0.0934620210502874
mild,0.0182741033141536,-0.0704105940375314,-0.0963058034271225,0.105915569297829,0.0088448967186798,-0.0777934621803705,-0.0667091288952656,0.0454583053074877,0.0188308277461204,-0.0746236437929559,-0.0050130276554128,0.107776332939808,0.033089994954063,-0.0497114793462971,0.0170101883875263,-0.0877041601764642,-0.0169750796395644,-0.0619142770307587,-0.0464313191795738,0.141520855266589,0.0038895477206329,-0.0509352699895395,-0.0231993590996617,0.0734098842205598,-0.009983423259729,0.116508380111467,-0.0611970554652519,-0.0482770362152836,-0.086164390801565,-0.0476701564290855,-0.0227128521636187,-0.0964963937732012,0.133119833432855,-0.0402170707903227,0.0943998999663352,-0.101933234171868,0.0742976339904528,0.0487836052930191,-0.0062117406215395,-0.0224670909278856,0.0119645597518632,0.126062975092519,0.0878947505225429,0.0315853343271257,0.0778536486054479,-0.0209022438758708,-0.109331148920976,-0.0370773456154469,0.135256451523106,0.0940939523055246,-0.0743377582738378,-0.0054543947726477,0.129784502376478,0.0350861780524665,0.132603233284274
