group,HSF1,FOXK1,HEY1,KLF10,MYBL2,FOXD2,BCL11A,TFDP1,NFYB,SMAD3,STAT3,KLF1,E2F4,ZBTB33,PRDM1,ZFX,E2F7,SP4,SPDEF,SP1,HINFP,BCL6,ONECUT1,KLF4,NFYA,FOSL1,TCF4,ETV4,USF1,GLIS1,POU2F2,SREBF1
healthy,0.0019249528942136,0.015042210069428,-0.0085221024266055,-0.0160835887926421,-0.0277414274461264,-0.0428271924474417,-0.0178953864115506,-0.0746074096328431,-0.140583282336851,0.0738912702502545,0.0035270740068507,-0.0699411224577852,-0.0766879783892268,0.0442100068176113,-0.0462568697473083,0.0491792086948399,-0.150361036242036,0.19717142570162,-0.0595649806944106,0.0254288575450166,-0.0226645420187041,-0.0437538838123195,-0.0186802506615393,-0.0021486370167703,-0.0216629974543014,-0.0011111979356364,-0.0060248070857326,-0.016094969980874,0.0503365879904171,0.0174519578085175,-0.0195552889413649,-0.0896183214346335
healthy,-0.0658681729209426,0.0143646137247154,0.0491186732277537,0.057894352177307,-0.0101227740735432,-0.0062092097061736,-0.0155026432540618,0.0104544077378361,-0.0028118873840936,0.0227937385714617,-0.0034284706602151,-0.0167588313763832,0.0002152439892859,-0.148139111976821,0.0016567839508805,0.0555859655018337,0.0116923426776455,0.0933438015337734,0.0499698304083496,-0.0132337880497031,0.0221760785626639,-0.0255859114929826,-0.0465162616221803,0.0129121526174042,0.0131700044568799,-0.054166088376226,0.0201617937267676,0.0028075291804039,-0.0594581782071358,-0.0448433010446633,-0.0325320165336054,0.0459353643433296
healthy,0.0883326785934929,0.0780831801857664,-0.0380806004955738,0.0479145812189575,0.0797204355427977,0.0211374797592435,-0.0991919263467213,-0.0721302876312269,0.0399503367842132,-0.142700564773549,0.0635292394889558,-0.0621619680067535,-0.0229448977243218,-0.0097328533839522,-0.0106888985633743,0.0664098760082956,0.0012318130902701,0.02026110501144,-0.0664617457506608,-0.121764220202326,-0.0672927811193465,0.0216438627836291,-0.0512459993841762,0.0075470475141377,0.032769362775545,-0.0751379863611807,0.0988122323693357,-0.0730146853967344,-0.0887286051880935,-0.0187613604462186,-0.0384839903624572,-0.0960888843133552
healthy,-0.0766714997534409,0.0385433872036213,-0.072484340452268,0.0027295329760564,0.0318040845269472,0.0132142279348148,-0.0061724479946843,0.0307568167466101,-0.0233323996542428,-0.0191501564620923,0.125493241895467,0.107343513619416,-0.0692016086526172,0.0080820832326858,-0.0505358254878068,-0.0241940843189875,-0.0760799279677556,0.0699819044013257,0.0112197898161784,0.0068652096910789,0.0162720477466948,0.0157342800430871,-0.0138202749303991,-0.0422509527579505,-0.115647777668194,-0.0153627041361504,0.0563768457992368,-0.0950440916385036,0.0023987880857218,-0.0137697482543364,-0.0361820161699026,-0.0374342583847534
healthy,-0.0070065074621771,0.0183627758385682,0.0833901354136606,0.10550863940085,0.0865804799060112,0.0023335108183943,-0.0161338552535089,-0.0581693879152515,0.0580926074187208,-0.0749073925820542,0.0237474941102893,-0.0027282478331385,0.0686280026068725,-0.109224254378673,0.0314184532744625,0.0925803588331208,0.0313110135923207,0.0647502672451935,0.0241303805104223,-0.0603827248868751,-0.0520939765060111,-0.071507536291777,0.0006897101881246,-0.0234498923756065,0.0374198563253525,-0.0599324015316477,0.0903710088809517,0.0543244653923516,0.0282798406356432,0.0360143049573324,-0.0191753105235163,0.0611325385649479
healthy,0.0462733418418787,0.0344357557146575,0.0205499465400279,0.0649187304784643,0.0483570823601056,0.0414469264578097,-0.0190725701118859,-0.0866486015046535,0.0758923637546005,0.0022574405704018,0.0202170137998884,-0.0364717851027504,-0.016676268515925,-0.0355173241277833,-0.0144059191693455,0.0460636292379808,0.0139593195207892,0.0338084331996137,0.0742624473988703,-0.0381333316273819,0.0768578632001059,-0.0116981750117682,-0.0355919713263903,-0.0241013635679337,0.110363398567789,-0.0196721864326051,0.0393891318462468,0.0645731823434239,0.0764746889163204,0.0892464377014225,0.030042132722807,0.093880523322242
healthy,-0.0228517988041737,-0.0030976936227342,0.0519061943812544,0.0317916128278908,-0.0586543120636731,0.0439805205505503,-0.0529587853872727,0.0146233248210534,-0.025601031934048,0.0015260166411452,-0.0178628058167445,0.0192470350849329,-0.0046405324945693,0.0420675926035399,-0.0225393859485062,-0.0344206871671238,-0.0304746724824616,0.0164305130322995,0.0180214154203911,-0.0571739557629716,0.0126142698415299,-0.0039676432669776,-0.0639941687197751,-0.0075676006345928,0.0166467988554539,0.037991806424985,-0.0102399321384566,-0.0264613688750402,-0.0886219144496282,0.0604759193297962,0.0346802301549091,0.0101774495673231
mild,0.0331009480007187,0.0036362152408481,0.0026241841200421,0.0204244687404082,0.0738128693883709,0.0407612730100778,0.0175304035050829,-0.024298463480457,-0.0102702724931501,-0.0027702095748079,0.0197191556468267,0.0023985810959071,0.0241277160914667,-0.112946184580567,0.0338168078896223,0.0191076875075398,0.0098343792847355,-0.0335232195463702,-0.0490238108077268,0.0231706328518287,-0.0235685821960231,0.0189985912107386,0.0260956312536089,-0.0545146938428706,0.0263626219934976,-0.111349190677814,0.0089371329654964,0.0545420909117686,-0.0791817416834619,-0.0059121706232143,-0.0405233705161795,0.036702324993462
mild,-0.0438845345963552,0.137386505295768,-0.0295636741722966,0.126151190613408,-0.0229800361354483,-0.126635491699782,-0.131087263913528,-0.131515740981549,0.108653671314746,0.0891948166379691,0.0350179261087612,-0.0969082776880478,-0.0847042263982161,0.0251613067189234,0.0729523126874959,0.123570077557719,-0.142421556160037,0.105847312882175,0.0323755108197938,-0.102863164529622,0.0681309122053291,-0.0292257052809307,-0.0805716022147418,0.0557870824131913,0.0403595217481039,-0.0641115828839067,0.121672699498644,-0.0382231859704916,0.215157160075503,0.14344672174211,-0.0756882945430467,0.072325141100207
mild,0.118691541005496,0.0756651857228439,0.200202360773906,-0.126983461190111,0.0116714715559027,-0.20757798418505,0.0197937071528382,0.0441264770261086,0.178171645140157,-0.0300483124016153,0.180100393286783,0.151044735723094,0.0220957613923596,-0.113578378763414,0.190383279300173,-0.0654841104620614,0.169636510379867,-0.103380335043863,0.150196312784695,0.0068920223362575,0.0619094218149421,-0.066892492539803,-0.0650825236045527,0.0838779197665419,0.16280953380222,-0.0644150975596792,-0.0599410805978575,-0.0317055652079538,0.0885951513040379,-0.0730859799901124,0.0225539097790948,-0.141632897259793
