group,CD3,CD28,CD95,CD45RO,CD45RA,CD27,CD127
healthy,0.216716196482735,-0.0675109587454565,-0.55315924001138,-0.557029714604198,0.278494235952482,0.506494300984631,0.161451723757463
healthy,0.245300048660699,-0.0996149260157875,-0.103116733533419,-0.160030977696214,0.0989681870232141,0.17847056431226,0.0148649469488119
healthy,0.254189625762313,0.415228018337864,0.162528391336636,0.147908042742747,-0.067703838924848,0.418948592668754,0.280475730053644
healthy,0.552958839623755,-0.161280298669786,-0.53833285756966,-0.361985418126262,0.453100803656292,0.660699470207857,-0.191895442610587
healthy,-0.231325273817967,0.265089015136028,0.703731702203499,0.693648896277652,-0.454082768615295,-0.379315327854442,-0.227964383005933
moderate,0.380135550935435,0.293000811651995,0.256255855242439,0.155967769857939,0.153469641080688,0.193583803875804,0.39327884524607
moderate,0.18605462856224,0.124935929562979,-0.242923187092023,-0.384156514760999,0.265155025224922,0.727069990351197,0.0407641384906873
moderate,0.228460812917261,-0.23257978280378,-0.635841793143034,-0.459044556881308,0.362498737645052,0.503153418912896,0.137874887264178
severe,0.330537675265657,-0.456551147036875,-0.500755955767896,-0.648930509812527,0.500743116148823,0.480288145113312,0.014870216698003
severe,-0.184771449477259,-0.0666218140584666,0.124506249275904,-0.0904443412007818,-0.0428905163080371,-0.183165254677075,0.157908774186489
severe,0.0005793335112635,-0.210268961884632,-0.231575136335389,0.147243628586401,-0.0277171048608565,0.0680014999978657,-0.0130617987644665
severe,0.33465708601913,0.172834944587087,-0.0923834391643292,0.0958185137334508,-0.0103035374608727,0.183800597880828,0.492196307689176
