group,CD3,CD4,CD8,CD19,CD69,CD95,CD45RO,CD27,CD127
healthy,0.46747465029736,0.177710028414038,-0.191667788430163,-0.284634986967605,-0.177689796926542,-0.173772675162486,-0.242020914954558,0.106192238404285,-0.146014654669994
healthy,0.414533423153165,0.317498650902156,-0.182628525450063,-0.0500257106380912,0.0158017770216016,-0.218600456179121,-0.352233190601596,0.370266622447945,0.0996958987567008
healthy,0.126295770398894,0.519754834794133,-0.385977518470902,-0.0882908249767282,-0.0485774090548602,-0.208058622166461,-0.147241836904229,-0.0578328067228099,-0.0847128393470013
healthy,0.347277515083843,0.253948404821299,-0.128500545034589,0.0387739335628915,0.0029193982885229,-0.526260059231348,-0.469365531530294,0.468790531099527,0.349277025439516
healthy,0.220528390450097,0.206306594738241,-0.0014484241304959,-0.279034273919027,-0.050871076475984,-0.270836779713926,0.011787373300194,0.207853897031667,0.644603587000789
moderate,0.171139612593239,0.0202928684370383,-0.128764428759194,-0.0112355345130244,-0.0829448316851384,0.127028518167877,0.015609533978437,0.305822655052515,0.221381957530736
moderate,0.269113665398299,0.0649218202015126,-0.0974484143735417,-0.0765443711436383,-0.0838298021294737,-0.554590878445573,-0.612442898941719,0.426218019313825,0.0565152581357567
moderate,0.197804454392864,0.3746916115975,-0.152915789929121,-0.0602142763130991,-0.0535012379002375,0.179510298017398,0.317206201711311,0.16458303531051,0.154154643682351
severe,-0.0200081389423787,-0.237992738664491,-0.220839991110009,-0.297130907286679,-0.211307491643411,-0.405002676236923,-0.363487926910796,-0.0687718634651261,-0.268466432661516
severe,0.256659309752905,0.271573558761662,-0.108420018247883,0.102370465613774,0.108667089439438,0.134178983357494,0.123857111541497,0.216401325226424,0.0385387376447437
severe,-0.154157074230694,-0.0932964164001931,-0.461072102976869,-0.490306492265961,-0.253233030926051,-0.16253279249058,-0.0670362571564005,-0.187760150459847,-0.13773266698952
severe,-0.16406837341768,-0.21234583481676,0.205427582811485,0.319681791008704,0.578510371898881,-0.392781483065225,-0.358935605947402,0.148362777040561,-0.167826704256478
