group,CD69,CD28,CD95,CD45RO,CD45RA,CD14,CD163,CD27
healthy,0.0954883370134306,0.183537557081933,0.577738996726313,0.65906926700773,-0.203657977513706,0.0410063359011174,0.0542037743704043,-0.310618583027596
healthy,-0.0027540377048291,0.19435373842753,0.391403101465823,0.722379013174433,-0.301425774420869,0.0261325350561015,0.0009484763115303,-0.445333529953856
healthy,-0.0492603093771493,0.267009758618434,0.254718572355991,0.182357311697565,-0.126841371500489,-0.0260745057077496,-0.127362496454715,0.0618304254927406
healthy,0.255780286072543,0.265038447369706,0.619581568426647,0.529838023297519,-0.338931297508934,0.116243125524883,0.145240236067457,-0.506357488260666
healthy,0.0237223713412223,0.142366092569423,0.695263652010509,0.639098797875514,-0.540769866461173,0.0379785902388712,-0.013176191655537,-0.572061784399328
moderate,-0.0467822886437757,-0.0253582913296671,0.37221097955675,0.22886275072405,-0.265690778731275,0.0343901510301256,-0.262923034330678,-0.667998692618975
moderate,0.0340538731030582,0.26747564587016,0.477751196586689,0.442612287578947,-0.211049040432813,0.0587237134457014,-0.0418163038699969,-0.0588588281271689
moderate,0.115723738278489,0.417738334921972,0.705244512366222,0.656556711790519,-0.442270708733226,0.0695280563391016,0.182847491242786,-0.223294974744427
severe,0.0276661640809235,-0.520111009013266,-0.513051445667293,-0.633007012917869,0.509335229785611,-0.037076133290184,0.073486776164715,0.368109211884892
severe,0.139123354763969,0.124269858218238,0.3343872743397,0.61349511705483,-0.0884471344626868,-0.0312385380680442,0.164111728268565,-0.0273592683515807
severe,0.459104383968126,-0.0875608659335908,0.0889254948946225,0.0790462339252498,0.430928449401906,0.510201345210774,0.526130511717761,0.358481502073683
severe,0.500158327785925,-0.211922672076981,-0.142615055113537,-0.194120811371272,0.0813399795221357,0.238723729963281,0.151790504906411,-0.171933988315032
