group,CD3,CD95,CD279,CD45RO,CD45RA,CD123,CD27,CD38,TCR-Va7-2,Anti-PE
healthy,-0.0587806334225348,0.17345829181284,-0.499478659805234,0.201090086043153,-0.198189723011599,-0.112000414259537,-0.139870605176934,-0.0828733519015728,-0.477034532026086,-0.161722703254697
healthy,-0.0725526212246089,-0.0654965493270901,-0.1026632179739,-0.0786378861588069,-0.0044297285905993,-0.0424251150783697,-0.0091096045698484,-0.0543522291003372,-0.203671176910805,-0.152705807098089
healthy,-0.212418533105507,-0.201084434811911,-0.213307825406276,-0.0523384241319174,-0.0140377392336366,-0.0098308008085867,0.0250648951128822,-0.0574248106716644,-0.40372074703696,-0.466554834549454
healthy,-0.488179414446163,0.776461181608692,0.0152788328395275,0.708462988768681,-0.641208040521666,-0.0061541404613308,-0.65226134572166,-0.378194784393651,0.143419751157119,0.0455170924629415
healthy,-0.460771921434603,0.672700885368019,-0.0325127690727064,0.624236262163039,-0.589187517363643,-0.0361431402394327,-0.565472372886517,-0.454871991114018,-0.0426726883841254,-0.0929465065287805
moderate,-0.278684372085326,-0.467766966902513,-0.114976932866729,-0.35729465686285,0.0422387427944738,-0.0804381717201338,0.0208362767690355,-0.0620134297149717,-0.208750980369053,-0.296783360124193
moderate,-0.351852694712242,0.27519632703025,-0.0634132704441814,0.35905593285292,-0.346498403857927,-0.0978734732848713,-0.439455186137434,-0.114744543523694,-0.151992575230107,-0.122954691462424
moderate,-0.312566471312544,0.164794020635892,-0.0889018325346504,0.171577172497903,-0.244420207300644,-0.0260448200134679,-0.31396573410329,-0.0857338969991858,-0.0599817927408947,0.0222551752845114
severe,-0.340726434168556,0.228328079636541,-0.255774882313111,0.40664369089137,-0.481777646780955,-0.14245084987947,-0.414795329192634,-0.121325632442355,-0.271268378973016,-0.173247260459022
severe,-0.290004210063336,-0.0450688599842064,-0.0096079305783997,0.396526316036263,-0.251726720695816,-0.232674041331775,-0.289449484593353,0.002311323423081,-0.0852411274287196,-0.199766529636439
severe,0.0299494353097502,0.176221228325692,0.147954859947322,0.139685620698385,0.0734559894853621,0.491649407927032,-0.0521970003814234,0.269280774945132,0.0927270389138484,0.124308879291179
severe,-0.401328682572279,0.536367186250142,0.0576363033680043,0.417993468901706,-0.451287683329434,0.114624421755887,-0.464316941543089,0.0800914592415046,0.0646898753773206,0.16847310937199
