group,CD3,CD95,CD45RO,CD45RA,CD123,CD27,CD38,CD127
healthy,-0.375608780308955,0.480667378193888,0.547415352463518,-0.289109521446528,-0.0323657832348135,-0.445250296914763,-0.206734159864104,-0.235377764800397
healthy,-0.33985771571469,0.267771930461827,0.387697004619068,-0.146147538949711,0.0232528967895857,-0.385312782206735,-0.0209085328093395,-0.168810037945214
healthy,-0.356058696100702,0.142265861941036,0.260664978980844,-0.0588460469391401,-0.0238966513470006,-0.709315381456483,-0.247017524472443,-0.0625060081027669
healthy,-0.482981126565665,0.617296360973461,0.513828008960087,-0.490583761522736,-0.0222464964805669,-0.610459608740495,-0.281162756380509,-0.172324772909426
healthy,-0.483881823907213,0.612039034381239,0.512260320563691,-0.419131491608127,0.0192940231843837,-0.632379197544631,-0.358979415898877,-0.101109010263411
moderate,-0.357223357227841,0.182692042367492,0.176848249621368,-0.310272737452055,-0.0943185279445735,-0.564264860794176,-0.124145145070908,-0.372548359931921
moderate,-0.270259874683428,0.471887779812288,0.58297057827939,-0.349083150693038,-0.0517165738900896,-0.527931023440015,-0.0578748213273193,-0.0530317681623636
moderate,-0.279254445278978,0.432272888542652,0.257904183452938,-0.206922219486247,0.0315250572080286,-0.51603150402969,-0.0731881290291543,-0.208283994498245
severe,-0.39305112257513,0.355860551474733,0.538275108082912,-0.532723590595151,-0.0650476824317334,-0.557177827661809,-0.130835974898129,-0.116597779236346
severe,-0.338677345846021,0.277148979575832,0.628864431839313,-0.188366522428192,0.0899743547412988,-0.152725564523025,0.120626496540511,-0.184600310478136
severe,-0.0214246511065813,0.340772214116487,0.349383572018258,-0.0497559493581476,0.366168026113577,-0.13234425535534,0.287322542971815,0.210220736107935
severe,-0.400296034322723,0.394270098613854,0.213832601139844,-0.221386630936957,0.0022770709743016,-0.398768622195992,0.0085768928980087,-0.180493118948928
