group,CD95,CD45RO,CD45RA,CD27,CD38,CD127
healthy,0.55300159212958,0.627708642035856,-0.0944251868696102,-0.18445338687761,-0.0241579156117947,-0.0973780146703983
healthy,0.369486413971233,0.76904548751155,-0.336602799450323,-0.426636759557261,-0.163047121209279,0.14823784647206
healthy,-0.266051330525278,-0.494263129506225,0.272930296419255,0.132331410038352,0.232006149615091,-0.171278118349673
healthy,-0.299124471794768,-0.32995831588686,0.438763014626796,0.378131798415048,0.375608740844853,-0.613879284444326
healthy,-0.176816594678435,-0.383262826896097,0.484417329702786,0.376410344289583,0.533254740640335,-0.321282756213881
moderate,0.0949396803872551,0.225184765953822,0.028517065968161,0.0816507373862212,0.236812549923038,-0.101665904278408
moderate,0.455384522377664,0.593560416005276,-0.32148236942588,-0.642333567926135,-0.0335380652718486,0.0223314518268291
moderate,-0.133236543154811,-0.0605385348741984,0.250520962320703,0.215658055146009,0.147564763585583,-0.012404784635464
severe,-0.46791979995329,-0.621234531924079,0.517213960219592,0.49211002439612,0.107179322773233,0.0422850000178451
severe,0.0755165438632726,0.649024234909248,0.0081632938762412,-0.0040823895601897,0.281887565647423,-0.240134785222996
severe,-0.42662635904938,-0.420904022179325,-0.0882683044513589,0.0502956692869826,-0.262760203092282,-0.166456481034828
severe,0.111947082718178,0.0229171137923262,0.387046025865319,0.381771850802122,0.163088197857278,0.15856554645097
