group,CD95,CD45RO,CD45RA,CD27,CD38,CD127
healthy,0.405566068072524,0.457281592187758,-0.357049562597422,-0.47879237509462,-0.27484385170035,-0.223635643772311
healthy,0.419993908390858,0.739139215711201,-0.312595208892495,-0.456543776650585,-0.136845488692312,0.0649625898194708
healthy,0.298889002488897,0.491495027770864,-0.139859037083794,-0.80344124832219,-0.321002137389402,0.065885440368916
healthy,-0.177761673140788,-0.238634485504467,0.0651225645297864,0.371939350364537,0.0875344240570112,-0.680968455519555
healthy,-0.508782056925542,-0.66561003038374,0.563337059826165,0.365521025346468,0.587479818192667,-0.377344527518823
moderate,0.158346078089216,0.140288540636903,-0.317925547825401,-0.513220251550006,-0.173493077241812,-0.342520735723769
moderate,0.494511809241029,0.676576723121301,-0.370068900649787,-0.59242236417704,-0.106977646079665,0.0778602572059745
moderate,0.639344563341601,0.589462954706806,-0.594968355478899,-0.4843143453673,-0.275216726434025,0.0133956749373049
severe,0.396063094855507,0.578583350011462,-0.549612151800153,-0.510761883070096,-0.13891666708011,-0.0868218162183284
severe,-0.315275659603738,0.163504584083096,-0.0747308460500763,-0.0957974405189926,-0.0782445976674602,-0.351820063106809
severe,0.573176076430293,0.351652547410613,0.0220524445718991,-0.0194106883792532,0.293438274704233,0.0905037564166461
severe,0.335128763072388,0.196737862933773,-0.294085575099121,-0.412146273751753,0.0253553960345086,-0.153361390746286
