group,CD69,CD28,CD95,CD45RO,CD45RA,CD16,CD27,CD38
healthy,-0.0921522580575787,-0.0426218709737232,0.462654903629548,0.445492537691837,-0.259305561069555,0.0565716205735274,-0.465882807967555,-0.201247546918843
healthy,-0.0306338185677487,0.163319351184134,0.276317062206438,0.535672186083297,-0.250078693764046,-0.0742037772371859,-0.349661802935909,-0.165006918636211
healthy,-0.030766001618522,-0.276951130368571,0.0267489817233615,0.0298464395014866,-0.0260584489374521,-0.12224123682376,-0.407165145557874,-0.106927456290203
healthy,-0.145265816723645,-0.19357710044243,-0.221493726023897,-0.361875543589859,0.133909831387929,-0.0804617859664273,-0.168232074893708,0.089155101487146
healthy,-0.127441093006179,-0.134765519972428,0.176867503857467,0.0261676280473471,-0.0654162818021489,-0.1228623592225,-0.390846145168681,-0.0904250556770544
moderate,-0.0662500687224187,-0.519400507755911,-0.299197203525472,-0.64640894481379,0.503037972282188,-0.0004287079904666,-0.127067673409038,0.157149340409207
moderate,-0.088827856165927,-0.299937835433366,-0.429333343750671,-0.465296199832678,0.0413550827594093,-0.134991167980601,-0.042984080644606,0.0472630001316795
moderate,-0.0417656587663416,0.0280585576740747,0.206399414773091,0.0945718120432288,-0.154961718517674,-0.0777638780359886,-0.348856712804399,-0.0560874434140978
severe,-0.194048310530428,-0.300740100249532,-0.260704888535749,-0.152010235779208,-0.200855089003595,-0.20829111306926,-0.363580190563052,-0.0418376873787613
severe,-0.125057886322765,-0.147104182721005,-0.163464515972385,-0.150090699360372,-0.123025173892358,-0.144347268259359,-0.241430518525199,-0.297830809076571
severe,-0.112982236727123,0.0787545615842659,-0.0303160415977363,0.136001074671868,-0.311668325495886,-0.451200049027559,-0.281260570585738,-0.0284420449550887
severe,-0.507332397625102,0.194725280176704,0.163024928592942,0.228740265270942,-0.239927269973089,-0.197567509839621,-0.263900063340096,-0.453995036114681
