group,CD95,CD279,CD45RO,CD45RA,CD27,CD127
healthy,0.54763189755376,-0.047581739573454,0.609717606389846,-0.299250008503257,-0.468814043767675,-0.181666061645327
healthy,0.384380817032083,0.0068438989985779,0.70965450554171,-0.301770182494562,-0.441243431125557,0.0858357478177425
healthy,0.372648511756078,-0.0161641418665728,0.516907998289875,-0.143229617729734,-0.773314364821642,-0.0013655730699805
healthy,0.54033527395734,-0.029711885865216,0.422204712269341,-0.34257088453775,-0.489551209669467,-0.314952163580988
healthy,0.580427728092924,0.0241987167272391,0.410038689657081,-0.345205822419003,-0.367831483781789,-0.475777436642951
moderate,0.384243629490487,-0.0210758996137831,0.371347561414074,-0.318082334022967,-0.585329098210307,-0.368438810587953
moderate,0.52398935392709,0.0213535089042125,0.642444743421415,-0.326249315073268,-0.558139094532693,-0.0019323634933819
moderate,0.67620025644913,-0.0961837600127453,0.529807194165025,-0.392798817622198,-0.513483097890873,-0.0379651746041381
severe,0.451868218992333,-0.0223742845506723,0.618303121187047,-0.44754601605093,-0.546439546595086,-0.0668950359428655
severe,0.0846376361466303,-0.486274198497805,0.319442166498863,-0.285675127217062,-0.245042892945982,-0.251289730150263
severe,0.451981365751771,0.237480862506902,0.365990908027604,-0.0272510348883364,-0.170728226655961,0.108380379124963
severe,0.732394335803983,0.057822489759072,0.513374023261581,-0.49915463864364,-0.484258446179768,0.0429551176665172
