group,CD56,CD95,CD45RO,CD45RA,CD86,CD27,CD38,CD25,TCR-Va7-2
healthy,-0.0404788046353885,-0.585647467244008,-0.596936228098351,0.244277092665337,-0.0044825978677715,0.469198540595612,0.190185325304331,-0.128891897862934,-0.147445116654837
healthy,0.0106221710733023,-0.39686309431801,-0.750283160606432,0.341368694101083,-0.0365318166974164,0.477683056560999,0.144525634179726,-0.134066624699675,-0.0355823070006755
healthy,-0.207596705735979,-0.279820726806766,-0.391414766713191,0.0679426456586086,-0.0644854462862848,0.779412103516324,0.235472094478854,-0.119455868267811,-0.200240035299895
healthy,0.463172932392149,0.0222943199951258,-0.0884748519900337,0.231059183481299,-0.492114881435855,0.022211978551525,0.122532560569748,0.482734418887858,0.313324450229337
healthy,0.20098112015781,-0.677561459452126,-0.608249494259937,0.655418145036169,0.117617027787317,0.430408005008871,0.618210547073873,0.0016257783169144,0.0733042398945452
moderate,-0.08308677440982,-0.552499465662,-0.560861974709696,0.362091316027601,-0.11914306973943,0.493866509985533,-0.0362043911473366,-0.192200876619382,-0.119072283835145
moderate,-0.164473977870538,-0.3604809113077,-0.517625548706806,0.288516343865089,-0.0658651305784085,0.66519411884409,0.0100913991409435,0.0385135644688487,-0.0809312441462179
moderate,-0.234074950999795,-0.400446294866066,-0.196020801724646,-0.0692344707075972,-0.149826150885519,0.227373525235106,-0.0167140727581875,-0.25098484143434,-0.215750386919084
severe,-0.239372414553142,0.0077851706733824,0.0859196779467009,-0.100516849301715,-0.177922083413589,0.246770502140116,-0.0718128915057522,-0.185057711971221,-0.467607421457881
severe,-0.0625101649824559,-0.254714737825888,-0.185106336903311,-0.0378318416651933,-0.201824277574217,0.070299199853918,-0.124156802289606,-0.0567724863997295,-0.0736127891767126
severe,-0.155408756365889,-0.432295872808681,-0.537558557595076,0.0940500170678409,-0.116862996086176,-0.0845342957434521,-0.045326952131395,-0.32148393762714,-0.004544137759814
severe,-0.141610262231995,-0.273852956827718,-0.113043983297414,0.263144567920589,-0.15392325833122,0.44680626303503,-0.0454072248628865,-0.260643030058588,-0.080510219696821
