group,CD95,CD45RO,CD45RA,CD123,CD38,CD127
healthy,0.37872007255619,0.432784144118798,-0.304263231435719,-0.113460728381062,-0.213351067540022,-0.279212455064421
healthy,0.0433371989509078,0.0414523735947095,-0.0523074699579261,-0.0196326556992721,-0.0630397062939338,-0.120982939530814
healthy,-0.0526065487573921,-0.0380379127411298,-0.0128397461972578,-0.0991477244593437,-0.102874557226343,-0.238509069284635
healthy,-0.289480999410026,-0.425511493108128,0.410376560834089,-0.171627982415222,0.284107843733683,-0.604804560863265
healthy,-0.345127935119069,-0.580867039564806,0.494484100837951,0.0063799174866586,0.549867871610462,-0.535664238913438
moderate,-0.214383514933696,-0.316839229439098,0.0639600894621438,-0.0674154837462259,-0.0595687917334193,-0.337162617398839
moderate,-0.523506818798579,-0.536304181084484,0.0635835266298982,-0.0955372367283321,-0.0578525060922237,-0.216961631816669
moderate,0.0082996066463015,-0.115423606351207,0.0146093703557696,-0.0099226337168118,0.0288757577781607,-0.250400166294206
severe,0.272646520936278,0.440704713910678,-0.525134476436285,-0.130375520653222,-0.139431289549808,-0.170145293208292
severe,-0.0259148734654428,0.426760845406529,-0.124973423260641,0.0706049082800546,0.1356951895211,-0.388193637646068
severe,0.258138427656118,0.195902361016164,0.274563348909858,0.52159348671396,0.311697068847611,0.115166485794861
severe,-0.133556444120983,-0.336342952092968,0.116257483773408,0.0449214853085451,0.23841788301754,-0.543257860662694
