group,CD69,CD95,CD45RO,CD45RA,CD14,CD274,CD38,CD25,CD127
healthy,-0.068087011901237,0.46546046305673,0.556303463922748,-0.333669988483262,-0.105380475301807,-0.0490013198518203,-0.216135897934583,0.0553867107322713,-0.0883043197061586
healthy,-0.030984684049477,0.21940646518322,0.497819060049162,-0.234899889287877,-0.185116945679883,-0.0479099123947943,-0.192163765933513,-0.0853958931147004,0.172977891859708
healthy,-0.0664743018009307,-0.017340091158531,0.0604362583058595,-0.0735915955543318,-0.0660362201918625,-0.143874356522883,-0.145550640212286,-0.220685364139314,-0.137125525934866
healthy,-0.160094618273365,-0.519150765807249,-0.544431296747144,0.445746002264589,0.0033447854304355,-0.11411720859316,0.313787942853413,-0.318120761250182,-0.514367978578295
healthy,-0.083973409779008,-0.594089466017956,-0.620381440558115,0.496961186886018,-0.0384380889736169,0.0189829349070565,0.481052490789398,-0.0963454659809062,-0.220233058736002
moderate,-0.193421882853322,-0.209218073715794,-0.319593829001763,0.0680025798266734,-0.0882449956676707,-0.275702701450965,-0.138320073580198,-0.193584183588484,-0.0200391234475629
moderate,-0.129477237804156,-0.172891138632441,-0.187370815348949,-0.0732689194675328,-0.108037819063512,-0.246895493439209,-0.107104271816375,-0.15759039863461,-0.19076570830817
moderate,-0.0493708247778593,0.217261915051124,-0.0032161445689906,-0.136791692688525,-0.146322979143235,-0.0607631997091317,-0.0330526498840714,-0.0024909347596937,-0.226772368941292
severe,-0.101073656929273,0.378137489471713,0.553898049059176,-0.505503482890589,-0.0670379437071784,-0.122835931991988,-0.111330330647974,-0.12198175937706,-0.0722237032833442
severe,-0.186099619875101,-0.0602028640407379,0.271317983076686,-0.265566064925314,-0.457544234981175,-0.352248379750002,0.0685796939923458,-0.291042427559982,-0.172620842169963
severe,0.213320274102873,0.266966646469205,0.215447132086193,-0.0015621748619911,0.232248720720925,-0.0559959080910718,0.142496992900041,0.172683600501747,0.103827738696827
severe,-0.528479258619957,-0.228424067841278,-0.144165543481087,0.217573407994903,-0.242099991745292,-0.454496475660802,0.0928600964421307,-0.45077552281624,-0.240375230575068
