group,CD3,CD28,CD95,CD197,CD45RO,CD45RA,CD27,CD127
healthy,-0.403119832982838,0.0735658615194512,0.499189147701894,0.099280789723635,0.561008600461435,-0.199865180002767,-0.401104503459596,-0.165372331598302
healthy,-0.473851355879667,0.0961277953496144,0.359566161891167,-0.0716634359728068,0.643120477929101,-0.253171002661097,-0.437599070697026,0.0027649974327434
healthy,-0.29588679809521,-0.0943364204201951,0.194805624333818,-0.171299677539217,0.213872183309154,-0.036411079227758,-0.455917825516281,-0.212729983118509
healthy,-0.335747513717513,0.152483585481599,0.37897413238397,-0.283140776405187,0.382977508530767,-0.388667069276012,-0.475293568960994,0.0214765424849933
healthy,-0.361921063412235,0.202470604157818,0.527180517326524,-0.444901115321205,0.441077945141738,-0.447124909147852,-0.483137140029899,-0.173821551014599
moderate,-0.390058931990772,-0.225107525256694,-0.0169411858799289,0.0268366795049885,0.111999026746693,-0.202281763908183,-0.438573320541526,-0.431705905642272
moderate,-0.332406760941537,0.0802850881788868,0.403076700126107,0.0506626215472478,0.386687288733913,-0.239599442658532,-0.326785386650701,-0.245947569082535
moderate,-0.273999350042653,0.240778059952039,0.591878104517433,-0.0099250055445771,0.521167001250425,-0.303851670869684,-0.452966515964658,-0.0402257562647032
severe,-0.3087677805299,0.429793962346371,0.50591823533124,-0.0389164490366187,0.672610184245641,-0.327211403417162,-0.460602746259241,0.0087902071919749
severe,-0.277234895436323,0.1812692155715,0.265351187379678,-0.077692147572081,0.314633726618272,-0.139064040049393,-0.0711198714494236,-0.297155603804515
severe,0.0733443249334939,-0.0810677284371759,-0.0701828555983807,-0.471219033955081,-0.0874834564147189,0.0437706940520273,-0.192433651317938,-0.0728405602895427
severe,-0.314777768603129,0.24155138654199,0.464848987248256,-0.246673139544412,0.416576161949186,-0.420513194879435,-0.412922166880633,0.115039741585159
