group,CD95,CD45RO,CD45RA,CD27,CD25,CD127
healthy,0.566208855622766,0.638747243246262,-0.251372967113766,-0.408031971654542,0.17318156838016,-0.16906923105198
healthy,0.360769806271516,0.675311408264711,-0.268989405667679,-0.419465371091326,0.171365537844347,0.0260585534460485
healthy,0.337870815756969,0.483049990700471,-0.110751048903804,-0.462796010565833,0.17260783861859,0.226299333742411
healthy,-0.370132776501788,-0.192039026605843,0.0853171603585845,0.209719812529947,-0.512526994572902,0.491051469623801
healthy,0.70557193454512,0.52470197472028,-0.39814276253371,-0.457490354090744,0.128267817851812,-0.259581463394973
moderate,0.624195350350151,0.585403808587079,-0.26743630790574,-0.34746336452437,0.314913980619401,-0.0897265400286201
moderate,0.262390604848006,0.412028137701774,-0.139322232945049,-0.458916657199511,0.0017729219779439,0.189970742953732
moderate,0.590025329211463,0.39784056141491,-0.0756222847298512,-0.346875143015931,0.300182583583629,0.126003912336454
severe,0.512278287725685,0.685088396195334,-0.464764642731483,-0.49223330549834,-0.0192267389468448,0.0076618654038469
severe,0.215356526782579,0.392674485932804,0.054279872445351,-0.0884643010893416,0.089254588500033,-0.248186232562992
severe,0.0291389661541448,0.26127793038792,-0.137475819340203,-0.0506655465533258,0.105650047248757,-0.0697262494291955
severe,-0.16389995936065,-0.100702756619642,0.179184706167617,0.240948291679471,-0.286714102549443,0.386565075001359
