group,CD3,CD28,CD95,CD45RO,CD14,CD27,CD25
healthy,-0.469210357877049,-0.144871908435317,-0.227751491011862,-0.155185302420698,0.0768236301104321,0.0151331125539639,-0.0595335078433673
healthy,-0.405752983104942,0.0979551798189039,0.274118529217684,0.509143129227419,0.0224665845688071,-0.354994307562857,0.0325779182722643
healthy,0.0444559353167003,0.13722962305515,-0.140932902633532,-0.370038890518592,-0.0389559678368855,0.464409875232093,-0.0880656073717825
healthy,-0.195256080827322,-0.230054064023652,-0.132862607339141,-0.0365945894541131,-0.0713554839500252,-0.228415175264468,-0.27096790573753
healthy,0.187990545026115,-0.319443860411444,-0.770813532911918,-0.609399022619231,-0.181053934504382,0.34619421145761,-0.116078480539025
moderate,0.1551510590784,0.294469665625886,-0.0185423985698407,0.150105130908356,-0.0799286020088547,0.0826089171735217,-0.114113627431167
moderate,0.0302561868095791,-0.031022238888772,-0.460170543746968,-0.645721981895254,0.0330000768527035,0.611738574603509,-0.080031158980724
moderate,0.108137778005356,-0.136124358687399,-0.633687339993812,-0.507513288414115,-0.049497730104118,0.532197498022369,-0.169148014291835
severe,0.0726425178501628,-0.636759107342409,-0.635399698212844,-0.701888561686866,-0.0720815270008335,0.298350396210403,-0.0478699505822738
severe,-0.205818839211772,-0.294889664178561,-0.190599923196627,-0.38428591576711,-0.450584287392152,-0.252042473244441,-0.132204621823216
severe,0.0025191998599964,-0.369276360244861,-0.492701536501097,-0.173124792537146,0.218789120414056,0.0372288114448501,-0.069920211699102
severe,0.186379703066835,-0.280219788233022,-0.598214532523007,-0.372112468956769,-0.137084091990539,0.326922573581135,-0.502267729991744
