group,CD69,CD28,CD95,CD45RO,CD45RA,CD27,CD127
healthy,-0.0335694060277957,0.141824665528454,0.535592561372751,0.615247246941473,-0.340307807233203,-0.446678891491047,-0.121467492230523
healthy,-0.0033723234096597,0.169460723997761,0.39169339033364,0.694781657813009,-0.286356719070898,-0.453955427596733,0.0374133083155057
healthy,0.0940778002619283,0.004186938147146,0.494002061238914,0.7054573191235,-0.223793852724194,-0.75895340776855,0.132726718435319
healthy,-0.0152216902129224,0.398935575979523,0.805659814825365,0.720423179361737,-0.650418345833883,-0.608429868207323,0.0491632872197717
healthy,0.0205136436511498,-0.163225182736149,0.342693048935453,0.0319194141284402,-0.0612189529698709,-0.207055879022984,-0.524871875766997
moderate,-0.0382883295147122,0.183253942030058,0.482033640144726,0.515591025626599,-0.483670103353169,-0.580934821201101,-0.189715203381742
moderate,0.0385065156228431,-0.0083074131728106,0.445735960817591,0.643485171955572,-0.380744168179706,-0.621800313291245,0.06371057845322
moderate,0.0679398938820795,0.131828381697802,0.620865006625778,0.468348808261182,-0.3721145885312,-0.606263318036264,-0.082755252322393
severe,0.0232554376045638,0.510435157025306,0.558699509811164,0.708668970191451,-0.465109504407309,-0.455890632102248,0.026195113237939
severe,0.0484729463615839,0.202659412776055,0.18774387096655,0.674008650468009,-0.089308847738741,-0.0117031188984073,-0.301668383942499
severe,-0.0464627598331687,0.330648140590362,0.526299131031643,0.304198325239953,-0.166806595974769,-0.0948268449199396,-0.0086640152666651
severe,0.568712222393712,-0.160760188788803,-0.0326608265223873,-0.153781478253816,0.0709146018180119,0.0244152103294805,-0.290910092879749
