group,CD3,CD19,CD95,CD279,CD197,CD45RO,CD45RA,CD27,TCR-Va7-2
healthy,0.132772431504283,-0.15243793798509,-0.311982936059608,-0.428629268332906,-0.196379293742315,-0.324029596870649,0.0180307080444285,0.188533242999133,-0.454316555173283
healthy,0.365883004956348,-0.0435264321074264,-0.355938221183971,-0.0691672417992387,0.154934852602483,-0.62930905470504,0.259141892407066,0.444572561018364,-0.107522392787648
healthy,-0.0410379509163767,-0.104418231072975,-0.376546866149113,-0.102972598852789,-0.0919211668264491,-0.4475736818718,0.111955404826286,0.3140323462898,-0.268580626487123
healthy,-0.301463595824134,-0.22854981887876,0.0837237196559624,-0.13226469263367,-0.225649172462408,0.120669987935851,-0.271630749062836,-0.394056221652004,-0.164349819027027
healthy,-0.443895968181695,0.0192973900081795,0.679579186136647,-0.0135795029882534,-0.400194244268423,0.599442434818782,-0.548511781054137,-0.516412977341414,0.0286799280248459
moderate,0.0068917128637974,-0.130981204152914,-0.66628326013808,-0.0727241196517387,-0.132154009055217,-0.585550567732287,0.380116827583582,0.519308336895402,-0.135313309223682
moderate,-0.377809734880258,-0.0573355680611777,0.299013301955684,-0.042600120210348,-0.145462438208857,0.340053958777326,-0.314430481828225,-0.337712551243323,-0.173991567380536
moderate,-0.226873104071987,-0.168902716368997,-0.225819685628757,-0.0479259387356753,-0.174657690212442,-0.109130040145933,-0.0581931046631918,-0.0079179962644735,-0.154685684355924
severe,-0.186076512381114,-0.447468573607441,0.160604626713048,-0.305952298698493,-0.396687126019605,0.316608538300003,-0.309980161275835,-0.160210591786479,-0.396925960606201
severe,-0.241687544873029,0.211867550417552,0.0794158799515727,-0.11480165090601,-0.0948029018519324,0.0306907586485906,0.0804125411655755,-0.14747829873195,-0.0695663605062538
severe,0.261554879487705,0.0776986403846837,-0.404580748759229,0.0357593578073588,0.0946030257928664,-0.409659788334166,0.384586882819493,0.157985106908575,0.0819785258926448
severe,-0.435692470142544,0.186566231567236,0.472863008110951,0.0145023774692774,-0.209089423745715,0.393847778733448,-0.460679227735988,-0.512591555218693,0.0776359154725763
