group,CD3,CD69,CD95,CD197,CD45RO,CD45RA,CD123,CD274,CD27,CD38,FCER1A
healthy,0.271458072798989,-0.126963999114978,-0.51154857095461,-0.022964892923289,-0.587862845642562,0.148368584210284,-0.116374606868256,-0.176231240427538,0.203541208477095,0.0689216955235323,-0.123232376944609
healthy,0.435811934260619,0.0101943404838839,-0.347455350494269,0.169420103176856,-0.664523479333124,0.296502113165839,-0.0426490716873463,0.0527623470656292,0.432696671004844,0.153605567437391,-0.0826054584908433
healthy,0.379558869608711,0.0326117147736616,-0.216704769019649,0.197840197879292,-0.368575884600978,0.165655985351382,0.11001061952407,0.123138776833018,0.341084051127158,0.222746967761988,0.127021237113876
healthy,-0.252033045130456,-0.072922377441327,0.617861789328063,-0.205976089965999,0.629674684304702,-0.689725403177118,0.231355707578531,-0.032178445557208,-0.285442650784083,-0.372458704806797,-0.0242369918800189
healthy,0.386379162317631,0.0581967010449898,-0.601489834176966,0.406858848254632,-0.459864991009927,0.501580338142793,0.100457083029122,0.0831460085029248,0.49432562238595,0.417482123284816,0.18249552192217
moderate,0.132339747569972,0.184746036054979,0.170747071321236,0.297370673042036,0.0976106946512415,0.206362238294526,0.129996837353091,0.40093054095398,0.214937597753011,0.234488801193883,0.15990390584241
moderate,0.389787064567836,0.055811364004043,-0.226316646597802,0.147117923337212,-0.293120182725712,0.311061303834399,0.0879824507422975,0.126373924269347,0.333405115378118,0.149287166206392,0.188744676116916
moderate,0.371841362195183,0.0259322372781188,-0.558431102217601,0.149724604993406,-0.550841025974431,0.559908563855827,0.0181615589340548,0.0380004844726092,0.390246056277073,0.257807910938679,0.0447282667136151
severe,0.40620243494693,0.144843115708083,-0.259572535133268,0.282964359151572,-0.425107031517952,0.481118899309751,0.147460626446259,0.115415682700394,0.390271627727377,0.135231398524701,0.184548738512935
severe,0.196179958155601,-0.0163419005464995,-0.194920066074432,-0.0142128729232592,-0.693781119570702,0.203392718238915,0.0434530818954811,0.119278459641258,0.145914861276126,-0.134502664725719,0.137791991027391
severe,-0.0474164781019063,-0.112674490748184,-0.494983324938993,-0.270544592211254,-0.19443761423094,-0.0585993596695191,-0.475889713841487,-0.0539834751605362,-0.034807268829592,-0.276919360126413,-0.448485621765624
severe,-0.323935971325989,0.446726715184543,0.416374185363519,-0.122125282041614,0.434898655963464,-0.426731522592613,0.209579568925428,0.364559328876547,-0.355341383509043,0.0895050448475587,0.0694274113624952
