group,CD3,CD28,CD95,CD279,CD45RO,CD45RA,CD27
healthy,0.348190810209721,-0.150926605880731,-0.312405732117626,0.436704400320893,-0.395813414785158,0.250776206444995,0.255629247139877
healthy,0.256397086139027,-0.0127153430713578,-0.0909072494468143,0.052849948207993,-0.205346507976599,0.12217708911439,0.198566579462842
healthy,0.259481592290365,-0.0104460767001148,0.0470048625809754,0.0944805863690012,0.0075492719224306,0.0426486014530541,0.0388475879113505
healthy,0.347134265241031,-0.415681286356344,-0.815645938555798,0.0193255799061205,-0.800755638841062,0.656680596047109,0.47489630205239
healthy,0.4725288344361,-0.112584332232691,-0.681752951828086,-0.0484337761630019,-0.557939420702099,0.467981444598349,0.535893345940014
moderate,0.261457946044717,0.293602177509307,0.47468246032037,0.131580514553481,0.321519914854501,0.0465905680893362,0.0175530718906928
moderate,0.383008948584691,-0.265355710844987,-0.459688314783982,-0.0710172692588298,-0.432260001963883,0.233244735068316,0.177860858617849
moderate,0.0887838957457687,0.198113186891896,0.615984971259375,0.0576001141411295,0.472875128909377,-0.233974575365418,-0.368430510497025
severe,0.355773150833804,-0.272548622729884,-0.321573081391441,0.261448947350715,-0.487309276868847,0.461138659160414,0.314354899895275
severe,0.298760854592415,-0.155042604563419,-0.167029082631679,-0.319158702096031,-0.637635807641943,-0.0540048918846787,-0.0076178260188938
severe,0.124668021244734,0.0562718703886582,0.259443858480158,0.123682064137612,0.0189129644335491,0.178649204761764,-0.0648207999532562
severe,0.27171887852298,-0.214165365913804,-0.500361917893061,-0.0793834271362433,-0.420949228441676,0.518657655236275,0.46669397629163
