group,CD28,CD95,CD45RO,CD45RA,CD27,CD127
healthy,0.0341312414536437,0.518598482637551,0.575254588797052,-0.246548710263702,-0.410777920221387,-0.262145561698121
healthy,0.168635751951802,0.32997657754232,0.596993704157411,-0.264149384556732,-0.400252414415208,0.0352140319799389
healthy,-0.174409515082996,0.303611028505148,0.462675740664424,-0.134088956292248,-0.757278139530658,-0.0330279414639007
healthy,0.310105846154383,0.766319537419743,0.659713837514063,-0.596909871822707,-0.513982165382975,-0.229565662942349
healthy,0.101121185915272,0.578818650408083,0.364571391672706,-0.299720899217836,-0.327989128592693,-0.554222110600604
moderate,-0.193722966069804,0.230080232874526,0.144835055034615,-0.0896428530714406,-0.474536753535036,-0.483991979552936
moderate,0.135411021976323,0.506214479347256,0.508932129213989,-0.18675957462116,-0.430054867216196,-0.138663657245187
moderate,0.0909517383012952,0.461754692598459,0.26524701859642,-0.183126427034036,-0.489849951675206,-0.269613925973107
severe,0.539620671240632,0.576975727589173,0.611441323913286,-0.285009357398835,-0.40019650674043,0.0502050018812858
severe,0.200199795180945,0.0009480282091002,0.337076455066735,0.0110934093168836,-0.0048485432706165,-0.401825714372125
severe,0.0866020799107346,0.326850321415386,0.179515095918872,-0.210984681025727,-0.0929219999150791,-0.0397212626018335
severe,0.360846015125012,0.613270918893677,0.575124616501686,-0.487344339778473,-0.186034077116766,-0.328255876624234
