group,CD3,CD28,CD95,CD45RO,CD14,CD123,CD86,CD27,CD127
healthy,0.285252126222645,-0.0254703888675057,-0.472704664439602,-0.549990396464184,-0.118432929983606,-0.116213058079479,-0.173084455996635,0.175365001775813,0.283315721589389
healthy,0.462783261589993,-0.207884346914931,-0.387286658329358,-0.749028102497538,-0.0931168951000144,-0.0755381703837226,-0.04501659359231,0.46146726980634,-0.0986180292096096
healthy,0.204246402421897,-0.0407242485415834,-0.3070357511565,-0.218929593026563,-0.0523913100187744,0.0492167926135999,-0.0169536467928858,0.270371189462275,0.364695551245805
healthy,-0.0231917846455404,0.0847469566558606,-0.0804409833908206,-0.0661087319824882,-0.0307378709228047,-0.138382530891761,-0.326909310728163,0.0666439686664777,0.557773915439917
healthy,0.0811011297884092,0.136292322510797,-0.0528561101396357,0.15793640286505,-0.0459845211136467,-0.0771607714996298,-0.0912040682185905,0.203617616952307,0.652021826410134
moderate,0.273824583799283,0.0513980965977988,-0.248758441749102,-0.376624289550325,-0.129842513317016,-0.0109703879778754,-0.111550639885669,0.399808273139035,0.43554014654768
moderate,0.159214421483068,0.237956310683759,-0.0687602948827171,-0.0050495950626465,-0.173852069608741,-0.0378319006598125,-0.188644100534158,0.362211966537319,0.301876101785577
moderate,0.0877295531129152,-0.245687965494652,-0.637462552749254,-0.487876269787985,-0.122346490507051,-0.155836729600013,-0.163393567341718,0.3934997584126,0.0375440577910547
severe,0.155733873693836,-0.582733092111739,-0.62948918687408,-0.696621309783361,-0.174270788458347,-0.18162677163606,-0.203831018848005,0.352927465362057,-0.125891209089258
severe,0.0200138988530416,-0.0843116873194746,-0.107315596509866,-0.288120999581251,-0.262677633080152,-0.291927535719241,-0.466689197509216,-0.118326875880043,0.238127792025845
severe,0.0179307844562856,-0.199805196338857,-0.302382634387134,-0.0887734904148012,-0.127248308315,-0.456773104991098,-0.339691334447923,0.0454842092502428,-0.0701918934860522
severe,0.336220035261058,0.138446052603006,0.213928253302439,0.342803915861389,-0.509592209243234,-0.193079334791159,-0.13172906925214,-0.151113518362419,-0.125474786479558
