group,CD69,CD28,CD95,CD45RO,CD45RA,CD27,CD38,CD127
healthy,-0.0333876771961943,0.193414877147084,0.462883043433271,0.536644098128751,-0.356471373210502,-0.423944939369504,-0.240850959650822,0.0255082343523212
healthy,-0.0132085348204094,0.249704132667826,0.378438010943539,0.733375059643898,-0.316693746833225,-0.413322011011025,-0.20547965836449,0.149508632548739
healthy,0.0674024550031771,-0.0575317944804849,0.318849386200215,0.631427370058116,-0.242263159719049,-0.751037331049414,-0.408105579554394,0.331387525181953
healthy,-0.0386450413530685,0.281153268293333,0.677964709934229,0.53955636250394,-0.460672216532522,-0.31200795977579,-0.167737335924883,-0.266038122808921
healthy,-0.0387224289311614,0.0638214327256607,0.621150579849336,0.430030323352223,-0.388900453284557,-0.393033769938925,-0.227667171238502,-0.504520063638672
moderate,-0.104635192860229,0.155684993053105,0.401470793653186,0.0766280259014172,-0.0647356986817537,-0.385172148333041,-0.263402825074052,0.321344515370385
moderate,-0.0374746202663711,0.161947026252343,0.456480194253152,0.681225594517554,-0.339919082762997,-0.3242774029406,-0.249792718828041,0.282088244955736
moderate,-0.151555354571645,0.234441908100209,0.198957427047479,0.348812580404522,-0.628986780095035,-0.0331481313423232,-0.501844485644315,0.441050310990552
severe,-0.0657413137458224,-0.553276517501759,-0.594117240439588,-0.715611849640937,0.388759680610121,0.410067248046175,0.0017774645664382,-0.0760561526369021
severe,0.0750579818399122,0.123951811177715,0.383677948789713,0.340876532823841,-0.112900083218452,-0.0808656692370879,0.0462622829238203,0.205422723241806
severe,0.0431151810582895,0.286936061268258,0.447358430249504,0.34376909114398,-0.131662322279694,-0.186708116235956,0.13187968985494,0.108165879277896
severe,0.518177968868109,-0.506335212259794,-0.465090586022576,-0.499677218703277,0.369412531633851,0.0315802370670454,0.0002439467839426,-0.155618300903119
