group,CD28,CD95,CD45RO,CD45RA,CD123,CD27,CD127
healthy,0.0815558250868302,0.536186894658831,0.6019211846123,-0.285868359747084,-0.0094246251008549,-0.474122996923603,-0.180932883735458
healthy,0.160695903717902,0.394865727509814,0.708534421304792,-0.291179095755574,0.0652141157764568,-0.463170062684562,0.0501471224433234
healthy,-0.0778979314042098,0.3015957045366,0.441099110585949,-0.14104181498949,-0.0527037109590185,-0.656579735001515,-0.0313226985336914
healthy,-0.112999944463545,0.0201909512702598,-0.198517328384505,0.152218336891528,-0.0337700147251145,-0.330488105981997,-0.18058383742476
healthy,0.0319591584738209,0.511439231289013,0.192101819401738,-0.142010194472038,0.0823551237609421,-0.396688809961608,-0.475986088116878
moderate,0.277475413636441,0.657496823932984,0.655018814666028,-0.398763561689866,0.0082174045853567,-0.47891776218332,-0.139781946345801
moderate,-0.0228381139931126,0.483104064624255,0.662246293119645,-0.327116104445808,-0.0427021476537675,-0.611209225112024,0.0817224912135854
moderate,0.27614328352787,0.745116170263922,0.65556514515528,-0.437959172587354,0.0605018234637379,-0.520889936343262,0.0549392736687398
severe,0.459810698722244,0.536036239753517,0.705444644788187,-0.47280636585661,0.0412332109269431,-0.464601996469508,0.0276480419898339
severe,0.0758960334710775,0.126772492758354,0.605475120630824,-0.116424511483774,0.0787620278439196,-0.120056447719392,-0.23092547587235
severe,0.209760361834868,0.461942447010894,0.34008622504809,-0.123074104379505,0.488153888039524,-0.187718900207095,0.0863908483411826
severe,0.119552824388386,0.461586321898013,0.311751395262156,-0.280358278320397,0.174763254704616,-0.327102176401109,-0.131953387444864
