group,CD3,CD95,CD45RO,CD45RA,CD27,CD38
healthy,-0.262657645396526,0.586709478502912,0.644883591620478,-0.306704174159651,-0.4132786080443,-0.196822278698398
healthy,-0.358728964268526,0.40621927212289,0.806197007982042,-0.359791493904655,-0.437059821383537,-0.210155963649976
healthy,-0.33844725516625,0.296315781800046,0.575487769422179,-0.191373778457444,-0.808219559703686,-0.373034001240286
healthy,-0.481210906779914,0.796774475139565,0.712255446471441,-0.656361725930016,-0.607242634758336,-0.395690616855099
healthy,-0.29175011783981,0.614397238174459,0.601131765584062,-0.490444689841899,-0.560067344616775,-0.551231282719478
moderate,-0.0734832467001538,0.483370794273738,0.469631158003772,-0.464598550637328,-0.477992242976754,-0.330463330025423
moderate,-0.109772945440954,0.481163069736684,0.679072883379615,-0.354067493857674,-0.601089357383364,-0.116211160395445
moderate,-0.348385065334086,0.525984138157146,0.503681379092483,-0.576404305999229,-0.45299669276075,-0.319626670683967
severe,-0.0885780685169174,0.3212974356178,0.455618622155413,-0.477125801140414,-0.189034923318969,-0.189111777370145
severe,0.0402988957661701,0.216551669816569,-0.0148888265938059,0.113190707834483,0.0152533945447659,-0.0551182959977391
severe,0.109780035649531,-0.0867841477430823,-0.239681505860202,-0.086098404907167,-0.0412841696265165,-0.10291106215159
severe,-0.298832361704555,0.512862080295595,0.346747415150211,-0.401215893249082,-0.50071543989966,0.0036486456521274
