group,CD3,CD4,CD28,CD95,CD45RO,CD45RA,CD1c,CD86,CD27,CD38
healthy,0.139933737600299,-0.0453751988142782,-0.17428200145604,-0.642943990460107,-0.710157637878234,0.166687614468149,-0.0965989631394869,-0.0315977762881768,0.263262662153625,0.0834869937865199
healthy,0.427497706827348,0.106670999270446,-0.251925833064955,-0.357932983446046,-0.700650674218222,0.31922026971643,-0.103757979008344,-0.049612662410653,0.413004433668642,0.111004920521443
healthy,0.0176171172363745,-0.189962562790396,-0.0725140012078363,-0.443388681823084,-0.530406678296766,0.157651201018314,0.0786226093771619,-0.0828218713398341,0.364430508132782,0.107509357107218
healthy,0.0169739749407264,-0.366245994578127,-0.311233642584029,-0.438505301049545,-0.356799498198008,0.341356025265264,0.0445944681738879,-0.456503720999097,0.185487625153403,0.0881655597598248
healthy,-0.0937673170824836,-0.270822880802388,-0.416381046968234,-0.451570735517811,-0.489377166558672,0.39988946564117,-0.0369535985542198,0.0181805963424405,0.0814100457995175,0.408559989790868
moderate,0.281286245386886,0.0291331803797601,0.500839233155597,0.618277894058852,0.583924447747476,-0.403895693153272,0.0539710098081465,-0.0121919033425625,-0.225656596221467,-0.247050868997513
moderate,-0.24820303081627,-0.0859367219409364,0.290169076464565,0.31587394264668,0.333836724583164,-0.206478562412773,-0.081559101434824,-0.159653256029956,0.133731084149692,-0.177811925059906
moderate,-0.39533003495231,-0.326123751109995,0.0411957947117199,0.167390504933636,0.319797579235466,-0.458704424133463,-0.121815302528335,-0.135634978489874,-0.23935060720017,-0.32322321653292
severe,0.111853881649027,-0.182648093066698,-0.586423468886896,-0.60718981532753,-0.627931947939898,0.280033120895211,-0.116168383317866,-0.215770388715297,0.346807395672869,-0.0478252983407865
severe,-0.0780696370147745,0.0675685702706118,0.21110364242454,0.127846504245326,0.257757897975513,0.0865135614762348,0.4310121701898,-0.105297957165138,0.0172628141078178,0.253885496000053
severe,0.074436263241097,-0.120912694553565,-0.0466401231443766,-0.194841172729061,-0.144781766613946,0.202067616377714,0.167323660392887,-0.0942446578693775,-0.0688902137766011,0.0910042966752982
severe,-0.351637973812425,-0.427797222976043,-0.243687803942464,0.0013307332118592,-0.0648617011696966,-0.119713987423544,-0.0877533854864688,-0.0143906421897576,-0.357339902891453,-0.0794381742301941
