group,CD95,CD45RO,CD45RA,CD123,CD163,CD27,CD38,CD127
healthy,0.627336657238536,0.670947488215556,-0.110810864107399,0.0883629492157236,0.0289737639090962,-0.0931306045372299,-0.0298677318396691,-0.0254568915555152
healthy,-0.243274525842051,-0.386833036586085,0.146383024482941,0.0174813360720441,-0.130073874412548,0.41329009682301,0.030478088674965,0.0830012079715134
healthy,0.0630957219378682,0.10146073000069,0.0025998022979455,0.0917267994843903,0.0115716039151028,0.0321609263298634,0.027171509741782,0.137263694264694
healthy,-0.148257774999032,-0.232515661001141,0.303696029491006,-0.133649648899839,0.0520898204113332,0.548285344278051,0.23234289841717,-0.508262443564308
healthy,-0.669622295157051,-0.716553959865814,0.661247702908785,0.119838063921351,0.0990987597917312,0.428641026627302,0.540152764027078,0.201247228978016
moderate,-0.0031115275122074,0.0026720091650479,0.236098417780003,0.114580914234084,0.357289804308119,0.526924682258389,0.154233448758363,0.0700682199028287
moderate,-0.0650141878127676,-0.0372810609519562,0.187516706202238,0.0814702869253844,0.127427552717183,0.058362397912426,0.126558014218559,0.254033531947474
moderate,0.171463726164872,0.278934533844921,-0.161369116156988,0.0121308962453984,0.0457733721475208,0.13518088052083,-0.0417788172245493,0.136404168818122
severe,-0.234457941237762,-0.418677130080157,0.465502623737915,0.157008619463174,0.194033615220021,0.385775126544141,0.126590204584033,0.0724963948958336
severe,-0.139843864303991,-0.254409844618591,0.329133990443462,0.147413064087418,0.122164404125715,0.323199603958519,-0.0319960274881756,0.191112312927294
severe,-0.0892328440714064,-0.122563309591574,-0.47759229190958,-0.599291711826896,-0.597288782547632,-0.221411037203957,-0.292678912710298,-0.175608985588667
severe,0.624331225722572,0.529171443895544,-0.422917665648681,-0.102093568164414,-0.0742260635556364,-0.175108015236891,-0.125615025085907,-0.0708001862256788
