group,CD28,CD95,CD45RO,CD45RA,CD27,CD38,CD25
healthy,-0.24449372417295,-0.614032381672042,-0.633104551251413,0.128322057216718,0.25075565770834,0.0571661281601464,-0.221298138185059
healthy,-0.299032366626748,-0.329061233612856,-0.699692673989961,0.298761903190642,0.342437244011154,0.186194580309096,-0.0680680877281915
healthy,0.209384312354337,-0.292173629765075,-0.484929914431212,0.0870771961510844,0.7758492991226,0.293371263323546,-0.0621421862241941
healthy,-0.182148097537248,-0.216812689619794,-0.103736834066073,-0.122528983312693,-0.177742598975438,-0.160150205316141,-0.468938315592444
healthy,-0.234974409306233,-0.70564338274765,-0.486785818079739,0.276114647792027,0.257614921880257,0.125251923121678,-0.26998632287537
moderate,-0.312548622346754,-0.361714600666078,-0.34949953565427,0.045096223575251,-0.102500231484023,-0.0680050032869325,-0.170176751333359
moderate,-0.262919450719559,-0.612595773982351,-0.678000371924216,0.179217794884652,0.331204333734632,-0.0462248624858012,-0.276055859685152
moderate,-0.270202945325013,-0.529690438596348,-0.682492666130718,0.454147530851271,0.138846879404866,0.168183879188828,-0.195480309590689
severe,-0.662859192275787,-0.690050576248395,-0.717145500835009,0.304779965170265,0.178682546333918,0.001097324641371,-0.142056370781444
severe,-0.14133364700049,-0.223263069108526,-0.289013727555853,-0.0487886477358074,-0.0194203029563796,-0.329668414033759,-0.0683161401827363
severe,-0.103306365008784,-0.403756306393033,-0.331864797283626,0.436752948769964,0.162866692374993,-0.150979211668138,-0.0662947962829948
severe,-0.185686972679854,-0.0981273045273088,0.0996470962423387,-0.192262039138756,-0.394570210572413,-0.486905396906575,-0.0076045002236674
