group,CD3,CD69,CD95,CD45RO,CD123,CD27,CD127
healthy,0.227731913240853,-0.0541721928062787,-0.629254578608102,-0.689101676591086,-0.0825478762239904,0.296431500654683,0.170629101593656
healthy,0.443205746875834,0.0068071417192621,-0.324096412588378,-0.569713722372587,-0.0539894895672172,0.422620861116826,-0.0026937731521885
healthy,0.315041749106426,-0.0241641677409048,-0.159861494521213,-0.206285334666206,0.0224502122455422,0.61875701392193,0.227311207717972
healthy,0.259815105204548,0.068286555414489,-0.598633077059216,-0.503298106611617,-0.0236878701967925,0.328884407325438,0.501964105023081
healthy,-0.45391927620273,0.106432940020451,0.0676091542605861,0.105386772831855,0.0307756381739661,-0.514966151865479,-0.073951575569888
moderate,0.26202055046282,-0.108706315173411,-0.252325889257227,-0.450888357212132,-0.0244966398844012,0.297109373466263,0.457199446618084
moderate,0.31490342861467,-0.0513351312037134,-0.368802509589923,-0.426732980811303,0.0500254518127403,0.48971226024417,0.229954998399315
moderate,0.200091262824877,-0.09787743690522,-0.586630127317617,-0.431904342811204,-0.0783860983216093,0.498759338121985,0.161007965282112
severe,0.145217356081143,-0.138238063941923,-0.483538512171611,-0.502230566940517,-0.196979167063599,0.440558101865382,-0.0091239881214643
severe,0.312767265536403,-0.0143478366909647,-0.268793166972697,-0.659407696300796,-0.0316339332068663,0.108683823337335,0.187460967878609
severe,0.0530239806148563,-0.0405882072421614,-0.217782975890094,-0.130811616246061,-0.499712143124459,0.0904689848847583,-0.072511680967199
severe,-0.206664424186381,0.509957373289159,-0.313114846835005,-0.299350528230241,0.0960557508682354,-0.0017401492816962,0.40432360338661
