group,CD3,CD69,CD28,CD95,CD45RO,CD45RA,CD16,CD27,CD38
healthy,0.147991185999579,-0.0262333115823594,-0.0767471125220236,-0.38593414385137,-0.556621252662631,0.0242640739497725,-0.0016708906829867,-0.081449896377972,-0.0589785641502198
healthy,-0.325026693550304,-0.0100442702832596,0.303294018732078,0.390216868736352,0.764812960683385,-0.334092784438003,-0.0051423541018992,-0.405872436610585,-0.214086244877081
healthy,-0.200502038685944,0.0879557008117199,-0.171431585514489,0.111343065662672,0.430129499792104,-0.158071950885657,0.0448787810170952,-0.621238703242639,-0.312736610513004
healthy,-0.453599394676891,0.0263305368138437,0.282116145046845,0.655625974811411,0.640032669421126,-0.549149041428565,0.0095112065294626,-0.59947726752551,-0.35861287527717
healthy,-0.531148940894759,-0.0489701828235481,0.125448333137784,0.538091236865773,0.583508791505357,-0.579880813834573,-0.109658241505671,-0.495367691290066,-0.586542866508118
moderate,0.336709742359786,0.131579151489641,0.519500463133553,0.600112780398779,0.555100091951506,-0.233586673283797,0.103856137322894,-0.0146551598007033,-0.103057679259399
moderate,-0.0962894972929237,0.050987923801794,0.158464851642802,0.53211805718647,0.733157246984916,-0.342982667481026,-0.0345161245705529,-0.485434007490876,-0.127838699290685
moderate,0.0523718896111749,0.0054683904234128,0.339049412634552,0.425198029008103,0.487447696946549,-0.476654965199501,0.0104119376886249,0.0006507563557388,-0.293707424254784
severe,0.260768049449842,-0.0943960633422768,-0.461820355596643,-0.513492050927547,-0.621065080082141,0.288366429995649,-0.0875657206587071,0.468420826732728,-0.0736100454448056
severe,-0.391953671921695,-0.17488552026792,-0.111629990758021,0.0757478097007024,0.220714862264166,-0.410213097390421,-0.24042271954076,-0.395297087542447,-0.168035810213135
severe,-0.175005445771775,-0.25881895694536,-0.341127656528537,-0.520402279852382,-0.114965899694322,-0.376423170618865,-0.503602256343025,-0.166008892183701,-0.377758044630911
severe,-0.234903212931753,0.520780843246566,-0.0119857446215944,0.138486200704899,0.100284677364115,-0.255609008070397,0.149345663011595,-0.353284263953739,-0.117083266073001
