group,CD3,CD28,CD95,CD45RO,CD45RA,CD123,CD27
healthy,0.353240193990586,-0.125741049728902,-0.556938828571722,-0.620991083774569,0.287881832897854,-0.0014091066419831,0.443389033301249
healthy,0.438149212763172,-0.16742187820887,-0.385955643241899,-0.699435614997708,0.294213845672871,-0.0658493508373183,0.456491519500618
healthy,0.368285840989115,0.0669776009146942,-0.394814130059404,-0.555296950364342,0.157585694408429,0.0272930108200702,0.750589893340871
healthy,0.433356730016852,-0.125825282287729,-0.490958831727411,-0.412578621790917,0.412324739571986,-0.0596307657472543,0.52407692622404
healthy,0.451045856736379,-0.197746565172828,-0.724949049641144,-0.588863347795622,0.529926476243352,-0.0131306003737829,0.566821612704916
moderate,0.276740630178127,-0.0652421716498078,-0.383667176571744,-0.463868047135581,0.424067046672749,0.0656587584287827,0.566263739367289
moderate,0.251039352424562,-0.0759031578618868,-0.500047585934027,-0.601668398378453,0.331026124600458,0.0290221741788863,0.514695529717385
moderate,0.266061474673946,-0.248523419381185,-0.676141817783918,-0.575589625774135,0.423639905980103,-0.0558318628242027,0.518511002900155
severe,0.290085018506663,-0.473933522407257,-0.546453966305148,-0.697151174018967,0.439888618951967,-0.0765736698916738,0.468844713961147
severe,0.375560373839047,-0.0899939125165545,-0.175099128287445,-0.529282243533285,0.138834217586661,-0.124042066921519,0.181862954664867
severe,0.0443406966265815,-0.22405116690122,-0.429310042105201,-0.241808145312214,0.0887652420089442,-0.465082965601027,0.186085848534256
severe,0.313964352180755,-0.0734711751372357,-0.375284225322189,-0.286790023477418,0.373282702862237,0.066535435038636,0.404484450255825
