group,CD28,CD95,CD45RO,CD45RA,CD27,CD127
healthy,0.193828909185781,0.647607805739323,0.713526351099917,-0.242213873389134,-0.335728665394294,-0.0879207696363772
healthy,0.31315093433069,0.429688305113536,0.801335665213265,-0.362689030589905,-0.462089106065499,0.131365367989975
healthy,-0.16840726667796,0.223768037108711,0.37289600187626,-0.0701921726860541,-0.553359447776265,0.116235340201433
healthy,0.372151912089908,0.796515744456102,0.652902647115747,-0.46548219978523,-0.397461109663533,-0.211614380897492
healthy,0.184985962508587,0.333583582200236,0.0942845637639723,0.0042614255823231,0.278491984516021,-0.471047579225956
moderate,-0.257845259722002,0.0394895285851472,-0.25366965167681,0.140075627496309,-0.265748785909244,-0.299090254810935
moderate,-0.1986196436176,-0.0929481683924492,0.0406633015037399,0.054492150717529,-0.247094850879447,0.202426766330561
moderate,0.218959728540874,0.698168536067664,0.444958351621475,-0.28703548113155,-0.542296657816896,-0.141213504995359
severe,0.521253690218251,0.554137104303917,0.697342818509934,-0.478620451856321,-0.451605124954552,0.0130170094844879
severe,0.00351159450681,-0.13009285563127,0.0408225742559937,0.0177661634032517,0.0410219664979827,-0.209944569413431
severe,0.316925878814756,0.533698918155516,0.210690179436191,-0.274430251550492,-0.161312780075953,0.08399685219243
severe,-0.109424978324074,0.141690480928241,-0.0024678201322791,-0.0090960622371998,-0.168531786038034,-0.402972835331205
