group,CD3,CD69,CD95,CD45RO,CD123,CD27,CD127
healthy,-0.487697539643324,-0.0503689589060946,0.375166405181062,0.495631028725593,-0.0402385385483996,-0.295492287113891,-0.158080951359264
healthy,-0.441953371889914,0.0049439604889992,0.364033814669327,0.649506866330823,0.0537003791028671,-0.433077516825223,-0.01149860232948
healthy,-0.139747958611424,-0.0532522914809732,0.327157296073582,0.248752831729555,-0.102424022847094,0.100909323388666,-0.182898099085817
healthy,-0.388312904168841,-0.0799570167026041,0.522843008649555,0.513899880424263,0.10597600748299,-0.379679992855969,-0.232098883002328
healthy,-0.17535116284163,-0.0651394803899547,0.191034393648875,-0.0200864273426533,0.0380087373932201,-0.0161179142415855,-0.703752865825847
moderate,-0.294124397767993,-0.0826621462217099,0.252203874581641,0.311654046669228,-0.112314353951239,-0.562995537943221,-0.289974424072146
moderate,-0.33055177445352,0.0619664242269823,0.518731403647589,0.531184113657692,-0.0038403730302408,-0.235370295548202,-0.129181871705246
moderate,-0.318796259381429,0.0222157272813533,0.505645719771504,0.388551669698176,0.0259679229267667,-0.471680637345068,-0.0581588336577917
severe,-0.348094232490054,0.0153675100065127,0.502696904595424,0.673448363572362,0.0673880826216915,-0.48608828885351,0.009146279373395
severe,-0.373834721125018,0.0199212095473363,0.216617168183114,0.632414157620933,0.0974827803496761,-0.130687435309755,-0.21019259019088
severe,0.185831530804742,0.0798914373625207,0.239259783671891,0.119958806236845,0.530422157196096,0.110922082428927,0.0553903307725724
severe,-0.0507481053829644,0.450652194706511,0.326936564978972,0.306925934863851,0.273520139302411,-0.161698566004618,-0.231981736549436
