group,CD3,CD19,CD69,CD95,CD45RO,CD45RA,CD27,CD38,CD127
healthy,-0.492904170595462,0.190125986304292,0.0998812393704895,0.339791833571255,0.343005056039156,-0.114635437657826,-0.349363324429247,-0.100322468494714,-0.163614580815487
healthy,-0.439733385292488,0.0222076664956136,0.0097378467753955,0.384408378811242,0.659799735922781,-0.261259934900189,-0.449973559838305,-0.0853875386461048,-0.0108764749180125
healthy,-0.0562155530149795,0.0399196545990618,0.0633305621319449,0.603296339879274,0.695404563164192,-0.265450595044638,-0.117499797553075,-0.150380134819467,0.186290060334589
healthy,0.0931587715738058,-0.014562375890324,-0.066527114669254,-0.0171234269648342,-0.13815261195064,0.174940249326817,0.221791623490758,0.202922281912715,-0.69131864512756
healthy,0.0666676411676888,0.0533286473975947,-0.0348847519569661,-0.427823625099974,-0.590190131622619,0.526363102022255,0.285562933249887,0.492848894524582,-0.127549392529194
moderate,-0.0427033125021435,0.0953319551632808,0.152952030406785,0.680141071808251,0.66802859328452,-0.415401482212423,-0.508327696555967,-0.0216142121401578,-0.103283679807055
moderate,-0.331041378147505,0.151692875807693,0.0541699244619035,0.485303094741285,0.412990252720109,-0.167921812451259,0.0092349201755639,0.0445319871875167,-0.171945775306838
moderate,-0.277301349046334,0.0560105706386115,0.0335404124145489,0.113531393777343,-0.0636858557243778,0.0163585850891253,-0.231438759388212,0.0515750952420316,-0.0739582993237876
severe,0.15424764050528,0.460424569683226,0.176418221367612,-0.0596378749170398,-0.185269729181241,0.362662911685876,0.170490449096908,0.123943591502489,0.0557915940555488
severe,-0.326122751191732,0.096001976685978,-0.0152906293047012,0.135988517242111,0.519717601296702,-0.127670651939048,-0.196293742067912,0.0430807648651491,-0.250069053477961
severe,0.197782536759553,0.106456617069304,0.119274968993289,-0.375363147723617,-0.354625719177347,0.481207161178412,0.194442538626962,-0.0313787034939678,-0.119691681281878
severe,0.131505179110103,-0.193461627631704,-0.499013092926006,0.0277215567069313,0.128901156181118,-0.143966274789686,-0.096738485034273,-0.442522077123081,0.423678795690284
