group,CD69,CD28,CD95,CD45RO,CD45RA,CD123,CD33,CD27,CD34,TCR-G-D
healthy,0.0286256850370749,0.162981122454127,0.580938512440572,0.657491322840692,-0.308762047329614,-0.0027671026200249,-0.0173791136897258,-0.453553637003725,0.016984921894751,-0.0215588266669569
healthy,0.0040547288177998,0.182229970690171,0.409881776077314,0.749580667946607,-0.312915618162078,0.0725391773360473,0.0280428496169268,-0.475218218631203,0.0256780665459718,0.0179127543163958
healthy,0.0848118532135506,-0.0661252845020024,0.423751018253134,0.567397329498103,-0.156582719002626,-0.0114982676230065,-0.0402652372148282,-0.784589184788603,-0.0628914144567752,0.0186898242720188
healthy,0.0990966379476168,0.444881256851697,0.714082508923172,0.6516725478699,-0.565591513573354,0.160407910672714,0.105558388641191,-0.448211726813068,0.0832074843929507,0.0593916105818809
healthy,0.135172508689587,0.139707010748235,0.652376289977975,0.323614825751764,-0.242258318179115,0.0677357287059748,0.178173582476893,-0.24326785360386,0.0845538321647522,0.0497248287027198
moderate,0.146622811684757,0.336108533674606,0.680064378329166,0.705945056793413,-0.4599883931511,-0.0063504136081145,0.178386427832102,-0.47661662014194,0.241085325369125,0.0618655293747042
moderate,0.125647473013025,0.122150210432136,0.607175930893553,0.732355322570658,-0.304732203222361,0.0051403485119893,0.127288298548979,-0.466214250374318,0.0100555043901188,0.118624604028952
moderate,0.12426253544615,0.356314687115668,0.760161494183785,0.70621093367234,-0.460484827590284,0.070401785395109,0.0655303155759752,-0.395391713709216,0.0707958098870492,0.133381537203732
severe,0.0338224649339678,0.465222452111328,0.546241976316292,0.706528641310249,-0.443435791066419,0.0740134242427341,-0.0429054588823187,-0.469793987826792,0.0754032268642897,0.0294426199285796
severe,-0.0426068431178457,0.223721714782994,0.133917960237486,-0.336260223529087,0.0371644694892037,0.054043655842279,-0.0263728096929165,0.206848598173787,0.198189715753207,0.0509776981538404
severe,0.166008153722464,0.117436454906074,0.252717363405576,0.180639580391774,0.136421431533519,0.464105515522265,0.0868437812983105,-0.0260015620967444,0.0953526984160203,0.203510088102978
severe,0.576513826877574,-0.0507158239356873,0.138204534437741,-0.0114759753110378,0.0434681756965213,0.35217159943749,0.459355620077527,0.0074140774723609,0.493414146126611,0.47683107062816
