group,CD3,CD28,CD95,CD45RO,CD45RA,CD27,CD25,CD34,CD127
healthy,0.273350808852077,-0.14083094439351,-0.612897898189781,-0.667390133410914,0.265018302663192,0.422527088398695,-0.157536486250167,-0.0102147332500151,0.129796072612808
healthy,0.435479878897945,-0.225175920441573,-0.402326655918493,-0.748782269448896,0.324534790779089,0.462974630473865,-0.0997731599783246,-0.0094062875014488,-0.120131811171643
healthy,0.335706050733729,0.122256764898384,-0.398072370524712,-0.555649945423188,0.143510888412491,0.797126894743555,-0.0153867844610295,0.049992641022914,-0.0053808485156267
healthy,0.477256550241846,-0.284688865754329,-0.773167478460138,-0.650202749625189,0.550464988562146,0.597775629068981,-0.247044921893587,-0.0813215060335606,0.114356510076763
healthy,0.417094890558793,-0.076396586874932,-0.624887003318543,-0.386737599811729,0.312103830207251,0.568452362536407,-0.106999319388595,-0.0897646754410562,0.229499160099509
moderate,0.304040587523995,-0.0221908595824035,-0.328056688901969,-0.446762265805017,0.377902930914337,0.463578465280542,-0.145956667111752,-0.130435660848448,0.423208331114924
moderate,0.195285299259443,-0.0205018316015479,-0.460384340743855,-0.602885777830314,0.341831264944922,0.613966340609344,-0.0459067280463422,0.0283014251320739,0.0190699313965787
moderate,0.281472982453597,-0.172587205093686,-0.581824085543695,-0.447904977122159,0.353617619117127,0.533591500344039,-0.118067501792605,-0.0298650010464042,0.13287332950288
severe,0.324242627029927,-0.400369035691419,-0.467883445375057,-0.609843052253394,0.434418058045806,0.535744125523581,-0.009048038907728,-0.0501019384301296,0.0597295976600739
severe,0.14231762213186,-0.171086059692826,-0.311318102745176,-0.659812496684931,0.23443374964741,0.0913003601820645,-0.0427672445287858,0.0160174432488142,0.0640905439930216
severe,0.195070022132751,-0.104062536760462,-0.370684066304037,-0.273437115540584,0.402318171101909,0.336417047434049,0.069933977356928,0.0722209620023351,-0.0453030116600721
severe,0.425919732505273,-0.091725178554695,-0.392480678414616,-0.179582178924908,0.190136864843862,0.297646903873251,-0.408357264834428,-0.403669469218191,0.0501070892589791
