group,CD28,CD95,CD45RO,CD45RA,CD370,CD27
healthy,0.144401331627885,0.546205594809748,0.636806255477206,-0.290989894360927,-0.0707299512167415,-0.367774480267842
healthy,0.28172377069461,0.396961879031205,0.785938452146855,-0.360345711692177,-0.0907959485879982,-0.443436944849963
healthy,-0.174504886575009,0.157446000587217,0.237831696137552,-0.0767044471230987,-0.144763299329592,-0.570235681421942
healthy,0.108747041063527,-0.0559160990767218,-0.203412909789065,0.0383524658222476,0.0310968713176932,0.34534544624837
healthy,0.352668540062338,0.685789084191273,0.655814669969821,-0.56225997965168,-0.0488054124080311,-0.427331951697725
moderate,0.229887311777925,0.458883399249222,0.541698239214957,-0.542008966017265,-0.0902415515965773,-0.520618893729534
moderate,0.183790706601546,0.37050066150362,0.577826134466363,-0.172836177741296,0.146419814216436,-0.228767004022935
moderate,0.265336366160108,0.716583687407712,0.677609432480271,-0.539913674897103,0.0767772110140521,-0.514267798125387
severe,0.535376701585724,0.579704837088524,0.707466675765539,-0.450098536464478,0.0707922084118049,-0.437959773271246
severe,0.0065252920222631,-0.12027505479711,0.0077185390064954,-0.256925062884432,-0.584099139943226,-0.0517045686541015
severe,0.346128176741204,0.244618276586791,0.0832388826057587,0.0816754772728648,0.0008629031996342,0.17780875615149
severe,0.308412241918225,0.642143166242228,0.560666250498171,-0.552707733035825,0.148901591801233,-0.451039454532216
