"features_all","pvalues","adj_pvalues"
"CD70","0.142857142857143","0.513698630136986"
"CD40","0.142857142857143","0.513698630136986"
"CD52","0.142857142857143","0.513698630136986"
"CD3","0.142857142857143","0.513698630136986"
"CD19","0.142857142857143","0.513698630136986"
"CD10","0.142857142857143","0.513698630136986"
"CD45RA","0.142857142857143","0.513698630136986"
"CD123","0.142857142857143","0.513698630136986"
"CD16","0.142857142857143","0.513698630136986"
"CD25","0.142857142857143","0.513698630136986"
"CD20","0.142857142857143","0.513698630136986"
"CD324","0.142857142857143","0.513698630136986"
"IgM","0.142857142857143","0.513698630136986"
"CD5","0.142857142857143","0.513698630136986"
"CD32","0.142857142857143","0.513698630136986"
"CD185","0.142857142857143","0.513698630136986"
"CD103","0.142857142857143","0.513698630136986"
"CD27","0.142857142857143","0.513698630136986"
"CD66b","0.142857142857143","0.513698630136986"
"CD35","0.142857142857143","0.513698630136986"
"CD272","0.142857142857143","0.513698630136986"
"CD39","0.142857142857143","0.513698630136986"
"CD24","0.142857142857143","0.513698630136986"
"CD21","0.142857142857143","0.513698630136986"
"CD11a","0.142857142857143","0.513698630136986"
"CD268","0.142857142857143","0.513698630136986"
"CD54","0.142857142857143","0.513698630136986"
"TCR-A-B","0.142857142857143","0.513698630136986"
"CD137","0.142857142857143","0.513698630136986"
"CD163","0.142857142857143","0.513698630136986"
"CD184","0.142857142857143","0.513698630136986"
"CD81","0.142857142857143","0.513698630136986"
"IgG-Fc","0.142857142857143","0.513698630136986"
"IgD","0.142857142857143","0.513698630136986"
"CD22","0.142857142857143","0.513698630136986"
"CD307e","0.142857142857143","0.513698630136986"
"CD252","0.285714285714286","0.513698630136986"
"CD137L","0.285714285714286","0.513698630136986"
"CD154","0.285714285714286","0.513698630136986"
"CD34","0.285714285714286","0.513698630136986"
"CD269","0.285714285714286","0.513698630136986"
"HLA","0.285714285714286","0.513698630136986"
"CD117","0.285714285714286","0.513698630136986"
"CD7","0.285714285714286","0.513698630136986"
"CD4","0.285714285714286","0.513698630136986"
"CD45RO","0.285714285714286","0.513698630136986"
"CD326","0.285714285714286","0.513698630136986"
"CD195","0.285714285714286","0.513698630136986"
"CD69","0.285714285714286","0.513698630136986"
"CD161","0.285714285714286","0.513698630136986"
"CD152","0.285714285714286","0.513698630136986"
"CD223","0.285714285714286","0.513698630136986"
"CD1c","0.285714285714286","0.513698630136986"
"CD141","0.285714285714286","0.513698630136986"
"CD314","0.285714285714286","0.513698630136986"
"CD278","0.285714285714286","0.513698630136986"
"CX3CR1","0.285714285714286","0.513698630136986"
"CD244","0.285714285714286","0.513698630136986"
"CD169","0.285714285714286","0.513698630136986"
"XCR1","0.285714285714286","0.513698630136986"
"CD62P","0.285714285714286","0.513698630136986"
"CD122","0.285714285714286","0.513698630136986"
"CD267","0.285714285714286","0.513698630136986"
"CD41","0.285714285714286","0.513698630136986"
"CD254","0.285714285714286","0.513698630136986"
"CD357","0.285714285714286","0.513698630136986"
"CD309","0.285714285714286","0.513698630136986"
"CD28","0.285714285714286","0.513698630136986"
"TSLPR","0.285714285714286","0.513698630136986"
"CD127","0.285714285714286","0.513698630136986"
"CD15","0.285714285714286","0.513698630136986"
"CD71","0.285714285714286","0.513698630136986"
"B7-H4","0.285714285714286","0.513698630136986"
"CD26","0.285714285714286","0.513698630136986"
"CD1a","0.285714285714286","0.513698630136986"
"CD304","0.285714285714286","0.513698630136986"
"CD158","0.285714285714286","0.513698630136986"
"TCR-Va7-2","0.285714285714286","0.513698630136986"
"LOX-1","0.285714285714286","0.513698630136986"
"CD337","0.285714285714286","0.513698630136986"
