group,AHR,ARNT,ASCL2,BACH2,BCL6,BHLHE40,CEBPA,CLOCK,E2F1,E2F2,E2F6,E2F7,ESRRA,ETV1,ETV6,ETV7,FOS,FOXG1,FOXK1,FOXM1,FOXO3,GATA1,GATA4,GMEB1,GRHL2,HIF1A,HNF4A,HNF4G,HOXA4,HSF1,HSF2,JUN,JUNB,LHX2,MAFF,MEF2C,MEIS1,MNT,MYBL2,MYC,MYOD1,NANOG,NFIC,NFYB,NR2C2,NR2F2,ONECUT1,PAX5,PBX1,PBX3,RUNX1,RXRA,SETDB1,SIX5,SP1,SP4,SPI1,STAT4,STAT5A,TCF12,TCF3,TCF7L2,ZBTB33,ZBTB7A
progressive,0.0932935572573499,-0.266769554464559,0.230922395583384,-0.112088684958262,0.236303258755822,-0.259721381576717,-0.126185030733946,-0.165215235435437,-0.599018908661327,-0.410233976794505,0.0051535027567017,-0.427058647559031,0.0649492920954906,-0.246837624684962,-0.181812545784226,-0.18416193674684,0.194317368649752,0.0320578186188944,-0.417585296903329,0.512015656239363,0.544528195689731,-0.410612910820733,0.260858183655401,0.237440060834506,0.405156260843049,-0.17484015970163,0.214249298429349,0.0256917269782629,0.295720114068383,0.464269968934627,0.204018079721191,0.213112496350665,0.241911482343998,-0.107844623864508,-0.261767625318348,0.432818444757697,-0.003713553457035,-0.201896049174314,-0.495569919501065,-0.163851072941016,0.188178637424858,0.458585958541206,0.441382353750452,-0.406823570558452,-0.298145291836243,-0.182494627031437,-0.406671996947961,0.0679807643053151,0.105571019707139,0.161577468783647,-0.271013615558313,-0.304359809866383,-0.141948686225034,0.221979552564401,0.250096457310524,-0.220918537290963,-0.156575539637437,-0.316713059121418,0.327020064634821,-0.0986744204297885,-0.0078818277455437,0.504361188909556,-0.0349377172182277,0.149982087581069
progressive,-0.0028568581553335,0.0077706541825073,0.285279506817934,-0.262551613048836,-0.106351306262552,0.0077960484772214,0.036250355704344,-0.445682569379397,-0.139592438043278,0.10811620974518,0.0182711950467779,0.112814154267284,-0.0267782837759935,0.0778716047407152,0.0213692990018953,-0.036593178682984,0.265332288320027,-0.138322723307574,-0.0645776914578962,-0.201783065798051,0.0588893694419431,-0.0511568067015068,0.318127027030592,0.336728347908653,0.114566360602556,-0.0491633545664518,0.0894133116882629,0.307512211840108,0.339915331895269,-0.0377867105345456,0.06949148748507,-0.149788247370979,0.289786994129682,0.111328588026511,0.377790922461314,0.272442690839968,0.0620382619864886,-0.147159937868073,-0.0054216819214553,0.25554278770775,0.137014917129799,0.118273927630811,0.0039615099753959,0.165837441630276,-0.0306763080146042,0.0397420712275295,0.0979330975648355,-0.0504457664495127,0.114007686118846,0.281076751042754,-0.275083697490232,-0.0940604676209389,0.0823663949051067,-0.0935525817266573,-0.0594480439256528,-0.135821385278237,-0.144480839775737,-0.098098160480477,-0.0044313044276063,-0.0033774411969721,0.40318521717539,0.11506154934948,0.0813379259691866,-0.0137510105876724
progressive,0.0932303325692731,0.261817748454566,0.206049811965177,-0.196566937576978,-0.0294930392116039,-0.233916985502896,-0.190442391078538,-0.0628497812854148,-0.28609537930102,-0.302555265770929,-0.268251731677412,0.137135224257731,0.0715143163214117,0.10530695389498,0.0588929789973271,-0.0082436704155413,-0.043138930349334,0.225648161370972,0.235127814856462,-0.169305063683803,-0.0062120476886629,-0.19962365093462,-0.243676934212105,-0.0343677987713485,-0.150680807282568,0.24238289820526,-0.216246729808379,-0.0680799904653874,0.322466579556476,-0.233421503303048,-0.0834851079867273,-0.244684156501657,-0.154698269904981,0.311190659306238,-0.281437570545078,0.275761189651947,-0.191870171235907,-0.163666720117885,-0.280534950905362,0.227138058937701,-0.248941346311306,0.214350921812336,0.0238353702294411,0.140586498197049,0.105624979693273,0.202053745339321,-0.337573763577365,0.0392200887002998,0.0518298461122691,0.230068160143672,-0.174063027176318,0.026504731692418,-0.221695960372466,-0.0100334953748731,-0.424382152964866,-0.0439630980016729,0.101791491965989,-0.130971183357042,-0.251923825530354,0.0560217742980093,-0.180355213991872,-0.0554233765878389,0.13445643015111,0.147077690787035
progressive,0.428470677590638,-0.406866192439536,-0.4800143731288,0.202665424158561,-0.554149560753901,-0.288096357827132,-0.369250261440409,-0.18610564112396,-0.126994892411046,-0.315184214843996,-0.561606946491338,-0.358722187458146,-0.189614999118048,-0.536822105658094,0.243571378277145,0.511159925326328,0.146844698565105,0.412788234054559,-0.221089553627521,0.292702390194372,-0.146186693941213,-0.395899448708012,-0.499754511845543,0.433515379707139,-0.0157921109733944,-0.545376165768682,-0.447004474496913,-0.729946462770229,0.400505481075252,0.109886772189869,0.50512821627399,-0.699678250071223,-0.552943218943434,0.687943834278493,-0.477163019758604,0.127981899346884,-0.272084911979107,-0.433296044832508,-0.145309354442691,0.490103777361802,-0.0739158527504709,-0.0177661248450687,0.0809345687386462,-0.0867469429163539,-0.341833402111599,-0.100126370268813,0.0787412199923414,-0.40862087143658,0.421122959290517,0.0140374319763506,-0.0672261390742414,0.285574006768882,0.430335024024997,0.561168276742077,0.0675551413861871,0.31693889384104,-0.437134405138542,-0.521687999308591,0.547569514514987,0.397654127705056,-0.0407962866812688,0.232056297359045,0.555136567689739,0.300488778243754
progressive,0.0809443591513583,-0.158034225009795,0.248449624823761,0.0231269597575309,0.0778607645170208,-0.13854150178559,-0.0651960008402777,-0.0185015678060247,-0.007048216307057,0.222569455571286,-0.0926179674099215,-0.0203737502625868,0.312324085106465,0.0049557770908994,0.161448204783525,-0.191623380848113,0.145149204573456,-0.141735224799725,0.10451183242808,0.323006537946849,0.0374436491312406,0.128850204363387,0.114313258230081,-0.0588085548120072,-0.164641927797661,0.158474738528986,-0.174112968460269,-0.149223954625973,-0.0327081287999366,0.0193825948444069,-0.162329231821908,-0.0548439331392876,-0.018831952945418,0.092838224169517,0.16221910344211,-0.0480159735918261,-0.0723543455271325,-0.0762088388200543,0.016959770488856,0.011783736638361,-0.159686150706761,-0.0497780276685904,0.03204735852115,-0.0019823108363597,-0.0211446489211711,0.114753771749273,-0.187328374036001,0.0649757440806821,-0.0174002840080471,-0.0606807372685692,-0.025439655733284,-0.100987724274552,0.13017174492096,-0.198120955256182,0.0721340887675369,-0.199332367433957,0.0199332367433957,0.0126647636767431,-0.0375537775110383,0.103961190529091,-0.0713631901089526,0.177526948233999,0.0036342365333262,-0.0736758860847057
stable,-0.0239436459207102,0.305392633800571,0.274587854268135,-0.130501648818171,-0.111686889241019,0.0100676707474209,-0.247468199503588,-0.261442825052315,0.268295160117042,-0.188567793046358,0.290891428545112,0.156548680716805,-0.409461847699308,0.114529486478139,-0.0663785048493986,-0.0301064948479152,0.250509030670811,-0.239982502366284,-0.0630847821116268,0.252031179301558,-0.0881955686228252,-0.0191352399860078,-0.323940904052721,0.1717079106387,-0.150052153560247,-0.390792130836314,0.190789692786126,0.178440932073674,0.341306169667523,0.0383220714521434,0.173937142500967,-0.343607522952913,-0.0624688838217289,-0.0251401150011935,-0.224662632306007,0.0756524400084967,-0.397399839632218,-0.0942997605700399,-0.0484766611790044,-0.076025845010662,-0.208388919764297,-0.404274570998396,-0.12179948590266,-0.193052519100568,-0.362271640740545,0.154033096143132,-0.170152967423685,-0.155215567535208,0.218380869683004,0.442783411607281,-0.246308124412962,-0.399664132371161,-0.0395481356452582,-0.0340758393461204,0.178461195394034,0.0012400618815215,-0.107716744874905,-0.122508435492634,0.0912148033565062,0.404891669090157,-0.100022815458636,0.125379028106566,-0.269397644718223,0.416035695420399
stable,-0.0001103373302329,-0.374298807492449,0.21985618803117,-0.0917841904955635,0.0444593567805779,0.299863927056647,-0.283291918785989,-0.319739467930996,-0.12486068717808,-0.247144091941018,0.0045123027587799,-0.119920209704964,-0.08750409017802,0.0232202441236489,-0.0240370697325375,0.0745501582435078,-0.226557122310541,-0.252237724215802,-0.114999494141739,0.141669838367448,0.0489288420679242,-0.135439896273848,0.144742815355727,-0.170533754591221,-0.196489376409152,-0.18270709108498,0.359385152826934,-0.243917960151073,0.332156534646763,-0.137554420632342,0.0970013347071749,-0.0443210234113306,-0.0940650442623191,0.0791266872094383,-0.151285654355958,-0.107623361274376,0.241556411918923,0.0487905086986769,-0.279072751023948,0.144727993923307,-0.444417357442571,-0.191580188626698,0.0227097281180935,0.0027090284810923,-0.341808580803409,0.317330161749939,0.0385439584194327,0.395529686020256,-0.13860838915994,0.0420731061610625,-0.0704973198897277,-0.282491561435344,-0.218321346362855,0.0571185068925275,-0.321793059733988,-0.238877026302669,0.188024691671878,-0.324167782572733,0.0812626203036492,0.0692029147917711,0.346134792244035,0.245271650978707,0.301532161616736,0.341622489485255
stable,-0.0468060864076587,-0.287410616387542,0.161066176098344,0.0538989059916981,0.0238751730819875,0.0157728652716233,0.247181734039092,-0.0223687060365488,-0.110756389015933,-0.116911161078895,0.256580845955581,0.330900922236426,-0.110010920787262,0.268337501145241,0.0087297435694953,-0.103303259788036,-0.110546726076619,0.112447670059729,-0.271619114410202,0.0478466358101782,-0.0099287049706072,0.039151059534497,-0.125946857233907,0.126782402873542,0.0184317019538819,-0.0013449489292266,-0.0276087264605796,0.130929069895523,0.191335292299992,0.144493485539709,-0.12287490690826,-0.07965017411584,-0.0684013691569618,0.24673290004308,-0.263852267302739,0.0494680292075369,0.0383776362472511,-0.191968940294362,0.0058690092419716,0.0385127523636977,0.130814143543603,-0.0516857971878321,0.0583189113641912,0.0697991220857193,-0.180628504865709,-0.12005455210979,0.0157293796249508,-0.0162915869140733,0.0540961444605339,-0.203720936307593,-0.113289427934603,-0.215522630202735,-0.219751609341631,0.0152355069234565,0.271420322882556,0.0035301026745175,-0.148641705620499,0.0304259751414308,-0.0501886484952518,0.0021012885695654,-0.214253781155185,0.0089192167442824,-0.139491083113567,0.289696718955465
stable,0.124182723439954,-0.148548487893962,0.119197621593829,-0.402101150796232,-0.145165433917184,-0.0017707145793613,-0.192489596361816,-0.14986094359849,0.140216638295078,-0.154901791221654,-0.222009129371963,-0.104049635779945,0.133266140463627,-0.188540794217044,0.280179990649357,-0.143187459397552,0.349241575629583,0.213544347535526,0.423730798162887,0.182838715915471,-0.0772582153353202,0.0403796680045537,0.0200561870752747,0.101869547084076,0.14018776484133,0.190119686148237,0.0014608252341841,-0.20073082333854,0.245925211224528,-0.290185071186729,0.379076429624721,-0.0469207917194982,0.0823336539278259,-0.0591657089906933,-0.168109823994604,-0.17199115945537,-0.096147171602146,-0.174070048125231,-0.0485920215275295,0.131317897025082,0.0995422323616705,-0.132188674649998,-0.173912816446405,0.0280309778253333,0.0517306517126777,-0.0208171884007929,-0.142713763230616,-0.0300229602581698,-0.0557989499333575,-0.0318651437824521,-0.164403730386783,-0.117293688901135,-0.120246499829488,-0.11309445957336,-0.231282653789125,0.474807366091648,0.17282362972581,-0.106445274813695,0.0183034826700334,0.079850251029713,-0.143742916037478,-0.211435156033019,-0.163255653255573,0.181741810548825
stable,-0.117435805993178,0.139827510937018,-0.144846341355465,-0.125132954567623,0.0471721801349216,-0.0840654095089856,-0.0180484863124917,-0.147452272534274,0.0136087517115579,0.0542178459146643,0.201718376433731,-0.132202749339762,-0.0962988086539499,0.102138024813874,-0.0651241504778278,0.0114612713882802,-0.153363875671387,0.28802778223558,-0.324510818738905,-0.190522523961811,0.066282342112854,0.219477314837466,0.115408970631882,-0.08116993042142,0.0630490571317392,0.110607301145003,-0.0167213917306909,-0.0747757474363795,0.0456520536139497,0.155632000956647,-0.102668862646594,-0.0175176484797714,-0.233303227480592,-0.195275935463898,0.120837993921068,-0.0890601109350361,0.0454107636899859,0.065075892493035,-0.124071278902182,0.0137535256659362,-0.156934966546051,0.0795291589384663,-0.0279413731950073,0.212769454951273,-0.010689143631596,0.259965764078591,0.251424100770272,0.0227053818449929,-0.0585369355536162,0.0556897144508435,0.0686711123600956,0.116398259320134,-0.113068458369433,-0.0590436443939402,0.213420937745975,-0.166562434512206,-0.139224286127109,-0.0726282671131018,-0.0924140408781328,0.0380031630242974,0.148634593161697,-0.0067078598861934,-0.0528424933480707,0.0027265761407908
