group,BCL6,CEBPA,CLOCK,E2F2,ELK1,FOXA2,FOXG1,GATA1,GATA4,HINFP,HNF4G,HOXA1,HOXA6,JUN,JUNB,JUND,MAFF,MNT,MYC,NFE2,OTX2,SIX5,SP4,SPI1,SPIB,SRF,TCF12,TCF7L2,YY1,ZBTB33,ZFX
progressive,0.198306128389472,-0.233852993508866,-0.070791203727134,-0.364998236311057,0.162154210246769,0.0253365953510576,-0.0240508576765263,-0.27945886514077,0.292316241886082,-0.0915899014033754,0.0002268948837408,0.0003025265116544,-0.102632119078762,0.148994306989801,0.0090757953496325,-0.0308577041887507,-0.117607181405655,-0.261382906069418,-0.0971110102410685,0.174633428852513,0.244668316300511,0.188322753504876,0.0018151590699265,-0.170927479084747,-0.111707914428394,-0.0454546083760765,-0.159280208386052,0.295719665142195,0.225004093042974,0.0565724576793764,-0.0874301618681271
progressive,-0.0258972705310706,-0.119955245759021,-0.412014688688601,0.158560658818534,0.511869804631718,-0.15300401084046,-0.0801220539890894,0.0059616883773872,0.213405660388001,0.294337795175716,0.07822342711731,-0.0081894105736083,0.246479740494398,-0.34542351553906,0.27064293181591,0.1111835896114,0.353676213675061,-0.0615787982080442,0.437342371158138,-0.163104705798326,-0.190508220314342,-0.137663105716483,-0.361498556386792,-0.0755653494968189,-0.0887418199869677,0.024973272120138,-0.0746666661108433,0.0284287730267764,-0.17452178205396,-0.0373776343490965,-0.181242921180059
progressive,0.0191075641287817,-0.148102044593984,-0.0794613672044888,-0.28277030159824,-0.151015572394588,-0.0293801721398234,0.248240152133259,-0.199571253954612,-0.196586257205988,0.237262276593358,-0.0985734508058677,0.181343991166294,0.0847889061818569,-0.20763414627053,0.0017164803721816,0.311017694741999,-0.308778640775608,-0.132995439333438,0.20069300237349,-0.218892918522534,-0.142377404837903,-0.0362703762186063,-0.111053323272658,0.0858454669536126,-0.138562586959689,0.119250803950497,0.0641657867083941,-0.0978283506371686,-0.0309196270684085,0.234304626484008,0.235349237463812
progressive,-0.55922933712643,-0.142982285490822,-0.0954674984287876,-0.645719387308474,0.255857275032198,-0.50963440961698,0.578388525457896,-0.566783531382837,-0.644953019775215,0.001642216142697,-0.554740613003058,0.646047830537013,0.313663283255134,-0.511276625759677,-0.6092621889406,0.633676468928696,-0.555178537307778,-0.595358092265765,0.557368158831374,-0.53722364081429,0.534486613909795,0.617035345349366,0.54806226735609,-0.52047303615878,-0.504269836884169,0.566783531382837,0.533829727452716,0.509196485312261,0.510510258226418,0.681848142447809,0.629406706957684
progressive,-0.0010966141080404,-0.0561466423316725,-0.518698473103146,0.0656871850716246,0.322185224942292,-0.0050444248969862,0.386666134495072,-0.0010966141080404,0.192784760193516,-0.361444010010141,-0.0816977510490156,0.186753382599293,0.0040574721997497,-0.254633795886999,-0.19289442160432,0.182805571810348,0.0915672780213799,0.271960298794038,0.148262227407073,-0.034433682992471,0.0145849676369384,0.141572881348026,-0.0493476348618215,-0.13872168466712,0.0660161693040368,0.159886336952302,0.105603938604298,0.358373490507628,0.126658929478675,0.119092292133196,0.0209453294635731
stable,-0.0764370580156461,-0.282845942156691,-0.185431754762167,-0.227303364042752,0.192253198084091,-0.353829199406626,-0.296088624327346,0.121172118989196,-0.377342776025314,0.516065065637072,0.376523601255609,0.16458305814572,0.210417051056467,-0.312005502866429,-0.0557386210766967,0.282553008985591,-0.21666992985911,-0.104130089596647,-0.0271494881594779,-0.157527374759673,0.0481320742671226,-0.0779424497004762,0.0005416801482855,0.0420096245910946,-0.102569198987533,-0.0575236368380742,0.365294585090743,0.0807830097508102,0.284268551273405,-0.203811747430076,-0.125506225630208
stable,0.0814368541765672,-0.244853288500142,-0.250683481121987,-0.164353870090698,-0.232414996032153,0.0392029059314343,-0.311227030060775,0.0362623179461424,0.0155647229825521,-0.174004524619609,-0.102751183197475,0.283531559326817,0.183595972679017,-0.119618448509083,-0.0168343728285506,-0.132023848494014,-0.0965229915306406,0.0279668337191778,0.0566030294685646,-0.16388186295883,0.155285412511894,-0.0075356678683488,-0.214758311127179,0.148389503439003,0.288666075932008,0.0846405820263149,0.0100058933459264,0.20489550008255,-0.0278401976594085,0.22541383101348,-0.254966082416003
stable,0.0767451947521129,0.14081020892367,-0.0929057528463963,-0.110400740125613,-0.0286716075339576,-0.0760934967780755,0.23726771572857,0.0790773425020609,-0.0954985797859592,0.0704190694184218,0.166850197971992,-0.079102169091548,0.204187836898803,0.0837385346782709,0.0128539667069653,-0.0358014937022948,0.0399646024269191,0.0367262841606907,0.244728105869455,0.0538861124818313,-0.163978071900698,-0.100603547249252,0.26415491214314,0.0032864197833597,-0.176734283911558,0.0380731266403679,0.207269437318894,-0.155713920925168,0.33177633525873,-0.288534623019509,-0.211867011359543
stable,-0.1787896090131,-0.257595012384769,-0.183998802971392,-0.267352187256993,-0.0542754272181859,-0.0983431639406588,0.111112341238619,-0.0181336820922334,-0.0963915005679258,-0.215719328233368,-0.208468824574221,0.0622037027975883,-0.104017148415453,-0.022853532718041,-0.146021877599692,0.211593027659039,0.0333618524606072,-0.214084567485523,0.149364486547609,-0.0748995071454617,0.0829479773240332,-0.268959254712393,0.494338117549776,0.199816526421201,-0.200537979514077,-0.24032381932838,0.15868970315726,-0.270351342279018,0.0113265566100695,-0.129419035034169,-0.0640368845583136
stable,-0.276342381384327,0.0297370001211064,0.122773391276704,-0.0854577867558009,-0.17445225556484,0.0905101896889986,0.0917612608915047,0.143079239255841,0.163336969111805,-0.120439662302798,-0.170482510403042,-0.136270524826818,-0.0899568312725056,-0.0084447306169161,-0.026898030853881,-0.095586651683783,0.0371231320282097,-0.114015892859161,0.203202834160894,-0.0746552681033926,-0.0928439186629042,-0.102635956728673,-0.271795218744449,-0.146519685062733,-0.288588443731935,-0.180058016914531,0.0010585987098128,-0.0086131440480227,-0.147963228757932,-0.122171914737038,-0.157803384946875
