group,AHR,ASCL2,ATF2,ATF3,E2F2,ELK3,ETV1,ETV7,FOXA2,FOXK1,GATA4,HNF4A,HNF4G,HOXA1,HOXA4,HSF2,JUN,JUNB,KLF9,LHX2,MXI1,MYB,MYC,NFE2,NFYB,NR2C2,PPARG,RFX2,RUNX1,SIX5,STAT4,TCF21,USF2,ZBTB33,ZBTB7A
progressive,0.209219800220158,0.318862347011993,0.445024268408063,-0.0868227595478438,-0.531847027955907,0.198847169654708,-0.0186707350178107,0.0106031334669048,-0.0528619987335545,-0.0371109671341669,0.146062005221638,0.354667131037918,-0.0342680980162286,0.318247672608114,0.552361786185353,0.0361889555283491,0.351055918915131,0.134844197350855,0.0689972018353661,-0.161966705421995,-0.126238755696555,-0.455781070475938,-0.0172877176090839,-0.0427967053700434,-0.406683952466139,-0.40222756303802,-0.0009220116058178,0.407144958269048,-0.42312649276989,0.362965235490278,-0.207298942708038,-0.153130760866241,-0.451401515348303,-0.208835628717734,0.132462334035825
progressive,-0.0406661448256192,-0.182487549231764,0.0241104135882601,0.129953450422422,0.226692126474728,-0.148330053816152,0.0805445364488367,-0.125291501142635,0.458369051902359,-0.191333630275127,-0.136539583753976,-0.247677355227231,-0.0462449871770538,0.002931475031888,0.18026634348073,-0.0995926671626469,0.0159875158126759,0.212861246478463,0.0312647623444979,-0.0535413897894624,-0.189267392367188,-0.0103570175135429,-0.052172507175453,-0.114921569642167,0.0815259994551076,0.0747461563196836,-0.09341978141268,0.0078517040501671,-0.037670099859108,-0.166319237602143,-0.007619252285524,-0.28361698083844,0.0080324998671118,-0.314261871810557,0.17352524230608
progressive,0.0593326962575131,0.0818106173163173,-0.0698044832333537,0.0873653639145987,-0.112446611306201,0.201474391693161,0.0221029550822305,-0.087890145419095,-0.0860674286618027,0.026484107879351,-0.0304597724072728,-0.0801057958267215,-0.0363005587097218,0.0517180443989451,0.198613295667685,0.126485157286629,-0.143134174767594,-0.0749508679623674,0.144234763594028,0.139005277457613,-0.0299740563307418,0.18832736071793,0.124499344309203,-0.0670892418275972,0.069717731577216,0.0342742046718627,-0.218663335327635,0.0516335450239426,-0.248567027289119,0.0572397834288661,0.002033576870465,0.0840707426030345,0.117431064788082,0.113540365624363,0.142476431011255
progressive,0.464760437527947,-0.446914694252401,0.333230700052629,-0.415629564065642,-0.38258189133315,-0.0630108960099516,-0.40406287860927,0.446474058615968,-0.421247668430166,-0.449999143707434,-0.401198746972454,-0.130978942929777,-0.606534953550338,0.411774002246851,0.337637056416961,0.491308734623049,-0.475335692802345,-0.469827747346929,-0.0587146985547276,0.542422468449304,0.409791141882902,-0.170856468026984,0.56996219572638,-0.468285522619413,-0.166780588389977,-0.120073210928055,-0.0950671385604689,-0.352178032419257,-0.30580113168466,0.494613501896298,-0.522814182628025,-0.0382251414605825,0.0103549374561809,0.484589041167442,0.401198746972454
progressive,0.15628025230231,0.21962196144923,0.108858052356918,-0.0040359319102461,0.12287170482305,-0.326462047851024,0.198545428140166,-0.0072870992823889,0.122199049504676,0.005717570206182,-0.0803823105457364,-0.582855833371386,-0.0172648198382753,0.20168448629258,-0.0588573403577568,-0.0808307474246527,-0.125898653755735,-0.16345524236497,0.515366083094492,-0.0321753460622404,0.231057101861594,0.193724731691817,0.460881002306168,0.0587452311380277,-0.27690977273078,0.160204074992828,0.437338066163065,-0.0760100509763031,0.135652155872163,0.120853738867927,0.377695961267205,-0.410207634988633,-0.0895752665635194,0.380835019419619,0.292717172712577
stable,-0.0362382768395967,0.0806533803568075,-0.0165013751287877,0.0190137284820437,-0.195597168227427,-0.243158434100674,0.0690139607229653,0.0423770575633865,-0.239603768911613,-0.0487196158024902,-0.23039004641189,0.0391210855296626,0.20377792151497,0.191872304807967,0.267748896485199,0.245433159853015,-0.234062239098155,-0.143948572218112,-0.160241972420971,0.0687483052511739,0.0319474399888998,-0.139965500345693,0.0183223743337427,-0.057467290323668,0.0004778278083341,-0.12073079850485,-0.12454814035817,-0.0159378389037136,0.0578724081481326,-0.0207157107860279,-0.0542967559059993,-0.0022089211859346,-0.09425732355855,-0.111222174059377,0.156319153700921
stable,-0.173788251304592,0.150249429394719,-0.095610850845184,-0.0271044521425774,0.0647292621459635,-0.28284390965497,0.190477266046268,-0.0013106730467716,-0.0915938960944684,-0.0603808919742726,0.106032949862588,0.210628655964866,-0.121209777658306,0.159445790975752,0.0383459299897293,-0.0670291852432846,0.149844736192221,-0.0397598580922822,0.0947181942339139,0.0228859834926758,-0.0060270975301989,0.0272759887675043,0.065342130864149,0.0448726487575795,-0.161522549920255,-0.0426310148046511,0.0653937583920396,-0.0856200914962856,0.0596864184539375,0.0950879139497758,-0.0798311467560337,0.254696914529827,-0.237430004556602,0.171613233516684,0.278855266774388
stable,0.0218986589078908,0.0872662421672775,0.128796230944953,0.0556273388330385,-0.129913397227762,-0.415819975033589,0.202645478894359,-0.261847435580267,-0.0990192714153957,-0.0436024815020427,-0.0189321189051572,0.0904998964711047,-0.0205678011842068,0.107742910236994,0.137510442202983,-0.159211122275945,-0.180365003661963,-0.0259917927570015,0.0239208712932288,0.146725885590712,-0.0640587231840281,0.082310486251694,-0.0676569099458183,-0.0109878253385148,0.112555681438462,-0.0376128361151675,0.176722821603522,0.0889223508340578,-0.123873471501857,0.172510271949217,0.0435836263749067,-0.0106468617894718,0.0237668877549513,-0.138759594375744,0.330582230294028
stable,0.150738240489409,-0.0904249291671131,0.125937030120038,-0.172562031232515,-0.055978674928649,0.0571007103014266,-0.171418563072544,0.0233672410532582,-0.177729650004094,0.272512386145603,0.110796503761766,-0.023701766312824,-0.134599062100848,0.0987657589722883,0.223526302854788,0.250253857381192,-0.0257401981542305,0.0310517641587137,0.213073764246588,0.0960927428506145,-0.190781927772349,0.0641688959589547,-0.0660422374125235,-0.0753124971379989,0.122103747167351,-0.146585493154643,-0.0065065887066206,-0.171277222529974,-0.186891008000048,-0.0402021161288123,-0.114579969965842,-0.15988308944658,-0.150198655590214,-0.047953544286181,0.17324759079043
stable,-0.0212947956606537,-0.175221536612576,0.0376036126372097,0.0633931575549563,0.24362523432298,-0.0140000386696339,0.172642582120801,0.034607113132481,0.0718423036994371,-0.0931125378887405,0.0720633569415892,0.0435474887039665,-0.102986249371535,0.0255684916755945,-0.0937511361438467,-0.167779410793455,-0.153509195938968,0.0217369021449579,0.0478703076616078,-0.138796874600177,-0.0885932271602973,-0.0888142804024494,-0.0624352601722971,-0.238958554766435,0.109470477807997,-0.0260105981598988,-0.110256444891205,-0.125828417727253,0.127916142792023,0.141547759391404,-0.013066702758325,-0.101537122561871,-0.0699756318768193,0.0853511129420663,0.115537161231505
