group,AR,ARNT,BACH2,BATF,CLOCK,CTCFL,E2F8,EGR1,ELF1,ELK4,ESR1,ETV1,ETV7,GLI2,HEY1,HIF1A,HNF4G,HOXA4,HOXB13,IRF3,JUN,KLF1,KMT2A,LHX2,MEF2C,NR2C2,NR2F2,NRF1,PBX1,POU2F1,PRDM14,SMAD3,STAT4,STAT5A,STAT5B,TCF7L2,TFAP2C,TFAP4,XBP1
progressive,-0.0933028082277911,0.0081526725635934,-0.123360641416797,0.179523496854885,-0.143042345888502,-0.120396033211854,-0.129207507598768,0.298190175280522,0.0173758980900829,-0.428715286525932,0.0694212421324165,-0.115619719992779,-0.148065709791322,-0.0297284322773456,0.104090688084667,-0.196652344261223,0.0788091681147362,-0.180594049817781,-0.181088151185271,-0.438267912964081,-0.178370593664074,0.178782344803649,0.164371054918509,0.192452482637553,0.414880448236197,-0.163629902867274,0.0758445599097931,-0.0973379693956302,0.0549276020193616,0.173264879533338,0.413809895273301,0.0935498589115363,-0.16033589375067,0.20356976340609,0.040763362817967,0.424844825813923,0.0953615639256682,0.15531252984785,0.0775739146960099
progressive,-0.0089511098632461,-0.059705807279312,-0.180273720224525,-0.184137117186778,0.0345121059620903,0.0917420743430576,0.1301175772674,0.0189088794983467,0.0343216568160638,0.112310582113921,-0.0759620022437179,-0.101074082498357,0.160929528392404,-0.132130896811109,-0.113902192834285,-0.200488536724197,-0.0887220950274943,0.0166506967668895,0.218390756450689,-0.0442794264511644,-0.0336278777841101,-0.0448915844205353,-0.110025192361603,0.0455173459003367,0.147625295191409,-0.0873345369635869,-0.0561280840360996,-0.0765741602130889,-0.0192897777903997,-0.0278735928720233,0.0412594471356011,-0.0137259420243394,-0.0604131898216961,0.0049516777966893,-0.0289074596647386,0.18129398350681,-0.21433691034241,-0.16755443797204,0.0823692556564671
progressive,0.0419894974780627,0.0258758374830898,-0.0077621516316524,-0.115957869919562,0.0639414972512749,-0.0054930098700046,-0.0342397325943182,-0.0292972623861049,0.0904831421585344,-0.0328513122778662,0.0327418039587825,0.031885934905886,-0.013036854931841,-0.177268406135906,-0.029047081636959,0.0068993396882088,0.0324389992551489,0.244950464565912,-0.161932428778691,0.030719529293974,-0.0406029706772145,-0.202492874251304,-0.0136745752078884,0.0464184304752416,0.083369282931717,0.038105265802897,0.0009097553511199,-0.0840484238615965,-0.0375895194903247,0.188672024963026,0.0639018123200795,0.0406454958818154,0.001595444689129,-0.241452115591494,-0.0176765204364208,0.0760577091172743,0.127453166460498,0.0381063703536658,0.0365001957427821
progressive,-0.400293238681172,-0.624869848512379,0.513590121185838,-0.111167663149978,-0.472910825093658,0.249791049557764,0.453187530018662,0.0663419925249871,-0.537459790793646,-0.164286082840593,0.219981978592145,-0.470333349032721,0.539252817618645,-0.581388948006137,0.458566610493661,-0.658601165657685,-0.672272995198307,0.437386481123353,0.415533966693669,-0.216956245824958,-0.492409991815529,0.445118909306164,0.449265283838975,0.459126931376473,-0.228274727657768,-0.437834737829603,-0.423154330699918,-0.46663523120616,0.43727441694679,0.563010423049891,-0.284194751762445,-0.436489967710853,-0.424947357524918,0.440524278067102,-0.560881203695204,-0.0828154264796714,0.446127486895226,0.447136064484288,-0.539813138501458
progressive,0.0776860916770022,-0.0320355017224751,0.0183060009842715,0.172877296795214,-0.140841795072739,-0.256627251298256,0.0345525768578124,-0.50032588940137,-0.119446656422372,0.122192556570012,-0.0524009278174772,0.0812328793677048,-0.0311202016732615,0.0759699040847267,0.122764619100771,-0.0846652545522557,0.0529729903482356,0.0678466161479562,0.404104971727793,0.072079878875569,-0.0439344023622516,-0.0118989006397765,0.395409621260264,0.0432479273253414,0.155143358341701,-0.0390146645977286,-0.0530874028543873,0.0042332627276127,0.13351939467903,0.05057032771905,-0.237520362770923,-0.218527886749741,0.027916651501014,0.0275734139825589,-0.0117844881336248,0.143130045195773,-0.0001144125061516,0.156287483403218,0.115213393694759
stable,-0.214228706483406,0.247347616034546,-0.0932992742278375,0.187753560295814,-0.167899121948708,0.0025475654330283,-0.221769679020137,-0.166546670992901,-0.288028876880164,-0.146461258223856,-0.400662652477469,0.106163697174151,0.0105609665968471,0.134719150194067,0.0708637351414327,-0.360957269044328,0.21074620465764,0.327703659346334,-0.0154972239494465,0.129214609130623,-0.24184000090136,-0.0155383046996281,-0.151584474908914,-0.034187428247189,-0.0290336105951586,-0.190199960888259,0.145991763936066,-0.103273931886719,0.138731929050238,-0.0886637167881318,0.112046628276683,-0.159719581288407,-0.0805562770363123,0.0794388526852851,0.360116231509148,0.109048432165642,0.105901423133026,0.0338517957235967,-0.0646089813306249
stable,-0.138770907009399,-0.225390981987817,0.027667035686076,0.0386138516931097,-0.372914500374188,-0.087906511735523,-0.0957236899329325,-0.131747377295204,-0.23291767446588,-0.178761107706079,-0.212372726148778,0.144155267307283,0.0168827533553432,0.124172270530583,0.311632388082087,-0.127765302225831,-0.152759177661256,0.321220145902179,-0.105167933975014,0.0095237817985692,-0.176087947455427,0.0754311875385954,-0.20462471121788,-0.0312220275847431,-0.0697857359096323,-0.180813527639794,0.447923791987066,-0.145818643866874,-0.0238924504162364,0.102148957391807,0.0275857688479255,0.0985230731449666,-0.306082035944577,-0.0478696258339487,-0.110019737120763,-0.0022668260598991,-0.0301309770555315,-0.0835596004353046,-0.0498044682145949
stable,0.165720539799925,-0.158351651792715,0.162752647864292,0.101810768327302,-0.0503048150246415,0.0528913932212215,-0.0189115726498107,0.138504271674977,-0.380500269743584,-0.126111575155736,0.175348711711028,0.02884320674491,-0.246276244789483,0.0356957323971518,-0.0419588105611066,-0.0554414288511422,-0.101014775897027,0.136551627569574,0.172066235940675,-0.16079523733715,-0.23983522021397,-0.0106672518500235,-0.270518265749813,0.233216249226898,0.0646406228058095,-0.057711834405757,-0.0159087269547639,-0.0366394839013094,0.182565074222616,-0.175050015948769,0.0765264898135583,0.210181721773571,-0.109516483470676,-0.0377977243836846,0.0449981988228127,0.129219282129023,0.186749992508729,0.0941749607027541,-0.0787269878493465
stable,0.0189390477478061,-0.105607159832838,-0.131679933152287,0.396138377953143,-0.118608959442786,-0.400807043451751,0.180378792347806,-0.298043056354755,0.312580169242058,0.0173454054627777,-0.110232151853339,-0.0784489979937174,-0.0742965002464309,-0.189356476649467,-0.0278220573284698,0.168585780816478,-0.0695522122152614,0.218366218093981,-0.185504417258288,-0.261174140625071,0.0341154348347865,-0.163287513767706,-0.305258266670785,0.0461710734559408,-0.138813658723929,-0.117221960124642,-0.127776286297035,-0.0574130370755798,-0.208748087150277,0.206985026943464,-0.181151431866535,-0.097568601865779,-0.131076711555342,-0.131258147011372,-0.0667811446848847,0.0334166591850702,0.0958307491698193,-0.162810036614439,-0.106774033096899
stable,-0.197703901798453,0.0341424466172571,-0.196016922503943,-0.416683885744091,-0.153414400618693,-0.0531776159702411,0.135965495378457,0.10847025075748,0.0660691592357541,-0.0558717470823698,0.174212085652509,0.143267346056189,-0.0135210131515244,0.164644143385136,-0.212282424358477,-0.18644898023657,-0.36355662736473,0.124030746339682,0.106405589531363,-0.0670259534624913,0.0702488392788696,0.0482677508593523,0.0361819290479339,-0.0435593161119872,0.114588698049511,0.140573214944061,0.0414191184995486,0.217091574287603,-0.143065915692666,-0.228724177781094,-0.122872521749421,0.0201178575569236,-0.0283009660750715,0.0527747552431938,-0.208732214201372,-0.115394419503606,0.186851840963617,-0.0447678982931291,-0.059648566398438
