group,ASCL2,BHLHE40,CEBPB,E2F3,E2F6,E2F7,E2F8,ELK3,ELK4,ESR1,ETV1,GATA2,GMEB1,GMEB2,HNF4G,HOXA1,JUN,KLF1,KLF4,LHX2,MAFK,MNT,MYBL2,MYOD1,NANOG,NFATC1,NR2F2,NRF1,PPARG,RXRA,ZNF76
progressive,0.342453467428501,-0.24877785526196,0.214609291807771,-0.0888382649808914,-0.161244906188308,-0.304829655984563,-0.184049542920654,0.140974117981778,-0.209848727910783,-0.0579713829391297,-0.0005374830206276,-0.0545929182380413,0.317729248479627,0.222364403962542,-0.154718326652114,0.060582014753607,0.302602940613391,-0.0740958735579604,-0.21522355811706,-0.0257224017014681,-0.096286243981018,-0.080776019671476,-0.434363063955836,0.129072708239307,0.444728807925085,0.221059088055304,-0.129226274816629,-0.0327864642582892,0.0834634347746145,-0.208005928982917,0.138209919589978
progressive,0.0421183426658108,-0.0202152701137362,0.377083194765461,-0.457279383350757,0.121662425763567,-0.0016238705277953,0.0355845014083035,-0.259128819813395,-0.0763986330990345,0.0934173076856144,0.135433359294556,-0.0142056705226824,0.317230140114987,-0.0121598493853024,0.0947854505712373,0.0702611696868945,-0.184008824925223,-0.112110998328424,0.435555320148203,0.125907504623631,0.0213532581214038,-0.0527949717265127,-0.120639515194877,0.175262939562923,0.0235653022261959,0.0138860109699668,0.182257090576341,-0.48896403821593,-0.292488490734797,-0.262862443389113,-0.0281556134031923
progressive,0.138444837329711,-0.156689325472929,0.274075178672336,-0.136039357208715,-0.316853353570912,0.0521550877681371,-0.0174995722480232,0.066539276129097,-0.158769880669313,0.0247820951063801,0.0123517845033084,0.237133131522896,-0.0648859771133143,-0.0604569814235188,0.0759029724995843,0.17745561438689,-0.183859742438348,-0.194152380927983,0.118264479874711,0.181245889910894,0.0560103637349577,-0.146443524401066,-0.238437468589436,-0.204101545020622,0.287403902054589,-0.0005616625659246,0.111164205582537,-0.0869220547014977,-0.241833876983132,0.0113147917075178,-0.121826674177849
progressive,-0.447122349963126,-0.432884190707326,0.0647891432802653,0.228693534713305,-0.407167205384836,-0.411471765159845,0.339177235605205,0.0214124255474812,0.178804790654225,-0.0055186663782168,-0.520630986120974,0.0884090353790333,0.420412004692556,-0.349552328396253,-0.479682481594605,0.1720720176728,-0.516436799673529,0.0018763465685937,0.0072846396192461,0.46809328220035,-0.0992256214803382,-0.406725712074579,-0.186420550256164,0.0388514113026463,-0.0105958394461763,-0.276374812221098,-0.162028044864445,-0.207501855820952,0.0473501575251002,0.0821177557078661,-0.0494472507488226
progressive,0.334725038373557,-0.099104215120163,-0.418489068747949,0.21189319936605,-0.133647221058483,-0.164548312632698,0.488678691037953,-0.435484669113767,0.481725945433754,-0.412971016681125,-0.110361041336484,0.456894711133045,0.16984564261685,0.426324702682839,-0.32302676799189,0.400169135886092,-0.218735583928912,-0.420475567492006,-0.137289135422587,0.142696826448074,0.402045273588813,0.301727087013948,-0.419040873954631,-0.416061125838546,0.207589118753927,0.474993921912229,0.225246885367765,-0.0658855416778812,0.501370210791649,0.0470138036093424,-0.474552477746883
stable,0.141639945221898,-0.128864826248018,0.185421622978141,-0.0143814316131291,0.30062437860726,0.198900488074371,-0.36132180860507,-0.194257082854317,-0.307266487428049,-0.309463069146583,0.0817421043531531,0.0086517159096477,-0.0741507190107865,-0.149288674835137,0.194828641009538,0.159570933357642,-0.339032521272061,-0.043732813976134,0.135925844390297,0.10764367691823,0.339163632351473,-0.0284484120132115,0.0633787457994699,-0.324389136722035,-0.263527212125619,-0.197360807862543,0.0087024642432601,-0.180418806482901,-0.0445114037947393,-0.410201742030377,0.070509896254248
stable,0.134714634904908,0.106299500405487,-0.339728176245872,0.250880386012674,0.0094057702566971,-0.0440332348107802,-0.151293593330153,-0.320642342326264,-0.12160008531935,-0.133906716144788,0.0389646251408138,-0.0015892393717572,-0.167751197702953,0.0515106393025836,-0.265127019292966,0.202751036335774,-0.106866373444994,-0.230211962258429,0.25202909355021,-0.0303418378800347,-0.335927965781607,-0.0156430360755603,-0.366705348343023,-0.316727427346674,-0.155627429148324,0.0575800043091586,0.265680593258233,0.0155067205645937,-0.0217589478419776,-0.174736536447853,-0.0584660551304417
stable,0.0157565644991084,0.029729898229927,0.0511990581376272,0.103306938272076,0.201078039974873,0.282540401335398,0.147626479814143,-0.432140948894788,-0.0487760542252754,-0.0233525018770168,0.132353264707492,0.190059550911861,0.182773332562129,-0.127641781309168,0.0326737932351213,0.0987033872623591,-0.0458869075331427,-0.0766898726990757,0.262460284341945,0.308225181348836,0.165910852139178,-0.0323093258938831,-0.11827825553813,0.150941099110639,-0.122756667546563,0.256322216328989,-0.18345690435664,-0.0967042917168552,0.0782087473271542,-0.159445858485369,-0.225417575724513
stable,0.0394057433588808,0.0151931061501317,0.231240036629464,-0.0563255284857172,-0.249968792049008,-0.0854186737436024,-0.016222610795799,0.0878186453057911,0.0364084404259807,-0.196252703929853,-0.157786692871908,-0.0373648611756169,0.186866314731709,0.101871470038712,-0.144432768861269,-0.0504368079496,0.0091792222487642,-0.0929218578255103,-0.0576755664391747,-0.0625016931640986,0.0453416519223567,-0.184169116143535,-0.0228332506041295,0.0384156579799704,-0.157601393544963,-0.106191188665152,0.0385687313370121,0.0407330504942814,0.0557549561793007,-0.0470706327540545,0.0641495336072895
stable,0.0597073301228596,0.0679453678457417,0.265043494260371,0.158219506594101,0.198352275441098,-0.0977006682776446,-0.0887740781480737,-0.108791280256808,0.106086252944817,-0.0657567548387671,0.161342583581582,0.124259118249921,-0.0546415517022216,-0.116045671684421,-0.149047004890713,0.0682404617343226,0.202508181038611,-0.0483462154124967,0.0449280445364351,-0.149317507621912,0.0637156887760828,-0.193532408594277,-0.242419629469172,-0.115406301592496,0.0195499701184816,0.162965599968777,0.0955612375854334,0.0850362222260496,0.0630763186841577,-0.0883560284725842,-0.272125747586311
