group,ASCL2,CLOCK,E2F4,E2F6,E2F7,E2F8,ELF1,ELK3,ELK4,ETV1,ETV6,ETV7,FOSL1,FOXK1,FOXM1,FOXP2,GLI2,GMEB1,HIF1A,HNF4A,HNF4G,HOXA4,HOXA6,JUN,JUNB,KLF4,LHX2,MAFK,MEF2C,MEIS1,MNT,MYC,NFATC1,NFIC,NFYA,NRF1,SIX5,SMAD3,STAT5A,TCF3,TCF4,ZBTB33,ZNF76
progressive,0.0644226532881561,0.0482789151119279,-0.161437381762282,-0.0615289643697756,-0.524823790144175,-0.28807434679562,-0.0249009546397483,0.477915569783059,-0.0865822184262808,-0.153974710341196,-0.0706669293751878,0.0325159254775918,0.453243064268446,0.144989044752541,0.0345719676038096,0.447836434973577,0.0309929313100231,0.163950322138771,0.111026274815758,0.214513728502052,-0.19806539149231,0.196390097907984,0.0285561406419132,0.151918668214978,-0.286932101169944,-0.0969385787657479,0.0482789151119279,-0.24573510893721,-0.120544988363063,0.401994310529759,-0.292643329298326,0.199664535368257,-0.0130977498410908,0.172935987727426,-0.112777718108462,-0.544089666363919,0.0341150693535389,0.18687138436068,0.0415015910662472,-0.109807879481703,-0.164026471847149,0.25548227160965,0.0081480187964925
progressive,0.0812874925534087,-0.329798972843217,-0.478949166795022,0.125293805115619,0.0919865670982008,0.0765111199887694,-0.128529001466068,-0.280837969807287,0.0545652801784398,0.0187361174468919,0.0859492321764967,-0.0366698043029244,-0.0001910549025855,-0.121065123271725,-0.263604817594069,-0.114161672791633,-0.105003774461031,0.453373283835566,-0.314094259850683,-0.148182182445371,0.0132464732459331,0.327302522116099,0.294784977696034,-0.337632223849226,0.370977672847161,0.47512806874331,0.396770084696214,-0.035523474887411,0.405456714267104,0.0876942002867783,-0.0135903720705871,0.371932947360089,-0.034313460504369,-0.0412296479779668,-0.430357536570757,-0.38441520099568,-0.0501837544124773,0.0476490927048421,-0.120377325622417,0.424192831713996,0.417416751168961,-0.0847774287739719,0.118326669667999
progressive,0.210617954168728,-0.119387799295322,-0.0090554024523683,-0.205683796863189,0.0222952808315087,-0.0387265807201385,0.12545210089427,0.0256941085412263,-0.117880503809,0.0802405528991178,-0.018574522963249,0.0232259516534758,0.101753728285652,0.191600430661955,-0.0913040909863726,-0.165326462751431,-0.188006981538209,-0.0282171783962115,0.141123476171815,-0.218848044760107,-0.145256119802726,0.285521628996992,0.0390783933910046,-0.176996508015365,-0.0438711478804956,0.183837831951521,0.271742402077117,0.125602822741224,0.302657786495903,-0.220215785833205,-0.16090369689391,0.135454193659748,0.127198841563106,0.0411431363623812,-0.172791622640743,-0.0262898333680978,-0.0634280199280039,-0.0468576277268557,-0.146240933424085,-0.169019648610897,-0.107358316698873,0.100518456081619,-0.214760918048741
progressive,-0.47335329357631,-0.419940314547267,-0.0102210021598785,-0.409279699391265,-0.464011517408679,0.19738623525959,-0.176504617943709,0.064073594185045,0.193869331290599,-0.507203494277843,0.0069239046889499,0.452911289256553,-0.116937056968933,-0.0500059783090831,0.0815482107809663,0.0997921501201044,-0.446866610559851,0.317180776703327,-0.444338835832139,-0.367626368008534,-0.641615167842697,0.473133487078248,-0.0347294266937808,-0.556659956341772,-0.452251869762367,0.0017584519844952,0.542262630718717,-0.224642241019266,0.194858460531878,-0.246952600572549,-0.451592450268182,0.486541683460024,-0.357735075595749,0.113749862747035,-0.0290144577441713,-0.102100118349754,0.454669741241048,-0.417082830072463,0.406751924663553,-0.0917692129408449,0.131444285841019,0.401036955713944,-0.148699095938878
progressive,0.216602799448293,-0.294672826856803,-0.0590231554733845,0.0034328664534238,-0.284817178006651,0.466316149527996,-0.0623452842992785,-0.414933890354168,0.449373292515937,0.0256911295869141,-0.0225904760160796,0.148831371400054,-0.160348084663153,0.18471036271971,0.410725860508036,-0.0173858075221789,-0.38038375056487,0.260454899950094,0.291461435658439,-0.452806158969361,-0.115720820768643,0.0851572355704178,0.000553688137649,-0.12325097944067,-0.371414002734956,-0.013399252931106,-0.0460668530523976,0.419806345965479,0.0270199811172717,-0.162895050096339,0.128234172679511,0.250377775844882,0.286921192929717,-0.196670026492928,0.188253966800663,-0.217045749958412,0.0502748828985301,-0.086153874218186,-0.0342179269067088,0.219260502509008,-0.201099531594121,0.228008775083862,-0.569191405503182
stable,0.231044791250001,-0.072856527166434,0.0171893350500303,0.267486251222282,0.18934272810031,-0.21379315852571,-0.274953531803429,-0.186939645555787,-0.175929435951398,0.173842128929953,-0.0862132825012862,0.0551326378792043,0.044181108664763,-0.136571507009294,0.228230945975841,-0.0242206658848503,0.197706827243816,0.183073706440844,-0.273625720513985,0.087324458652497,0.164153701807821,0.222857805064283,0.216106210882915,-0.271633936593072,-0.0622533290338769,0.174070151815094,0.0089435345008715,0.260257041538253,0.173552210291031,-0.363616921545292,-0.128321955202331,0.0574963322167752,-0.128722937866977,-0.0996230913393792,-0.101879472909031,-0.176852781265377,-0.0832985551868731,-0.0558598459993843,0.0802879028514487,-0.123372974369714,0.302020732494739,-0.264416114655951,-0.0237462657460225
stable,0.188572414194645,-0.18550989122294,-0.0606405992200997,0.0118583930501817,-0.121239879997516,-0.029256762895375,-0.0714957804819246,-0.203095020429063,-0.151425481484417,0.139388592761843,0.122821549983443,0.0941283706462713,0.117025398843793,-0.148534843234276,0.0847953608129088,0.0107791553272871,0.104188585070864,-0.0999939367696294,-0.155783750818679,0.25532318471879,-0.0423530564883562,0.388823073029371,0.225714388691751,-0.119403688404658,-0.0308318219304723,0.241620336387214,-0.0377402655471635,-0.332203584651236,0.0048739234989527,0.154365701865779,-0.0528248026020776,0.169993989626409,0.0346843535262875,0.0433248662602735,-0.12279180070471,-0.219057161206575,0.04572133593592,0.121636537047278,-0.0570574638705814,0.359508464314239,0.0183057228465243,0.212262756491691,-0.289910026720344
stable,0.159653405051546,-0.0674476933368391,-0.112924591748413,0.255840642111676,0.322849230971624,0.147592045909725,-0.40784086097912,-0.461810226826725,-0.153233448462116,0.215880577606567,-0.0262139144271328,-0.1844363371586,-0.0060057658417256,-0.198939241760579,0.0749513971458294,-0.159331083680212,-0.210558382209362,0.1741999086796,0.18896285032995,0.167462302043056,0.0481582385151389,0.11908762550562,0.128028540066986,-0.0632185878076384,0.0216157742843753,0.357069795115675,0.202411592765777,0.0983936592011003,0.1427696822043,-0.0141291986641998,-0.0455672106798702,0.0878582659718766,0.464645720629624,-0.0533107091322689,-0.0205320270648158,-0.12095771230259,0.104226586046603,-0.0421446871330429,0.0663001046862423,-0.297656779441088,0.170419250275734,-0.20161902475607,-0.285217043037264
stable,0.0019922474877237,-0.31209506267375,-0.232511573158747,-0.0606579988397995,0.0770150218713853,0.0429635369894323,0.10152201788939,-0.142869614431683,0.0931706976907076,-0.235124497807921,0.19061213610877,-0.113070800655471,0.0454321914850899,0.438543119710942,0.104660108842916,0.31766337432458,-0.0813766843455883,0.117240294137913,0.238775708651388,-0.162277822141415,-0.102203500761667,0.342338446505529,-0.198943952588886,-0.0453361069892092,-0.0872573423128787,-0.103621249009841,0.0482556415670294,-0.202128795103093,-0.0293307245306077,-0.14999019262492,-0.266131968496495,0.0066542098639778,0.0771575711085576,-0.188697903495314,0.025050805582751,0.104454172520401,0.032589279628222,-0.163931909567516,0.0344189005214252,0.0462324175851114,0.0611613668704581,-0.0503881437367999,-0.0300099128477586
stable,0.0374617588845716,-0.173704005204077,-0.0623633820082331,0.0334774991847858,-0.236553272541553,-0.0077012824684884,-0.142996052395972,-0.0346679182414291,0.0797094882621787,0.11002873280689,0.0927555093523311,-0.19182752798481,-0.094310342405906,0.0012875961224917,-0.145352596242796,-0.0893057235147116,-0.0460862234786202,0.0008502993261738,-0.222559775059378,0.028837294290523,0.0495360093162397,-0.0449929814878253,-0.171444638423101,0.191973293583583,0.0228851990073064,0.0521354958276853,-0.166391430998983,0.266702457221029,0.0946990506692998,-0.0548807479379036,-0.0415189013837438,-0.0523055556929201,-0.0882124815239168,0.126330185602965,0.0391380632704571,-0.326709295382438,-0.0700160759437973,-0.106287415771726,0.209708108100922,-0.0327000826579983,-0.0972985371807454,-0.0304650101434843,-0.146640192365288
