group,ARNT,ASCL2,ATF1,BACH1,BHLHE40,E2F2,E2F7,ETV1,ETV6,FOS,FOXA1,FOXD2,FOXH1,GATA4,GLIS1,GTF2B,HOXA1,IRF2,IRF4,JUNB,JUND,LHX2,MAFF,MNT,MYC,MYOD1,OTX2,PAX5,SIX5,SP1,SRF,USF1,VEZF1,ZBTB33,ZFX,ZNF384
progressive,0.0504635256059087,-0.048490515582219,0.341710159102867,-0.152073541825926,-0.185614712228651,-0.207393707490148,-0.237899477856427,-0.461760230544292,0.01130686513576,0.100775281209995,-0.015101115181317,-0.208000787497437,-0.12437551649336,-0.131736361581741,0.0421920605065943,0.334501084016309,0.362274994349786,0.143346766721145,0.145319776744835,-0.134544106615453,0.270150603243661,-0.0424956005102389,-0.222646592673287,-0.289956588481469,0.0955392161471263,-0.113903386367622,0.194341487333432,0.0399913954801712,0.306271863677365,0.436642295242705,-0.0831699609986104,0.0971328011662603,-0.119442991434136,-0.0461380805539736,0.153591241844149,0.15966204191704
progressive,-0.145785872433075,0.0845072911551253,0.22774041854429,-0.113146296498499,0.0728230849839928,0.0042799755213822,0.374262903975111,0.196510567484709,0.287088565759183,0.128564368554754,-0.170030600238175,-0.23083927322446,-0.156606463365472,0.0927878372677104,-0.155971452160519,0.217923145315719,0.249140296151201,0.183010229267411,-0.21036651197678,0.317785007406604,0.180419383551204,0.209756901220025,-0.0393198938106805,-0.134431872088518,-0.0173485061193119,0.137556127216886,0.200460337179516,-0.225822684705333,0.10922192725189,-0.283202297184872,-0.125567115667377,-0.226241792100601,-0.202847979310138,0.188230021372124,0.207496261330393,0.0484894556101996
progressive,0.355578609294307,0.228394810840784,-0.0695412872509656,0.0486713299083174,-0.171039344301402,-0.36414998385833,0.0427407355619537,0.147616131583607,-0.072514600503063,-0.19495495137861,-0.122933358906073,-0.270262292408726,0.357539518627486,-0.245105458796284,0.28800275720098,0.381249315755122,0.232037715986216,0.0738647536608806,0.168106073089437,-0.101053759164516,0.240190643559961,0.338444298144066,-0.387523182380404,-0.218446741843299,0.223255928939272,-0.423164203416555,-0.122866622172518,0.157492401060853,-0.110749225790051,-0.494237904145944,0.20400230459977,0.034748589819854,0.0039571047553648,0.116399679273262,0.323905125422444,-0.0855142258195717
progressive,-0.0682778000593205,-0.451203375351882,0.507535300280438,0.339416286972256,0.128774342005941,-0.551921350078231,-0.484301121127026,-0.452628112752799,0.304017042318708,-0.0005479759234295,0.075949462987334,0.473122412289063,-0.276618246147231,-0.601019992817517,-0.0847170777622066,0.497781328843392,0.549291065645769,0.200887973529269,-0.290098453863598,-0.489452094807263,0.500849994014598,0.545345638997076,-0.661187749210081,-0.639268712272899,0.468300224162883,-0.0938134780911369,0.540633046055582,-0.535153286821287,0.648255517417144,0.260398158813716,0.465998725284479,0.48846573814509,-0.333278956629845,0.500082827721796,0.471259294149403,-0.0813196270369435
progressive,-0.525407796103174,0.310648184175694,0.0683975824981529,0.297342545136665,0.0204532963740457,0.0162746659320364,-0.0061579817040137,0.162416767443363,0.0810434377831811,-0.24170078188254,-0.314386958781703,0.370688505789829,-0.233233557039521,0.0417863044200934,-0.0351884668800787,0.031779584151071,0.0194636207430435,0.536624119921199,0.132836462472297,-0.0943490768222109,0.0958885722482143,-0.0090170446380201,0.0752153479561681,0.141633579192317,0.248958403176556,-0.158018209083353,0.0218828278410489,0.0048384141960108,0.134925777693302,0.269411699550602,-0.097538031633218,0.269521663509602,0.107654715861241,0.0763149875461706,-0.0718064652271605,0.0589406820241317
stable,0.228723213544476,0.186409896359866,-0.0914788590179396,0.20191749951385,-0.227393247578858,-0.0553431170799428,0.0482884976105899,0.157885559642843,-0.0551984541152615,0.111510746393608,-0.130102137298847,-0.339598642862779,0.469122661622586,-0.25502574045187,-0.0789251802718015,0.204868623993347,0.129352956470696,0.120603713700791,0.233396960608011,0.0321302444403442,0.202866675224049,0.0266290518848171,-0.187955723468174,-0.0311309366797122,0.0467553368448118,-0.248276313172522,0.0499528550189914,-0.128250984670612,-0.0911290013042774,0.114504669777863,-0.0822809610626416,-0.185385655903939,-0.0183659300082103,-0.263924446063624,-0.0133413919215636,-0.157903425852306
stable,-0.416008578436641,0.184950753128551,-0.241785651324769,0.503497468964127,0.0757507468970062,-0.0018854867050363,-0.307314555088353,0.11536574553534,0.1883937441485,0.099812128371504,0.159348348866283,0.13313447994705,0.388692095351612,0.0815472999928216,0.0120183295918925,0.233205368294682,0.192720145023255,0.0901621942299063,0.453906201946785,-0.306174033410131,-0.116301896277001,-0.0954296903044659,-0.020768372351541,-0.0453176070294398,0.447979444786549,-0.468744520832661,-0.0278092807465718,0.291380214647539,-0.152989775694928,-0.284837048372194,0.0999357398250685,-0.305122511978477,0.480078867048164,0.173519165902911,-0.357118433805825,-0.0420526165026242
stable,-0.242812206310032,-0.0082283961012491,0.23205629533089,-0.324990595448018,0.0575723797401177,0.122952420611025,0.226805647101753,0.331143262193159,-0.0713138012292039,-0.206512559282993,0.470772933921093,0.0436182619744521,0.0439939736454903,-0.162302784305791,-0.456221093042412,-0.010384856890803,0.0609708625826903,0.088382289292814,0.0750817856325495,-0.226288655422184,-0.0441042031026957,0.286610561482172,-0.0389963874096561,0.152627432512775,0.108982777569696,0.009891153124728,0.0108475101055525,0.0596279262378637,-0.0326201566949711,-0.0522270273294383,-0.010350701284345,-0.122773879940903,-0.142444404205587,-0.481954237453394,-0.374013205880668,-0.537688424555044
stable,-0.224349468933556,0.232019589994449,0.0951364840658604,0.164373661311775,-0.059053415109912,-0.219848696546852,-0.111276209254178,-0.0229414767261054,0.132444359936392,0.476117176762693,-0.0805765740040077,-0.375636990183849,0.15242657738906,-0.0633869734837734,0.225684036841185,0.0280242110446861,-0.0752400173890093,-0.217244445485296,-0.305771545587117,0.0403826128554023,0.159772560517365,-0.135063760301675,-0.121351925412651,-0.160411689633119,0.269977170909752,-0.0621087152522644,-0.102272091957495,-0.0127617162929745,-0.112544177392589,-0.398130562024272,-0.246099581547647,0.0907214624549731,0.31625943714135,-0.258167002392425,-0.0912837017084118,-0.0406381501673364
stable,0.143772629286868,0.0234003676602204,0.0590546315540335,0.175021268405146,-0.0431414185669907,0.0036111678487994,-0.216694145380292,0.0209206990707114,0.225144278146482,0.0065482510324896,0.0573453454389351,-0.0256152172741507,0.10953875808025,0.0731381861643513,-0.0760030459910656,-0.174371258192362,-0.115966636851113,0.113270298190676,-0.108888747867466,-0.0660362227283791,0.0436951309704732,-0.088449537843261,0.124681588592882,-0.239661172898656,-0.0167798932707547,0.0494007761715764,0.038567272625178,0.137850314014837,-0.0160576597009948,0.171145281580768,-0.127642746228898,0.105373877827968,-0.0187299239091064,-0.163754424716892,-0.118975943391779,-0.146131925614751
stable,-0.0271438606650334,0.154771935617195,0.0634596514979051,0.0216491236172772,-0.153915795234275,-0.333789486176917,0.05937544081873,0.167761409787562,0.127459653893227,-0.143810531698172,-0.0293824572400452,0.0024280702663137,0.0748140378877769,0.047635089502132,-0.0640421076600555,0.0983157931533397,0.287431589705042,-0.0087157897998892,-0.0523438616081913,0.252778956829154,0.243136851205122,0.116764916650851,-0.395038611276299,0.168463164199791,0.0736771957399653,0.0705824587820336,0.19935439342613,0.0166035093933477,0.191649129979851,-0.0633333357037038,-0.21073684999249,-0.173382462629519,-0.24567018463327,-0.0763859677711708,-0.0878035120581432,0.0051438598416415
