group,AHR,AR,ARNT,BACH1,CEBPB,E2F3,EGR2,ELF1,ETV1,ETV6,FOS,FOSL2,FOXA2,FOXD2,GLI2,GLIS1,HIF1A,HNF1B,HNF4A,HNF4G,HOXA6,KLF9,LHX2,MYB,MYOD1,NFE2,NKX2-1,NRF1,ONECUT1,PGR,REST,RUNX1,SMAD3,SRF,STAT4,STAT5A,TFAP2C,TFAP4,XBP1,ZKSCAN1
progressive,0.124955817226636,0.032713417222329,-0.323988651336527,0.305272802060291,0.41914065816109,-0.0004718281330143,0.0311406567789478,0.135807864285967,0.0843785977874014,-0.494554521421219,0.19321362046938,0.37478881365774,0.494318607354711,0.117799757209252,0.0887036890066997,0.397593840086768,-0.0004718281330143,-0.402783949549925,-0.043250912192983,0.221208756361566,-0.0754138632601286,-0.0910628296717715,-0.120945278096014,0.0101443048598087,0.400975275040037,0.421342522781824,0.228993920556303,0.0655841104889961,-0.201785164885808,0.351747873162206,-0.378799352788362,-0.137537900773686,-0.0633036078460933,0.255888124138121,0.0294892583133975,-0.167577625242267,0.386269964894423,0.342861776657102,-0.0595289827819784,-0.0147839481677833
progressive,-0.194212725466523,-0.0979263837751385,-0.215718438597043,0.146069554620831,0.209277305574557,-0.147140872433606,0.158171478061437,-0.233229855684872,0.160340565978661,0.103362329714034,0.220294685056551,0.124973852011248,0.132301136804796,0.0630490372036852,0.093469172628161,0.0727967066853542,-0.0425485111567559,-0.168408514939065,0.116218143467334,-0.0467411993869988,0.0080150443770575,0.127261975241003,0.019786314171746,0.135951553055733,0.0746351409566594,0.0581024586607487,-0.0834040756464105,0.0598615360570336,-0.189001624006852,0.0440695179279797,-0.204568797656681,-0.0320469513623934,0.107793088569338,0.0945537165867727,-0.0528120003260573,-0.209237627137046,0.0647023054332763,0.0382764660514925,-0.126150978990717,-0.0989315708587299
progressive,0.322329838320019,0.0141509380687716,-0.154797912763096,0.403447482881066,-0.121180546842961,-0.19164912801546,-0.387879311727589,0.30077207401087,-0.240420276200483,0.154941352110976,0.446068130358692,-0.164952710630493,0.171074508077826,0.0911527044320376,0.0649694828684259,-0.18852324295634,0.0151999537287976,-0.368181872651798,0.404443093547836,0.119883051754662,0.390680611395424,0.371731919559367,-0.242201956040314,-0.0191824733483196,0.326298198690609,0.0985617622931702,-0.386948802824931,-0.195997787343785,0.156506410832631,0.167051357570063,0.073811318207113,-0.368031199774573,0.383652775921305,-0.362510477834903,0.350817246790039,-0.143622109923779,-0.003521343647505,-0.325105051110745,0.0768659453069319,0.376823477741997
progressive,0.386134586402308,-0.4118473372764,-0.365852545842141,-0.112604115896884,0.128785416015925,0.097198631536976,0.431021069609236,-0.457066312951527,-0.366185038310341,0.0365741715019408,0.14618585518503,0.0200603789147009,-0.0570778737075743,0.0468814380161241,-0.431242731254702,-0.0926545678049167,-0.377378951406389,0.124906337220264,-0.121692243361003,-0.354880294391559,-0.0048765562002587,0.149399949044291,0.453963049914998,0.0636168922488304,0.163807955999601,-0.123465536524733,0.17888094789131,-0.363192606096545,0.217228412556982,0.249591012795063,0.176553500613914,-0.447867354664675,-0.274749609555489,-0.0162921309417736,-0.305117254984373,0.361751805401014,0.305671409098039,0.380814706911117,-0.464824470542848,0.015848807650841
progressive,-0.0140565038886662,-0.0351412597216654,-0.0314484493780328,-0.11090343322329,0.0477682886386029,0.108282729108454,-0.0793358609309464,-0.101730968821364,-0.0264452869769821,-0.0567025072119076,-0.0895804315616692,-0.0540818030970716,0.226214414276077,0.408591596085805,-0.0787402463593927,0.0002382458286214,0.146282938773577,0.0944644710484091,-0.0856493753894151,-0.0607526862984725,0.0028589499434575,-0.0790976151023249,0.201198602270824,0.137110474371651,0.101016231335499,-0.126151166255063,0.118646422653487,0.0927967502480589,-0.360346815789959,0.0447902157808346,-0.141756268029769,0.20393842929997,0.0053605311439828,0.127104149569549,0.128771870369899,-0.0700442736147094,-0.036213365950462,0.0081003581731296,0.276722529943827,0.183091919295592
stable,-0.0750852491937843,-0.0777595610131143,0.0515999414548259,-0.0762362620713248,0.241189454512471,-0.0815027778477413,-0.163968307950441,-0.0641383994799934,0.233877756210621,0.0235806676189018,0.295452231812537,-0.209763592415245,-0.0286484031298202,-0.158392897204753,0.215936163669863,0.0820935172759295,-0.119926661621675,0.0297102039706801,0.174551478580551,0.148786823797215,0.0687767422936881,-0.0256806342587445,-0.189122823444627,-0.0499259520437275,-0.143276443571373,-0.027593433225919,-0.0510163062010748,-0.0270054261725143,0.0443532736728222,-0.0654825912547258,0.234118341810306,-0.0962778212519255,0.0170507017426046,-0.0123562086271094,-0.0510316074998623,0.0113315680833048,-0.0252202291077283,0.0742304257427729,-0.0324362942921571,0.0010227278814561
stable,-0.0508278132869256,-0.024177600044337,-0.0872520217725686,0.089842780311351,-0.142164288260702,0.128768294435089,-0.0600650911258545,-0.115817877322335,0.102059008522235,0.170684573464835,0.202507864832093,0.176655976533377,-0.121571555406185,-0.0563705175483987,-0.112418667096206,0.0409744918866576,-0.0201741607909222,0.0667976877455306,0.123146264016402,-0.0607283928234059,-0.033580281360009,0.137619068231424,-0.0874629955949451,-0.149433602284503,-0.248704380770212,0.0257421819110805,-0.0536362968104004,-0.0888756763095775,0.0029502579321117,-0.145916246717844,-0.213876822172313,-0.0603418887808123,0.0252780395018524,-0.0469475827457786,-0.218827111940553,0.0220611106582568,0.0288713456445675,-0.0876250234905302,-0.150128972003056,0.240874720274178
stable,0.0025980111767622,-0.0709106077240975,-0.149143455181249,-0.240102153995761,0.0610045106281984,0.091767038853771,-0.0617640986417433,-0.179302087346363,0.0403116346815656,-0.0007344256776924,-0.0849087296879962,-0.149542907262906,-0.0122870831259342,0.110783474174236,-0.193168107047037,-0.08700349414771,0.222718125213721,-0.0372559835214875,0.0485035476475186,0.158124836434572,0.176542093632551,0.0488165041996831,0.129271500441801,-0.164019113608001,0.055766026832923,-0.0965636091256384,0.0699056869359915,0.0950664501424195,-0.003695718078324,0.1945724799168,0.0557015483473012,-0.132421510361326,0.0225501708617395,0.19135170092769,0.0218975227755674,-0.0015632101148315,0.0909964423182907,-0.0652427915733402,-0.0286646184738772,-0.023720219478877
stable,-0.0988233456473674,-0.231343456873603,-0.171024466219873,-0.0857013865377673,-0.0545819628525522,0.0307032572435399,0.0743793472884129,0.189517284462871,0.0616137306944973,0.0115254983986179,0.258938182001407,-0.250352726110541,-0.185831899418258,-0.173054433640933,-0.112540075963195,0.220701445150125,0.0870310961198145,0.110794488943946,0.145342950705881,-0.184122148953709,-0.121431298586903,0.204322116620995,-0.16162488472748,-0.176858888528582,-0.0467039899125339,0.130484363715707,-0.121616550454343,-0.0852317542685157,-0.0229957969428192,0.0632613451972686,-0.223673856158896,-0.0859490633714588,0.0865357424524316,-0.176259782255253,0.124581447346806,0.149992454673709,0.300010052736602,-0.0138080557294174,-0.0133705029567116,0.0013057222107561
stable,-0.0061089281249859,0.059660580317403,0.177306712272777,0.270123007333048,0.0913875941278138,-0.107054038835439,-0.0281552614792699,-0.19548569999955,0.0595374164439154,0.0570987717488605,0.0300273523562817,-0.0131046361390827,0.10525584628252,-0.280468772706008,0.113483193031493,-0.261132044568451,0.085845219820871,0.107694490977575,-0.19070694170823,0.0327369575730093,0.0202974063507597,0.0048526566154122,-0.0782829579887311,0.466520119996406,-0.0816822808969894,-0.235538591657724,0.0104442964717502,-0.234109890725268,0.0187701743195132,-0.0445114238784258,0.0446592205266109,-0.116045001600035,-0.0073159340851646,-0.175705581917438,-0.162034391960313,-0.11033019787021,0.105502174029495,-0.163512358442164,-0.243150119039259,-0.0904515486893079
