group,ARNTL,ASCL2,BACH1,CEBPA,CLOCK,EGR2,ELF1,ETV1,ETV5,GATA1,GATA4,HIF1A,HINFP,HNF4A,HNF4G,IRF3,JUN,JUNB,KLF3,LHX2,MEF2A,MYB,MYC,PBX1,POU2F1,PRDM14,RARG,RUNX2,SIX5,SP1,STAT4,STAT5A,STAT5B,TCF12,TCF21,ZBTB7B
progressive,-0.362961642193597,-0.224572722493334,-0.0017319233097172,-0.0410713242018657,-0.127502544610611,-0.0073400559316587,-0.155955570413109,0.0262262672614323,0.0470093469780391,-0.0545143479868137,-0.280654048712749,-0.110430729129113,0.0935238587247304,0.20692359924193,-0.0168243978658245,-0.0160821450188028,-0.130141665844466,-0.220119205411204,0.156615350721572,-0.0418135770488874,0.180037551672034,0.112822432747294,0.0828849012507531,0.0243293988745992,-0.307705041359761,0.254427781451317,-0.424980991189185,-0.197686674923438,0.245355802209941,-0.0373600599667574,-0.135584853389292,0.221851128720921,-0.271829487087047,0.387950821376659,-0.127585017149169,-0.237850801201166
progressive,0.0551743315212473,-0.0308323041564471,-0.145479903224377,0.102616161230511,0.0738635371642906,0.0591243279342281,-0.0248724155757305,-0.0070904529250679,0.0157581128984286,-0.15892105709611,0.0139854996671616,0.0347404278159333,0.035047494674893,-0.226671172250204,0.113112264773131,0.0170701258412561,0.0837594645734897,0.264956826528671,0.203543454736744,0.105449550883639,-0.179494536646405,-0.131215251867252,0.0038522933214936,-0.190604773906945,-0.150741912580185,0.106412624214012,0.0267148167294883,0.096363163375333,0.0926783610678174,-0.0685038247169951,-0.20418550362366,0.122031161267459,-0.116294594038713,-0.0519222143331748,0.0339308879150398,0.0116127103024735
progressive,0.0725944395916701,0.0385057682260021,0.0354646678657458,-0.129357112245939,0.0977013050711844,-0.0346854784578578,-0.0371963340273728,0.0308529547479721,0.0161928291916914,-0.0852364476793645,-0.113233742868214,0.0525881619808346,0.116330942290271,-0.0751800670814338,-0.0586180465031106,0.118573134060227,-0.0245013658497713,-0.0478505680414581,-0.0142016746868116,0.0789470748138357,-0.0006354405924259,0.0831390510488353,0.189205957677407,0.114189358593847,0.0140159924263016,0.0627973863640746,-0.113072689464105,0.075033420753454,-0.0977058927993374,-0.100935572932621,-0.0487850963148789,-0.0073880130284945,-0.0475264490717685,0.0905481515295421,-0.11547456636837,-0.0794098719520813
progressive,0.230923385606075,-0.38630685056514,0.121747248419093,-0.430928632776417,-0.498654078873736,0.188793174990351,-0.366827290818085,-0.358673056505365,-0.139867769114028,-0.13284606734474,-0.426171996093997,-0.565926511953681,0.415073177168349,-0.361164628100918,-0.576572317861955,-0.452899764119025,-0.623685671668785,-0.217786008102247,0.385853837547767,0.460827491923059,0.457882907310132,0.135337638940294,0.493444429173942,0.219824566680427,0.437044308510957,-0.116311092210612,-0.381323707374033,0.0660266472821685,0.491858883613135,-0.0941134543593174,-0.354142926331631,0.401935799664521,-0.490273338052328,0.128542443679693,-0.0560603608999544,-0.388571915652007
progressive,0.128087773758332,0.181762650380871,-0.16566018739411,-0.0537968649784995,0.0842939539685786,0.016590416410603,0.126745901842769,0.0012198835596031,0.106373846397396,-0.218481145524927,0.055138736894063,-0.0368404835000155,-0.0770966409669199,-0.261909000246799,-0.052820958130817,-0.0313510074818013,0.0414760410265076,0.028545275294714,-0.0716071649487057,0.057456515657309,-0.122110344316277,-0.0344007163808092,0.0803903265778485,0.0241536944801426,-0.123696192943761,0.386215134970362,0.14248239976165,-0.355352080912402,0.0365965067880949,0.35096050009783,0.337541780942195,0.272034033791506,0.0585544108609519,-0.069777339609301,0.126989878554689,0.0867337210877849
stable,0.175100654772564,0.151421526236026,0.0005745746169966,-0.0480956349408665,-0.0273095699361354,0.0661057978798652,-0.200063156358597,0.153150226605599,0.0926686056560238,-0.0624952625546004,-0.11074090398419,-0.204309975131291,0.114842124041763,-0.0308659323019655,0.144674362340866,0.0965148857758891,-0.116263417749137,-0.102011521644203,0.162585563653181,0.0287631399211778,0.114573960783249,-0.0980549049980347,-0.0264944161922004,0.167186426176511,-0.048313890827303,0.0614962619955758,0.0533956272320194,-0.162627650781771,0.033729989839744,-0.0993915978894935,-0.0822284384133627,0.060879315877499,0.060105253958437,0.186649448169326,-0.146433348380675,-0.039455687749132
stable,0.13897070263385,-0.0461332346434548,0.0825767943186646,-0.10625247692411,0.0815991753263327,0.0465069792493728,-0.117900850475222,0.0961631028634252,0.088395790196916,0.0937614477105816,0.0291520792616055,0.0392241503312758,-0.108157536234831,-0.0107434271210416,-0.0589426388916543,-0.275406517084043,-0.229676442131232,-0.0872659048836545,0.0513310531442776,-0.0932458185783429,0.0989471541176941,-0.167759419084146,0.084893664815536,0.0741277438061753,0.0488619163264766,-0.0179881894589062,0.0666943788662502,0.0389005843993005,0.0058536018602808,0.112611326122021,-0.0510144084087082,-0.05996005476332,-0.010968366004233,-0.0246861772807055,0.0693901848663441,0.241819681225364
stable,-0.152444795235822,-0.009172366414704,-0.14273759219173,0.12559010833086,-0.0306950428860111,0.0375874023852199,-0.0258978690817445,0.0214785156486971,-0.13867643209763,0.0558487203274756,-0.0686357318521112,0.149070581271211,0.136124917902384,0.165588364513383,-0.104955555069821,-0.100828971534818,0.0997216797975221,-0.0472569869507923,-0.0846284919810298,0.0167549432154472,-0.0462543727189425,-0.130426536199669,0.0883232808060684,-0.118517834369166,-0.0249034327800077,0.020706519046033,0.114240776920084,0.138069629683248,-0.11198693938095,-0.0263820025444322,0.0468022940365113,0.0257604798558467,0.0978374846994945,0.0836078863029315,0.220295445797088,0.04717357206364
stable,0.100926189682999,0.236849870939039,-0.123536965889793,-0.122034988450792,-0.0397868727542592,0.106033093900409,0.149464093807915,0.0987611228265393,0.188563452295778,-0.194893709749491,-0.204253553095523,0.214304830745436,0.138402954193896,0.236340266066139,-0.222967208960689,-0.286246564814261,0.0963147178952777,-0.0802880969546121,0.167535165067076,-0.178030311576698,0.159621815552581,-0.16572893241106,0.254761426826742,-0.135892019414824,-0.0395317687764646,-0.249196782847757,0.204858746574759,0.175042639931321,-0.231208936999792,-0.105078715543766,0.115651659720374,0.0562018789471699,-0.115914905314482,0.0718060404636154,0.0484592018338946,-0.0291439709856315
stable,-0.0717226003997115,0.17023346533034,0.549450875146906,0.39077412564069,-0.203560398024906,-0.360792558053107,-0.171221868657403,-0.0516250660827605,0.400430065835845,0.37488364138252,0.22482374139429,0.0369510782271305,0.29505106496588,0.0496229157535813,-0.168890250552536,-0.0610529132024399,0.320850926169734,-0.350300276581206,0.058467858347044,-0.0966607766517666,-0.190229624947079,0.364087235809984,-0.0041563627086758,0.361299431554165,0.190102906571815,-0.0738007817540494,-0.0756255263578583,0.040169724958849,-0.236684581319048,-0.0428308108394037,0.0446808991182655,-0.236152364142937,-0.141645799870667,-0.202369245297419,0.356053290818214,-0.275004217999035
