group,AHR,ARNT,ASCL2,BCL6,E2F2,EHF,ELK1,ETV7,FOXA2,GATA1,GATA4,GMEB1,HNF4G,HOXA1,HSF1,HSF2,IRF2,JUN,JUNB,JUND,KLF9,LHX2,MAFK,MEIS1,MITF,MNT,MYC,OTX2,REST,SIX5,SP4,SPI1,STAT4,ZBTB33,ZFX,ZNF143,ZNF76
progressive,-0.0826826907869275,-0.0869818836226451,-0.132584036201508,0.216418296498002,0.0525883409369037,-0.151853632661599,-0.192005022895177,-0.124830134837088,-0.258412197946887,-0.160989417437499,0.0941983858825998,-0.184788520635222,0.191621166391988,-0.0124369507033261,0.436137758923431,0.299484843788119,0.0769248432390913,-0.227243049887934,0.277144395302515,0.0407655606386801,-0.40665757947851,0.327506368520922,0.34301417124976,0.013742062814169,0.176036592362511,-0.0463698655852407,-0.283209328052902,0.0960408970979074,-0.146479641616952,-0.0396139911291129,-0.159146906222192,0.0394604485278372,-0.0600351570987719,0.211735247159096,-0.168513004900005,0.145251300806747,-0.222252915346476
progressive,-0.134902580953218,-0.0876614875369661,0.100579478626999,0.137279491313784,0.117837914723284,0.45365401109979,-0.0121945835889915,-0.0809699681523289,-0.0299697393288773,-0.0810862300721392,0.0078153846094701,0.299994507083844,0.0675610934008743,0.0849228734258791,-0.293445085601197,0.0572525365110277,0.226684907647905,0.0935779274562014,0.240016274452819,0.0585830895933011,-0.0239499554809218,0.0358861792481126,-0.045729688458718,0.0024415003160163,-0.582717660080313,-0.172028887345974,0.0045083788904216,-0.0801044627492967,-0.477771900464883,-0.121351608299773,0.0215988811025357,-0.0836956642723259,-0.168812307564556,-0.242819478519356,0.0334963508964564,-0.416979834395186,-0.0671477176859932
progressive,-0.0425683896865365,0.169846259525226,0.131442606725903,-0.0298811752508428,-0.237831916260564,0.253759676434641,0.0477023983316636,0.0049300246884158,0.19794300044361,-0.20611078716213,-0.185004865636602,-0.129942574589344,-0.0501662894600367,0.0764952982956396,-0.105518936745903,0.0490248917401674,0.0478590592476216,-0.233200444285136,-0.114107063414644,0.0852593398626057,0.15312955002957,0.286914105996153,0.0891409117575992,-0.117184375592521,-0.198745172379517,-0.318170587787582,0.163198222876912,-0.136240559921498,0.107098691194581,-0.0601961450419245,0.130784878319616,0.0571227764507772,-0.0603267473553761,0.148306234158539,0.327713835697149,-0.12862557127217,-0.0378479936966211
progressive,0.409552020217115,-0.17651022474112,-0.519212290438744,-0.462241639542822,-0.512845628103554,-0.121625204610175,0.117893023241271,0.41569914247178,-0.510211147137268,-0.47486519417294,-0.504393335003388,0.462790489744132,-0.465534740750679,0.492538170655104,0.218332610080901,0.458180148053132,-0.0185511368042595,-0.451703715677681,-0.499892763352651,0.486830128561486,0.0305160711928056,0.447312914067205,-0.415369832350995,-0.178705625546358,0.0788148889080376,-0.430079017746088,0.701211017192958,0.435018669557873,0.260923385702514,0.586062244958235,0.427005456618755,-0.424041665531684,-0.556095023966739,0.494404261339556,0.476401974736606,0.227772833543423,-0.458838768294703
progressive,0.111092292254506,-0.573700494329242,0.462497662480452,0.0833468540894506,0.163488059944692,-0.068092390078384,0.480736695537163,0.107444485643164,0.270932545587856,-0.0925216404149471,0.251367037399749,0.118498445071473,-0.268058516136496,0.119382761825738,0.0594703017243029,0.130768340036897,0.412754845053062,-0.178300365578626,-0.192338894052578,0.256341319142488,0.259215348593848,0.227379945440318,0.171778529515923,-0.0144806868510849,0.186922453932707,0.138506111636713,0.0246503295251293,-0.0009948563485478,-0.120488157768569,0.203392853480887,0.182500870161383,-0.295361795924419,0.19919234889813,0.111866069414488,0.148454675122191,0.0338251158506258,-0.240423617565723
stable,0.0722267058818878,0.329667736221677,0.276630989449532,0.0448928296933102,-0.176140881878496,0.117250427941605,0.100329676347614,0.0604496448895248,-0.163578060189659,0.121960656141436,-0.245001106556057,0.149512415275337,0.0644340031029773,0.169725665431772,-0.195777717825102,0.166167181656847,-0.0552612395043418,-0.19669030590766,0.108348934029871,0.289686893251573,-0.238490905069115,-0.0044477659702967,0.132555756355158,-0.413225981252506,-0.0486633699417626,-0.220638053487015,0.0383308674569193,0.0944065935186854,0.169590708085042,-0.0215296262844304,-0.0380028235448374,-0.101836971051455,-0.156694016012327,-0.0725799526719735,0.113263495240614,-0.297850186736614,-0.0917424054148628
stable,-0.189596544701985,-0.122335553995846,0.156424795142362,0.127197089562824,-0.0099670670750966,0.0725620532081861,-0.0910372253267631,-0.078065331524466,-0.0675785196706377,-0.110777499688105,0.0138910565942662,-0.200974108861485,-0.145996475466205,0.20239296197127,-0.0675133426726617,-0.0720456508396071,0.21674861357675,-0.0821096478091296,-0.0508430720364966,-0.176302108319961,0.257191776423386,0.0324146936600561,-0.335773510316431,0.164321239127914,-0.0983838428422099,-0.0482209512717704,0.161047348383428,0.0806807674688869,-0.0971304390349795,-0.0188745901318145,-0.148914399529437,0.158405173157786,-0.177874712296766,0.142802802565381,-0.267663547431528,0.0660176141293667,-0.122743328034465
stable,0.097100058745882,-0.308841872327025,0.0869225874137045,0.0172442465349847,-0.0589075359617253,-0.281390409504423,0.0318114470804257,-0.180594148664206,-0.0858846450212674,-0.0328994862399186,-0.0926711914333562,-0.0096420621342687,0.0125382814796816,-0.0073579626613189,0.173439704119051,-0.0753330134601419,0.214634901878614,-0.149324372877571,-0.0237505641563552,0.11308562400859,0.0807512919220196,0.202527139490818,0.0983242984908079,0.107213343595269,0.0565091532389294,-0.0815716264825581,0.215474022726799,-0.0933960290316947,0.213639228633381,-0.162232118014289,0.0495566612859683,0.0011694464059585,0.156486645042578,-0.0214570715395824,-0.183612478879317,0.160328440866169,-0.287386366311413
stable,0.0416634794282967,-0.148115628175985,-0.0073425023778164,-0.022654095030849,-0.0731209613270322,0.16414121946901,0.0957759218107782,-0.0985335432247947,-0.178829686036231,-0.0266472946974267,0.0822734141966929,0.0207826973833205,-0.122135597662115,-0.0269819364842516,-0.186108433383971,0.237899154128206,-0.144888931291815,0.0270505957474105,0.104191585780826,0.235387321336926,0.109468540577896,-0.096999095238483,-0.142183525535916,-0.0927127955241345,-0.0658820248125521,-0.102560207070055,0.0853968337018249,0.140442522791529,-0.0367730935918695,-0.0924981632056882,0.315527682626909,0.0051918519288685,-0.188965581881138,-0.155951438705069,0.0725676484415752,-0.0099604973911232,0.0413271067356778
stable,0.0630566046981262,0.0316504104139317,0.122498810676143,-0.0280115900808485,-0.149484693012095,-0.128237889724965,-0.119739168410113,-0.118493666148454,-0.0615668863067297,0.0821298844305958,0.0785154857104863,-0.133146633932682,-0.282045208233408,0.0754627840887723,0.0537763917681154,-0.0041272525925574,0.0677943976150265,0.0325295884809853,0.243361373283047,0.0011722374227382,-0.222456472577549,-0.0020269938768181,-0.157958992713974,-0.153905004960337,-0.160474418850266,-0.119665903571192,0.198620978315205,-0.0421028607666807,-0.0487455394955306,0.0221992461931049,-0.150363871079149,-0.0159228916588607,0.137420416203081,-0.134611930711104,-0.170120955974883,-0.20147830703313,-0.0250565749110292
