group,AHR,ASCL2,BCL6,CLOCK,E2F2,E2F6,EGR1,ELK3,FOSL1,FOXA2,FOXG1,GATA1,GATA4,GMEB1,GTF2B,HNF4G,HOXA1,JUNB,JUND,KMT2A,MAFF,MAFK,MNT,MYC,NFYB,NRF1,OTX2,PAX5,PRDM14,RXRA,SIX5,SP4,SPI1,STAT4,TCF12,YY1,ZBTB33,ZFX,ZKSCAN1
progressive,0.0582756204479235,0.0657779434964859,-0.0867692918242814,-0.328965498523324,-0.132616821565496,-0.230677488483068,0.231132174728435,0.453246405590417,0.336922507817254,-0.341545151311822,0.139967582532269,-0.219007208185304,-0.0694154334594252,0.0952567684044732,0.335937354285624,-0.111777035319489,0.392470010792973,0.0025765553904153,0.445365177337382,-0.258489130491375,0.0558506271392973,-0.0519100130127797,-0.199455699634505,0.0429678501872206,-0.0458475297412142,-0.221886887739298,0.0425131639418532,0.0316764750939298,0.124811374353355,-0.114202028628115,0.155805820079234,0.281678129005113,-0.170204217849202,0.0497881438677318,0.227191560601918,-0.0484240851316296,0.209913483277956,0.363748996293931,-0.172098743871566
progressive,-0.0723344539157881,0.30745318821038,-0.078584638553401,-0.501247022858316,0.252497296457711,0.135357149011718,0.193400022201257,-0.205849576967234,0.114993234430227,-0.107472687061392,0.0130085143677146,-0.134823596664605,0.276659595605556,0.350366041271064,0.0904498264630157,0.181992164874882,0.128738559182051,0.380156047318223,0.151655902853298,-0.519845133243408,0.276037117867257,0.0789911546273921,-0.0639246526350976,0.490614086797987,0.112579545240905,-0.461738741917308,-0.14062915434629,-0.103979189550531,-0.143525581373476,-0.148391070634057,-0.0708100186383216,-0.241368918932205,-0.143500174118852,-0.192790248090271,-0.01515542738348,-0.164054643110026,0.0570265830045615,-0.0469907174279066,-0.317628793687469
progressive,0.154385347297411,0.0637506752677315,0.0849359121401316,0.0310421671848258,-0.192251123614389,-0.188685375328981,-0.0947849301755657,-0.007582112268223,0.0769576482947649,-0.0432998974275343,0.164986569374611,-0.161545343429042,-0.135594995352106,-0.0063017829418216,0.224084672134823,-0.0290368274676775,0.114104329224184,-0.0644193010826351,0.182744407581622,-0.0197248456307718,-0.139747942135805,0.108788969086726,-0.081994772827722,0.176079812171534,0.0748446094286628,-0.0581985613663102,-0.053173266839729,-0.0420542899380281,0.130496877149912,0.0428738635615583,0.0423150109876355,-0.0964983606444793,0.0713605957327601,-0.0571503767104785,0.0231373415608571,-0.0742833754898203,0.2228009628066,0.171170129070898,-0.0263696987574923
progressive,0.48181828700264,-0.486096728075751,-0.604576634715745,-0.0279744224011096,-0.552138305665822,-0.53041698944849,0.487193764248344,-0.162800168012732,-0.539522389681008,-0.504088121306269,0.509134487700195,-0.504746343009824,-0.598104121297449,0.47446814464627,0.476552513374196,-0.456257344181234,0.497396200653454,-0.721849801565887,0.501894048961084,0.04113885647222,-0.502003752578343,-0.500248494702195,-0.632880167968632,0.461084303340642,-0.512206188983454,-0.0106412508741476,0.538644760742934,-0.456805862267531,0.532391654559156,0.519227220488046,0.585049390843598,0.546104606716563,-0.547091939271896,-0.623884471353373,0.535682763076934,0.536011873928712,0.603150487691375,0.550383047789674,-0.500248494702195
progressive,0.209568324358485,0.252824811476596,-0.147380244913871,0.0534927550620922,-0.162569545733972,-0.0816700087573507,-0.401085595568445,-0.0241047599971156,0.192177675593442,-0.167522578610091,0.259869124900411,-0.0529424180758567,0.0300483994484592,-0.133511752860736,0.001100673972471,0.108856655877385,0.130539933135065,-0.0589961249244474,0.0328000843796368,0.355517693108144,0.0101262005467335,0.246550969833512,0.0096859309577451,0.171154802719246,-0.0122174810944285,-0.148150716694601,0.148921188475331,-0.0249852991750925,0.145288964366176,0.162569545733972,0.188655518881535,-0.0815599413601036,0.028727590681494,0.202413943537423,0.017060446573301,-0.187004507922829,0.0667008427317446,-0.0550336986235517,-0.0093557287660037
stable,-0.0237145627801997,0.368536756093681,-0.0484218791276777,-0.213487561020581,-0.264675874244725,0.365296583681173,-0.226862688221973,-0.258985538480715,0.124750644689974,-0.275010234532862,-0.193863014719698,-0.0140817946471701,-0.412161149934579,0.192808422742404,0.388387019269137,0.212272563146031,0.25700029846672,-0.0778263769910455,0.335896893987915,-0.0514109582122583,-0.265701350080803,0.276381230815401,-0.18862184218006,-0.0787144192981669,-0.0564342939338918,-0.213081671327192,0.153313579223943,-0.0635852449288663,0.189480634785683,-0.443252514144607,-0.111791424203032,-0.0773537071572506,-0.112548844555519,-0.281946019915448,0.357008233334801,0.422224115732105,-0.227080124359136,-0.103019051398996,-0.0564224070688995
stable,-0.0863825876862232,0.223148004070504,0.120611487948203,-0.357946166399226,-0.244165605075147,0.0901025462778578,-0.204223086071269,-0.233604817573874,0.0461595039260995,-0.0002277525668347,-0.194338954746824,-0.0794130290648953,0.0231944534369267,-0.206061610415139,0.244218417264558,-0.0838426514517397,0.242313877683926,0.0647229885040525,-0.0329564565733591,-0.156695416363242,-0.141469002003694,-0.278140346675587,0.099521270183119,0.103199969251776,-0.044474465007706,-0.258121226126994,0.193388335337427,0.287448495059269,-0.0486713836849584,-0.18648974309562,0.147652979307534,-0.175957012069971,0.166891469681396,-0.232695457687454,-0.0271207096434479,0.0182119534421863,0.241024930186114,-0.198889054940762,-0.0106763141656097
stable,-0.163965762561327,0.0745724385817874,0.153963375259214,-0.0083138139133216,-0.0917178333867616,0.239334287307996,-0.0088673425748406,-0.369250262906946,0.096010790225116,-0.140905696328211,0.177048319184983,0.0844535471322191,-0.0858342590744353,0.234161282092058,0.169051695852981,0.0558861816881463,-0.0301548732064633,0.0322119474176704,0.0519415125469275,-0.378585617074812,-0.138847067261213,0.0724562798505305,-0.0501985192054587,0.14110160815785,0.120874489175542,-0.0775080063147874,-0.125469088037308,-0.0724842672547646,0.140969445415633,-0.172702497249742,0.0335662268114432,0.146588694243526,-0.0527469278465535,0.0790644169613621,-0.0048744729041075,0.312765461739348,-0.255193816373992,-0.290031915222296,0.0426947851591355
stable,0.039397928644858,0.0671156259495529,-0.138520001775663,-0.140208623611873,-0.14286978617642,-0.174798006009754,-0.142774079457721,0.0633876486732779,0.136266309133242,-0.276923092350041,0.137067494718519,-0.0264494400084003,-0.0527739454977802,0.118885223995116,0.138580749752801,-0.158226989415827,-0.0793202384131275,0.0583690634298744,0.227909790493601,-0.141102363898168,-0.11778803529482,-0.0465593128176993,-0.227389994123181,0.122572225041529,-0.0170037026575064,0.0640452741805071,0.0631157155114651,-0.0721794856287483,-0.137100734177708,-0.197752718050325,-0.164320126141631,0.316639374780751,0.179471875137603,-0.16366507955796,0.190896219951424,-0.0256574239291056,-0.201954071072981,0.0394271564451793,-0.114202471908345
stable,-0.118949152404157,0.0089658950715039,-0.190410477812343,-0.111771602980338,-0.173783696655484,0.0923414691865672,-0.112665775804181,-0.104473219391136,0.143454321144062,-0.0397786072444621,0.207689763462276,0.241112493607532,0.217308163026855,-0.0827714032881425,-0.0489620038136574,-0.0086275594084282,-0.217694832356084,-0.075593853864324,0.121075833714918,-0.0687063064374275,0.0534812015990246,0.0976823392965466,-0.221658192980684,0.248531711362119,0.0363469169475522,-0.195582180090785,-0.111650768814954,0.226781561592972,0.0424127920498365,0.108654081513427,-0.063800439322831,-0.201551387860762,-0.155586071348631,0.0135334265230248,-0.0052925364438257,0.0594262425359248,-0.168128657715506,-0.0894414492173476,0.0407452805675353
