group,AHR,ARNT,ATF3,BCL6,E2F6,EHF,ELF1,ETV7,GLI2,GMEB2,HIF1A,HNF4G,HSF2,JUN,JUNB,KMT2A,LHX2,MAF,MEF2A,NR2F2,NRF1,PAX5,PBX1,POU2F1,SMAD3,STAT4,STAT5A,TFAP4,XBP1,ZBTB33
progressive,0.156822528225638,-0.104314985292947,-0.272183544772573,0.0927244313715082,0.175180721013957,-0.113260714829627,0.0138464335437319,-0.0609865387544148,-0.163745744997504,0.196028160282048,-0.120261720553986,-0.295520230520436,0.372375715583397,0.203262532863885,0.130996595998003,-0.226443640706762,0.174325042536535,-0.0046673371495725,0.0335270385244296,-0.166701725192233,0.0845565913597562,-0.0402946773913098,-0.113571870639599,0.0112016091589741,-0.147721220783972,0.121584132746365,0.24207922015783,0.0811338774500697,0.0507183970253552,0.0098791969665952
progressive,-0.124515404531414,0.0184871715972662,-0.162941485314891,0.0130014021239982,0.0367687874297261,0.384749002776184,-0.102032742755725,-0.0688354867395083,0.0133611247124092,-0.108559138288325,0.0755417435663137,-0.0555899871448026,0.054883389203281,-0.109946639700767,0.318919769096968,-0.197307839743443,0.0659577060322201,-0.0728052824473299,-0.0917549545154102,0.186888731914824,-0.140484518009803,0.0138493196538242,-0.0908171063384815,0.0396722626076151,-0.0164701556551044,0.0299597527205176,0.0672681240328603,-0.133033121535575,-0.116627202056972,-0.234975933644197
progressive,-0.0364578306170321,0.287410250567627,0.0803677364436731,-0.124210930777877,-0.310705378682609,0.208878161139239,0.0284623347086105,-0.0369160088532861,-0.197064127200156,-0.0124216953343166,0.181662111383675,-0.138620458719601,-0.0284868110316459,-0.247148320634153,-0.0387057145051452,-0.168615845143888,0.301277670420922,-0.244872022591854,0.210571196896964,0.159853939196191,-0.0139900331055993,0.114219263325492,0.0841471277999523,0.213525419596208,-0.0410330499276541,-0.160085035836082,-0.162114717551014,0.232233514907116,-0.0043785593902075,0.206897432070377
progressive,0.552093039915796,-0.500237778372946,-0.405133022096484,-0.461070506356537,-0.584971482340838,-0.622263138514207,-0.404029718659402,0.498251832186198,-0.480598977192887,-0.472986183477022,-0.553747995071419,-0.768009522552729,0.466366362854531,-0.513477419617929,-0.54392859448139,0.448161856142679,0.605382595926853,0.0835200701871019,0.427861072900371,-0.135706322761077,-0.482474593035927,-0.441762696207604,0.535212497328443,0.51160180377489,-0.425433805338791,-0.654589929220707,0.670367168370979,0.459415551200914,-0.519876579553004,0.455443658827419
progressive,0.182022063430159,-0.158660350909621,0.127659026237818,0.0573524506428359,-0.275026037445568,0.0056466698509355,0.0219223653036323,0.096657701566015,0.120130133103237,0.133748572155494,-0.214462735318867,-0.0979863297662351,0.158328193859566,-0.0214794892368922,0.019486546936562,0.0697529805115572,0.0531451280088055,0.420178668319618,0.239817390139735,-0.233506406188689,0.0271261590878278,-0.126441117054283,-0.28786944338103,-0.096657701566015,0.0589025168764261,0.0607847401600713,0.280672707296504,0.0983184868162901,0.318760049036148,0.0566881365427258
stable,0.100028718593603,0.22790861705089,-0.126157783388751,-0.0642362111690724,0.175128630330635,0.217864650793342,-0.149028909062526,0.0812612447952743,0.0906247911941824,0.047754975016443,-0.154128221807283,0.113516780384889,-0.0246707722632955,-0.134776973344873,-0.0926151707094584,-0.0096931899664276,0.0408078276882208,-0.0836418393788389,0.08487561354784,0.180988990331722,-0.146419084999384,-0.123398684227047,0.148175658521691,-0.021312688260651,-0.1156175346349,-0.12394463535398,0.0589208600715725,-0.008129637626572,-0.0402118041206519,-0.22894775479742
stable,-0.283982676841613,-0.128951613587927,0.0270476270610164,0.272311497282339,0.0710217801589912,0.129621380142181,-0.252729114760444,-0.128532180572516,0.284741966648168,0.0945050555080133,-0.0995564879110116,-0.112820849793647,-0.027367589796093,-0.240245594578436,-0.159631563719167,-0.21116545812258,-0.064698786005714,-0.134949671492111,-0.0978223893571763,0.350384062479056,-0.0635101161557141,0.326109998401373,-0.0904483259083623,0.174724520921955,0.053248098901182,-0.216623060836945,0.0336541115132474,-0.0729979230616409,-0.0893342587686134,0.176508354615958
stable,-0.0621505238652373,-0.0622535202639493,0.199288668198821,0.0860956260142907,0.180774285254585,-0.0976967658328558,-0.153982737177489,-0.209137308687786,-0.119569455595703,-0.0818618498066276,0.326284788362261,0.038565909111676,0.0504229793755256,0.0884317716032592,0.0308068470753691,-0.313800376397165,0.12157008261311,-0.0709177021677257,-0.121723016659682,-0.0072003846008689,-0.0061563756502877,0.103662754200676,-0.127674960064042,-0.0476576821252569,0.0407912555444543,0.001448191787951,0.141025478109216,-0.088406802779329,-0.156415636959187,-0.35009568308269
stable,0.0500487324265547,-0.0630173351538452,-0.027095698212496,-0.101483734932765,-0.125721548571728,0.0953072212791925,0.194120483358844,-0.120003184493151,0.033673561273489,0.116876868670833,0.198103126580616,-0.210384072456829,0.259858171716006,-0.0822045470903713,0.0176103585534906,-0.11173832762266,-0.0410425901203752,-0.0571132893091904,-0.0769746067877784,0.013869332288198,0.0397183100713202,-0.227399326716558,-0.135479067713927,0.106247452540099,-0.106494547685329,-0.0581864376528836,0.066908579121197,-0.169412122138766,-0.0675356875702923,-0.072318723001116
stable,0.124368466752195,-0.141132335097383,0.0427357165495432,0.110617235616868,0.23697793020139,0.012366389837247,0.096720231713321,-0.0867105016289481,0.039941738492012,-0.335884753437996,-0.252186889018908,-0.0221088698465516,-0.19963580607595,0.0533285377067921,-0.20561248957293,0.0573372888328152,0.035617146368181,-0.19521403210664,0.0847425692579913,0.178061436379535,-0.134742628757116,-0.172303412034884,-0.132847582770269,-0.13107401409027,0.0048347968125975,-0.0065597745698559,0.0471574905188536,-0.0487124000465231,0.0594509939719911,-0.0007774547638347
stable,0.196061152968292,0.069220199104268,0.101695802008805,0.0873687479715235,-0.188652567266316,-0.168827674942046,-0.063523472610515,-0.13313434497807,-0.055504015987763,-0.0147461399015352,-0.0098236567841152,-0.208548491093002,0.109779186983731,-0.0191287836005945,-0.0632393466008515,-0.0524638676843636,0.0304014830339935,0.0250741203528031,-0.0565552822235179,0.142496296996482,-0.198845587862994,-0.116733171070245,-0.0299042625170824,-0.0380373695436999,-0.0169268070257025,-0.0365812237441745,0.180214024779311,0.0040132798864968,-0.0599718974897214,-0.130008958871772
stable,-0.0400248051632321,0.0399151412516792,0.0567690231674495,-0.104069604207487,0.233210047362166,0.0930595982503001,-0.268733273591196,-0.0237546331869182,0.0219880396673962,-0.0243041020738223,-0.152483183645354,0.0962857502191601,-0.0251513367660304,-0.274352910956713,0.146516732480336,-0.270119334681001,0.157800114582901,0.0166797660142779,0.0388506833520628,0.205198552789693,0.0064337654079598,-0.0879256046885513,-0.149940046638893,-0.0504651020995738,0.127239900548145,-0.199468967911926,0.0965558873460532,-0.0824873075791193,-0.0162246764540036,0.227802826918564
stable,-0.143788119540026,0.134136120770943,-0.269316426278098,-0.282515733225383,-0.0546419215150098,0.126420174659104,-0.158816274279166,0.0445602798299332,0.0888494873616639,-0.167457404833417,0.0051126505504569,0.133032513782169,0.15998362109241,0.186025501171882,0.0432426191987857,0.0448735263485867,-0.0327593543040735,-0.0693263396658291,0.0691199641796853,0.411282174384134,-0.131519560916479,-0.0052922303841347,0.083556945400175,-0.014391468671243,0.205832495837444,-0.0450382394913615,-0.0817431200879006,-0.260180444118713,-0.0230903968247086,-0.106013527119752
